GCCSA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,68,602,135656,136324,3983,9541,139140,152664,118891,53053,168010,339959,201279,35517,76012,312800,185039,26900,68306,280252,157294,16815,56613,230720,115460,8054,37449,160955,57606,2337,20424,80368,15138,427,10798,26370,854758,153242,712401,1720406,342,1131,128088,129561,10965,14329,124555,149848,160045,55719,139678,355439,210840,32882,82736,326462,185885,24699,87828,298416,149661,14377,84868,248904,98414,5544,70050,174004,39738,1270,55079,96087,6661,235,33032,39929,862546,150192,805911,1818643,408,1730,263740,265879,14941,23873,263693,302507,278940,108771,307691,695400,412118,68399,158744,639261,370925,51605,156136,578664,306955,31191,141481,479625,213868,13597,107497,334958,97345,3610,75505,176457,21808,663,43828,66300,1717301,303434,1518312,3539047
1RNSW,47,803,71153,72009,1743,9154,51196,62096,41610,27623,52220,121451,74449,19598,35465,129512,85631,18360,45039,149027,95832,14087,45768,155687,88274,7435,33295,129001,45881,2158,18760,66799,11010,355,8290,19661,444470,99583,361199,905250,91,1812,65799,67703,3760,13301,43544,60602,55282,28970,46921,131172,82772,20140,40182,143095,92947,18774,50028,161747,98171,12848,52499,163521,78975,5736,47728,132436,33714,1334,41064,76115,5137,207,23613,28963,450852,103115,411379,965347,141,2620,136952,139714,5495,22452,94742,122693,96891,56595,99142,252628,157217,39737,75647,272607,178576,37130,95067,310778,194008,26935,98269,319208,167246,13173,81022,261437,79595,3495,59828,142920,16151,567,31904,48621,895321,202701,772575,1870600
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,81,596,126022,126700,2970,10045,137680,150704,109718,58426,154964,323109,182520,35935,68986,287444,170492,26752,64459,261705,141966,15908,50698,208576,105427,6766,31973,144170,55107,1854,18300,75263,14271,379,9937,24585,782557,156672,663029,1602257,244,1030,120102,121374,8559,15082,123614,147253,145545,60734,131083,337365,188826,34916,77354,301100,171628,25211,84217,281055,136094,13390,76440,225923,93360,4936,62343,160636,38905,1085,51225,91212,6426,197,29337,35956,789594,156578,755710,1701886,327,1628,246123,248077,11532,25128,261295,297950,255266,119163,286049,660470,371345,70859,146344,588546,342124,51960,148678,542759,278057,29302,127137,434496,198789,11706,94317,304814,94012,2940,69523,166477,20696,569,39281,60543,1572151,313248,1418743,3304141
2RVIC,22,329,39436,39788,856,5091,28238,34186,22657,15854,27128,65645,41007,10912,18417,70341,48444,9786,23470,81689,53791,7125,23552,84465,46526,3502,17369,67396,23645,952,9311,33910,5851,162,4315,10324,242799,53713,191240,487749,63,831,35804,36693,1742,7266,23576,32585,29813,16389,25365,71560,45352,11134,21498,77984,52443,9999,27258,89708,54223,6404,28338,88968,42172,2607,24974,69748,17191,577,21231,38994,2813,107,12201,15117,245814,55298,220242,521359,86,1162,75238,76484,2596,12358,51815,66772,52471,32244,52492,137204,86361,22045,39914,148325,100886,19785,50729,171399,108012,13525,51890,173434,88694,6106,42341,137149,40834,1526,30544,72903,8665,261,16514,25441,488609,109017,411486,1009106
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
