GCCSA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
19499,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,10,4,0,0,0,0,0,14,0,0,3,5,0,4,6,0,0,18,4,6,9,44,23,28,24,0,0,136,0,0,3,3,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,8,0,0,0,4,0,3,0,0,0,10,0,0,4,24,5,11,0,3,0,52,0,0,3,4,0,0,0,0,0,10,0,0,3,7,0,5,3,3,0,25,0,0,0,3,3,0,0,0,0,9,3,3,0,14,0,6,9,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,27,0,0,0,0,0,38,0,0,10,13,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,5,9,13,5,6,0,0,0,37
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,3,42,93,656,494,630,472,230,123,2756,4,70,313,1059,561,434,222,131,61,2844,66,420,3069,9179,375,289,69,10,3,13486,24,143,202,821,490,647,1153,710,427,4631,490,3055,5401,15300,7720,6091,3171,1156,452,42827,9,33,69,506,403,312,463,206,74,2063,301,1071,1051,4917,988,553,190,69,20,9157,3,31,98,557,559,396,155,134,52,1990,257,1636,3337,18226,8592,7636,3459,845,491,44477,13,44,119,2101,697,1354,880,588,624,6418,24,205,252,1810,1454,1734,1741,1043,501,8761,165,629,910,1972,843,899,531,207,61,6212,112,839,1721,6332,3528,2639,1638,830,289,17922,0,0,37,498,596,802,613,492,152,3190,80,506,855,4762,2449,1974,1131,622,272,12650,76,137,667,3853,791,861,358,66,17,6819,121,391,1493,9886,1809,1096,350,69,22,15236,11,41,125,1026,1135,1349,1144,641,154,5615,40,94,254,1760,1582,927,654,283,85,5667,355,1420,1606,4509,1662,1098,729,188,70,11654
1RNSW,0,4,6,46,36,60,37,15,5,214,3,46,72,261,59,32,21,15,4,505,12,72,141,539,25,11,0,0,0,798,5,32,44,252,259,690,1394,699,331,3708,86,650,1004,4011,3071,3186,2130,817,313,15270,0,17,12,105,105,130,237,148,45,797,25,92,57,324,53,37,25,6,0,622,3,32,44,320,294,217,56,33,11,1004,104,494,531,2902,1535,1573,635,130,39,7945,0,5,15,252,96,239,210,190,211,1221,9,115,80,443,757,1134,1485,884,395,5307,12,51,93,177,147,117,77,36,3,706,22,245,415,1201,721,563,454,184,53,3861,0,0,6,56,122,182,212,189,55,818,23,78,88,464,161,102,71,38,13,1039,12,29,133,604,51,29,9,3,0,879,44,163,249,1248,480,255,85,11,0,2530,0,8,35,312,516,680,630,405,102,2688,0,12,18,132,166,62,83,27,7,509,63,329,357,1180,582,652,487,114,37,3800
29499,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,13,138,393,1988,941,1053,695,372,190,5790,26,358,899,2307,567,356,154,100,45,4812,25,163,862,2612,114,83,21,11,3,3895,17,144,145,698,482,1047,1878,1209,652,6271,693,4037,5481,15910,6099,4375,1957,716,287,39563,3,30,62,442,374,415,474,284,114,2198,301,998,875,4204,472,304,138,32,13,7337,5,29,72,476,334,149,39,16,3,1121,215,1373,2605,11429,5132,3881,1687,441,180,26929,0,46,110,1769,864,1734,1325,942,1062,7858,36,236,344,1789,1617,2015,2163,1401,594,10198,146,860,1765,2950,1090,909,484,138,46,8387,91,620,1456,4369,2423,1608,1109,493,191,12361,0,0,24,398,690,881,738,610,214,3563,220,1476,2091,10956,4287,3292,2162,1006,473,25962,51,114,575,3125,456,508,194,26,11,5058,142,690,1283,5306,1084,476,157,29,10,9184,7,47,174,1673,1704,2100,1727,859,203,8491,30,108,280,2109,2286,1220,799,368,95,7291,264,1057,1167,3330,1246,849,536,110,62,8618
2RVIC,0,12,13,87,51,36,31,3,3,245,3,20,96,270,81,48,30,16,3,563,4,23,47,144,13,0,4,0,0,223,0,25,38,178,186,701,1381,721,320,3547,70,391,591,2102,1462,1352,772,267,84,7094,0,7,11,65,101,144,184,99,34,646,12,92,81,192,18,8,10,0,3,420,0,17,18,144,95,60,21,11,0,362,46,264,317,1656,786,693,335,61,18,4172,0,0,3,106,47,112,116,92,134,618,3,43,48,241,383,688,924,531,184,3050,0,30,55,127,71,71,24,7,3,388,8,89,174,515,296,204,156,57,22,1528,0,0,0,20,73,108,158,99,51,511,11,60,57,374,111,89,82,23,19,820,3,6,129,571,25,14,3,0,0,752,40,226,211,525,209,88,20,3,0,1337,0,0,7,45,66,108,113,77,17,435,0,10,23,119,104,62,54,19,3,386,30,138,112,467,241,274,227,41,9,1545
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,8,8,3,0,38,0,5,13,65,40,76,64,4,0,270,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,25,0,5,4,11,9,7,5,3,0,41,0,0,0,0,0,0,0,0,0,5,0,0,11,10,6,7,10,3,0,45,0,0,7,7,0,0,0,0,0,8,0,0,0,8,4,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,4,17,57,0,0,0,0,0,75,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,6,4,0,0,31
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
