GCCSA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
19499,..,34,0,36,0,36,..,16,3,20,0,20,..,51,4,55,0,55,..,15,3,18,0,18,..,6,0,6,0,6,..,37,8,38,0,38,..,36,0,32,0,32,..,157,17,173,0,173,..,55,3,54,0,61,..,14,3,16,0,16,..,27,11,36,0,36,..,10,0,10,0,10,..,3,0,3,0,3,..,16,3,16,0,16,..,8,0,8,0,8,..,15,5,19,0,19,..,35,0,35,0,35,..,8,0,9,0,9,..,22,0,22,0,22,..,28,3,31,0,31,..,28,0,28,0,28,..,8,0,8,0,8,..,88,3,91,0,91,..,83,15,96,3,98,..,12,0,12,0,12,..,22,10,32,0,32,..,24,3,26,0,26,..,61,21,80,0,80,..,243,41,283,8,286,..,1495,314,1803,19,1822,..,36,9,43,3211,3251,7212,1529,320,1848,3230,12288
19799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,16,16,0,16,..,3,0,3,0,5,..,48,44,90,0,92,..,3,0,4,41,44,279,54,46,96,40,412
1GSYD,..,63513,11954,75470,727,76201,..,27581,2413,30000,196,30197,..,60703,2866,63571,538,64101,..,25536,2735,28271,223,28495,..,9580,363,9949,46,9996,..,25459,2291,27752,314,28064,..,55308,4269,59586,450,60031,..,204175,14945,219124,1768,220890,..,54078,8022,62095,693,62796,..,12778,2354,15127,111,15241,..,38074,19207,57282,510,57789,..,15720,3018,18737,222,18958,..,10125,838,10969,150,11119,..,16770,3776,20554,200,20750,..,10679,1277,11960,99,12060,..,14697,2705,17399,97,17497,..,13813,1301,15109,322,15427,..,15158,3203,18357,180,18544,..,20688,592,21287,162,21451,..,25572,2886,28459,205,28663,..,39062,1181,40244,391,40630,..,4547,291,4837,38,4875,..,89873,4957,94824,794,95618,..,49527,6807,56337,598,56929,..,25670,2561,28233,199,28431,..,15655,5806,21459,193,21652,..,15971,3670,19642,199,19838,..,66306,32426,98732,570,99301,..,169188,39706,208898,4261,213160,..,1400523,310700,1711222,16349,1727574,..,11902,2782,14688,264920,279604,2816815,1412427,313482,1725912,281265,4823991
1RNSW,..,4744,624,5365,92,5455,..,1346,113,1462,11,1473,..,2699,153,2849,28,2877,..,4107,742,4851,66,4919,..,1152,65,1222,9,1231,..,1459,141,1598,18,1611,..,3121,519,3634,25,3662,..,13885,1733,15615,157,15771,..,11004,1570,12574,266,12839,..,1797,243,2040,26,2067,..,1332,727,2063,21,2086,..,7329,1730,9063,111,9172,..,1128,56,1184,23,1201,..,1087,179,1263,11,1275,..,1857,176,2029,22,2052,..,1128,114,1240,11,1246,..,990,69,1057,18,1081,..,2387,507,2901,36,2935,..,2619,79,2695,44,2741,..,1233,89,1326,18,1340,..,4275,131,4410,61,4470,..,981,57,1037,12,1050,..,9101,359,9466,130,9595,..,5726,692,6418,74,6491,..,1115,105,1223,9,1234,..,2527,586,3111,39,3153,..,1421,315,1741,12,1756,..,2579,885,3459,35,3498,..,21727,4817,26544,711,27254,..,128167,21991,150156,2380,152530,..,6834,574,7406,181267,188676,2302328,134997,22566,157561,183645,2643536
29499,..,36,3,41,0,41,..,8,0,8,0,8,..,27,3,28,0,28,..,23,0,25,0,25,..,10,0,10,0,10,..,10,3,17,0,17,..,21,0,23,0,23,..,97,9,104,0,104,..,58,7,69,3,68,..,7,3,9,0,9,..,20,20,37,0,37,..,9,0,9,0,9,..,3,0,4,0,4,..,14,8,22,0,22,..,5,0,5,0,5,..,11,7,19,0,19,..,12,0,17,0,17,..,9,0,9,0,9,..,11,0,11,0,14,..,11,0,11,0,11,..,16,0,16,0,16,..,3,0,3,0,3,..,42,0,41,0,42,..,49,9,60,0,60,..,11,3,14,0,14,..,9,3,14,0,14,..,34,4,36,0,41,..,62,27,90,3,95,..,220,74,296,11,307,..,1036,339,1376,22,1393,..,37,4,42,1929,1976,4201,1069,343,1412,1951,7565
29799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,10,0,10,..,0,0,0,3,3,18,5,0,10,3,29
2GMEL,..,87488,18940,106428,967,107386,..,9690,695,10387,74,10458,..,46743,2343,49077,366,49446,..,46779,5444,52222,545,52767,..,34039,1978,36013,272,36279,..,20215,1969,22181,222,22399,..,28382,2499,30885,208,31092,..,185837,14922,200762,1689,202452,..,85947,14567,100513,1338,101849,..,8834,1501,10337,87,10418,..,10601,4114,14719,128,14844,..,23169,4566,27738,297,28035,..,14558,1198,15755,203,15954,..,12429,3047,15478,148,15624,..,12192,1711,13906,132,14037,..,13873,2978,16853,134,16984,..,10132,860,10995,201,11195,..,12919,2703,15622,155,15779,..,15200,423,15618,137,15756,..,14822,1082,15902,112,16017,..,20054,564,20615,203,20821,..,6388,382,6774,54,6827,..,56465,2447,58912,508,59415,..,29662,3683,33339,324,33664,..,22378,2265,24642,219,24866,..,8365,1940,10309,86,10392,..,24360,5642,30002,304,30306,..,69249,31355,100607,775,101388,..,168720,44710,213433,4126,217558,..,1187231,248848,1436072,14865,1450937,..,10857,2696,13555,239530,253085,2781188,1198085,251543,1449631,254392,4485211
2RVIC,..,2779,448,3221,55,3280,..,493,36,528,3,526,..,1656,95,1747,15,1761,..,2925,403,3330,47,3377,..,1046,71,1126,12,1130,..,709,74,780,7,792,..,1335,159,1491,18,1509,..,8160,844,9002,99,9098,..,8891,1259,10150,203,10356,..,924,118,1040,7,1049,..,436,198,634,4,639,..,1174,253,1423,27,1448,..,873,46,916,14,932,..,637,144,781,3,782,..,990,133,1119,14,1136,..,574,96,675,3,676,..,375,28,402,3,405,..,1019,216,1240,33,1269,..,1910,79,1991,16,2003,..,709,38,750,7,762,..,2118,81,2199,17,2218,..,683,97,784,12,795,..,5430,295,5727,51,5777,..,1545,206,1752,18,1769,..,699,82,777,7,787,..,1002,243,1244,23,1265,..,1099,378,1473,15,1487,..,1281,639,1928,31,1950,..,13883,4321,18211,444,18653,..,71302,13863,85167,1329,86498,..,3720,329,4049,101865,105918,1241408,75021,14188,89217,103197,1433818
39499,..,9,0,11,0,11,..,0,0,0,0,0,..,16,3,19,0,19,..,9,0,14,0,14,..,8,0,8,0,8,..,4,0,4,0,4,..,18,0,18,0,18,..,59,3,65,0,65,..,68,10,70,3,71,..,11,17,29,3,28,..,14,30,46,0,46,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,20,0,20,0,20,..,9,3,11,0,11,..,11,0,13,0,13,..,0,0,0,0,0,..,13,0,13,0,13,..,16,0,16,0,16,..,16,0,16,0,16,..,10,0,15,0,11,..,55,0,58,0,57,..,57,3,59,0,59,..,6,0,4,0,4,..,7,7,10,0,14,..,0,0,0,0,0,..,15,14,32,0,32,..,218,42,257,10,269,..,1024,247,1275,22,1293,..,29,6,35,2483,2524,8697,1060,255,1312,2504,12510
39799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,3,0,3,22,23,110,20,0,20,22,150
