LGA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
LGA10050,10,0,0,0,1603,1611,53,4,0,0,1638,1695,1141,66,45,9,1940,3194,1716,128,195,8,924,2972,1791,188,463,27,705,3169,1968,148,489,53,392,3045,1630,93,323,124,155,2328,873,35,123,168,59,1251,257,0,37,172,20,490,9445,660,1667,557,7438,19759,9,0,0,0,1626,1635,113,11,0,6,1677,1810,1409,100,71,5,1708,3299,1850,207,286,23,860,3228,1856,194,623,63,593,3329,1964,195,701,182,285,3327,1486,82,469,420,115,2573,675,26,161,722,71,1659,124,6,31,657,24,841,9494,824,2352,2076,6967,21704,14,0,3,0,3229,3248,162,12,3,5,3323,3508,2550,164,117,12,3647,6498,3569,333,480,31,1789,6205,3650,381,1083,86,1292,6497,3932,344,1188,227,676,6372,3117,180,794,541,275,4907,1549,59,285,887,127,2913,381,7,66,827,44,1329,18935,1478,4018,2632,14408,41468
LGA10130,5,0,0,0,1255,1254,41,0,4,3,1326,1369,603,34,15,0,1042,1700,809,66,88,7,498,1465,1067,80,209,11,407,1772,1085,78,245,39,265,1713,927,46,173,84,121,1344,502,17,53,107,30,705,117,3,11,69,10,220,5157,325,800,320,4949,11545,0,0,0,0,1300,1302,73,0,0,0,1343,1422,743,47,45,0,920,1761,915,93,127,9,488,1635,1103,110,276,36,358,1889,1104,111,298,99,226,1840,818,48,211,240,85,1400,356,16,81,401,34,893,63,3,27,330,13,426,5185,435,1073,1117,4767,12567,5,0,0,0,2551,2560,111,3,4,3,2670,2793,1355,81,68,3,1961,3464,1727,160,212,12,986,3100,2174,195,484,46,765,3657,2192,191,546,133,489,3552,1745,92,383,324,205,2747,857,32,134,511,68,1595,183,5,36,399,22,649,10341,760,1872,1435,9714,24115
LGA10250,0,0,0,0,1247,1245,12,0,3,0,766,780,539,29,29,4,1136,1732,1161,81,132,8,822,2207,1585,115,348,20,636,2701,1922,159,475,57,417,3036,1925,97,404,103,169,2699,1023,21,135,202,57,1437,371,14,31,215,28,655,8537,519,1553,601,5285,16498,0,0,0,0,1133,1133,43,6,0,0,731,788,724,40,51,0,1033,1853,1324,133,238,14,756,2456,1667,194,553,65,581,3060,2043,169,704,148,326,3398,1700,90,509,398,108,2805,808,24,198,694,45,1773,193,6,51,824,30,1104,8510,662,2295,2152,4747,18363,3,0,3,0,2377,2384,55,7,3,0,1498,1571,1264,68,80,7,2165,3581,2487,216,368,13,1580,4669,3251,312,898,81,1217,5759,3968,330,1173,209,747,6434,3621,188,916,499,274,5503,1833,44,330,901,105,3203,564,13,84,1039,53,1755,17046,1179,3849,2754,10027,34860
LGA10300,0,0,0,0,76,74,0,0,0,0,74,81,37,0,0,0,61,99,73,10,12,0,53,147,96,0,14,0,49,156,129,15,22,0,24,194,83,5,19,3,9,119,30,4,6,10,5,59,9,0,0,5,0,12,460,29,67,17,352,922,0,0,0,0,56,56,6,0,0,0,48,56,60,3,0,0,66,136,80,0,14,0,36,130,82,4,18,7,22,132,123,5,24,13,19,186,57,3,8,16,0,86,29,0,5,37,0,76,3,0,0,20,4,22,441,19,70,97,254,879,0,0,0,0,128,135,5,0,0,0,125,132,97,3,0,0,127,233,152,13,24,0,88,276,181,4,27,7,69,290,251,24,44,16,44,377,138,6,28,25,14,202,60,4,14,46,5,131,9,0,0,23,4,35,897,50,132,114,608,1801
LGA10470,3,0,0,0,1515,1515,56,4,3,0,1537,1604,893,45,36,3,1789,2765,1359,110,165,5,806,2450,1534,138,310,12,579,2572,1635,123,345,34,338,2477,1306,72,295,104,130,1917,604,18,73,126,51,882,159,3,24,98,14,293,7559,519,1244,384,6766,16480,0,0,4,0,1453,1460,77,8,6,4,1446,1544,1012,66,50,5,1268,2399,1423,153,274,9,570,2430,1603,169,390,61,446,2665,1590,127,471,136,201,2517,1144,77,309,315,110,1951,446,23,106,488,77,1137,76,4,37,449,34,600,7372,628,1640,1468,5598,16703,3,0,3,0,2970,2980,138,13,7,3,2990,3148,1905,113,85,7,3058,5171,2780,267,438,17,1373,4878,3142,301,696,70,1027,5238,3225,250,810,165,540,4991,2450,153,608,421,235,3862,1053,45,184,615,129,2019,233,5,60,547,50,892,14936,1147,2885,1854,12365,33181
LGA10550,0,0,0,0,914,915,20,0,0,0,599,622,338,22,27,5,798,1194,731,76,90,3,559,1459,1169,122,318,11,577,2201,1804,139,524,56,462,2988,1742,120,426,120,154,2561,871,26,147,141,59,1243,206,7,14,126,24,373,6885,511,1545,463,4143,13549,0,0,0,0,879,879,38,3,0,0,527,569,491,49,40,0,713,1287,862,95,154,20,537,1660,1361,152,390,63,485,2450,1917,140,579,169,367,3174,1529,77,431,349,119,2504,612,26,117,508,38,1298,121,0,36,453,8,621,6923,544,1747,1560,3665,14437,0,0,0,0,1787,1792,54,3,4,0,1128,1189,826,68,66,6,1515,2482,1592,168,245,20,1094,3120,2526,277,705,80,1063,4648,3717,283,1104,227,828,6154,3270,201,858,461,273,5060,1481,59,259,649,92,2546,326,6,54,572,34,999,13807,1058,3296,2021,7808,27994
LGA10600,0,0,0,0,390,387,3,0,0,0,194,201,143,9,4,0,305,465,270,25,55,0,273,627,453,46,102,8,222,825,576,46,219,15,220,1081,540,37,158,39,85,864,289,15,63,61,17,443,61,4,12,54,10,135,2343,187,610,173,1721,5030,0,0,0,0,332,335,14,0,0,0,172,188,186,15,11,0,270,488,331,35,63,5,260,696,504,80,183,16,219,1002,599,51,282,50,176,1161,479,21,168,112,73,857,205,10,67,187,12,477,30,0,14,183,0,233,2355,214,794,562,1512,5433,0,0,3,0,717,719,18,0,3,0,370,396,331,29,14,0,578,953,600,60,116,7,530,1324,960,125,287,20,438,1824,1178,103,505,67,392,2240,1016,64,327,156,159,1718,497,20,128,250,25,924,91,5,25,234,9,368,4698,396,1402,736,3228,10465
LGA10650,0,0,0,0,219,223,5,0,0,0,181,185,136,4,5,0,223,373,246,26,30,0,106,399,256,22,49,0,113,447,377,35,114,22,98,645,490,32,97,41,50,713,250,8,38,61,18,381,70,3,3,44,3,133,1830,125,348,174,1011,3483,0,0,0,0,198,198,10,3,0,0,142,155,169,12,10,0,183,377,267,23,40,0,114,447,308,29,83,9,65,490,438,37,108,43,38,664,433,14,82,111,18,662,196,3,16,143,6,360,29,0,0,146,3,182,1850,127,344,455,760,3532,0,0,0,0,424,421,11,3,0,0,321,331,306,18,15,0,408,747,507,48,74,0,213,843,562,52,134,10,172,936,815,73,218,70,128,1304,925,46,181,152,70,1370,450,13,52,199,27,739,105,3,7,190,11,313,3679,258,690,624,1772,7018
LGA10750,32,5,10,7,12010,12066,491,23,11,6,11237,11776,11674,452,404,24,12724,25280,18608,836,1146,36,5189,25814,14391,996,1861,141,3455,20854,11709,797,1973,299,1638,16412,7686,479,1156,575,500,10388,3010,160,347,674,146,4330,646,22,68,453,54,1248,68245,3778,6980,2214,46953,128170,62,9,3,0,11149,11229,1122,70,31,8,9828,11060,15497,700,560,56,10150,26964,18039,1241,1757,172,4376,25591,13863,1216,2851,524,2758,21208,10851,974,2729,1482,1252,17289,6154,481,1690,2438,391,11152,1899,95,531,2701,124,5348,311,19,136,1766,63,2303,67798,4796,10288,9139,40103,132134,95,10,8,10,23164,23289,1609,96,40,17,21064,22830,27169,1149,968,78,22874,52249,36654,2078,2901,207,9568,51402,28252,2215,4714,670,6215,42063,22559,1773,4706,1782,2886,33702,13835,960,2843,3012,891,21536,4904,252,871,3367,270,9674,963,46,209,2216,121,3553,136045,8575,17266,11356,87055,260306
LGA10800,0,0,0,0,167,167,7,0,0,0,139,143,107,8,3,0,170,297,219,16,15,0,85,341,221,16,43,7,69,358,299,24,58,6,72,452,243,14,32,19,20,331,133,3,13,42,9,204,45,0,0,26,9,76,1277,83,170,96,736,2366,0,0,0,0,168,169,14,0,0,0,112,121,146,9,8,0,131,292,231,17,23,3,71,340,263,13,35,6,38,355,289,18,56,25,25,405,194,13,23,61,12,300,122,3,5,110,3,242,23,0,4,102,4,135,1269,66,157,307,564,2363,0,0,0,0,337,333,12,0,0,0,247,267,256,14,16,0,304,588,445,29,40,3,156,680,485,30,81,14,106,709,589,45,112,33,94,866,435,25,61,77,34,626,257,6,21,146,10,442,70,0,3,125,13,211,2544,151,326,401,1300,4725
