LGA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
LGA10050,0,0,0,0,5,0,3,5,0,13,3,3,0,28,5,8,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,13,5,9,3,3,0,45,0,4,4,5,3,0,0,0,0,11,0,0,0,8,3,6,9,0,0,20,0,0,0,7,3,0,0,0,0,10,3,18,15,133,65,52,54,38,19,396,79,180,242,471,253,251,212,147,72,1911,1689,3208,3308,6168,3169,3045,2328,1251,490,24662,0,0,0,3,0,0,0,0,0,3,1442,2795,3018,5171,2718,2646,1965,1155,605,21514,3,3,3,32,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,7,3,3,0,0,0,19,0,0,0,0,0,0,4,0,0,6
LGA10130,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,3,0,0,0,30,0,0,0,14,0,0,0,0,0,16,0,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,8,18,13,14,11,5,0,73,0,0,0,17,0,0,0,0,0,24,0,3,0,3,0,0,3,0,0,13,0,0,0,4,4,0,0,0,0,8,15,32,40,132,31,21,18,13,0,301,47,92,231,259,162,155,121,78,26,1168,844,1833,2629,3165,1772,1713,1344,705,220,14227,0,0,0,0,0,0,0,0,0,0,741,1604,2231,2455,1455,1466,1101,698,348,12102,0,3,0,21,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,5,3,0,0,31,0,0,0,3,0,0,0,0,0,7
LGA10250,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,4,0,9,8,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,12,12,11,15,0,0,64,0,0,0,4,3,0,0,0,0,12,0,0,0,9,0,0,9,0,3,19,0,3,0,0,0,3,3,0,0,13,0,6,3,51,25,35,39,18,7,192,50,141,133,277,232,264,212,140,83,1529,1074,2565,2032,3940,2701,3036,2699,1437,655,20127,0,0,0,0,0,0,0,0,0,0,919,2059,1729,3409,2370,2725,2155,1357,821,17552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,16,6,4,5,0,0,41,0,0,0,3,0,3,5,4,0,11
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,11,19,28,21,29,18,14,3,150,80,172,154,241,156,194,119,59,12,1177,0,0,0,0,0,0,0,0,0,0,66,147,89,207,119,147,72,50,14,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,4,3,0,4,0,12,0,3,0,5,11,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,3,0,0,0,35,0,3,4,22,7,0,0,0,0,38,0,0,0,0,3,3,4,0,0,9,0,0,0,3,3,0,3,0,0,8,4,7,11,42,23,30,24,17,4,166,63,126,257,329,196,210,194,100,52,1531,1339,2883,3122,5213,2572,2477,1917,882,293,20695,0,0,0,4,0,0,0,0,0,4,1140,2481,2595,4054,2149,2032,1487,852,412,17206,0,3,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,4,10,10,3,5,0,0,32,0,0,0,0,3,0,0,0,0,3
LGA10550,0,0,0,0,0,7,0,5,0,13,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,9,7,5,17,3,0,59,0,0,0,3,0,0,0,0,0,8,0,0,0,4,10,4,9,3,0,27,0,0,0,0,0,0,3,0,0,6,0,5,3,23,25,31,42,39,9,170,44,112,117,242,228,290,224,144,40,1425,757,1944,1534,2651,2201,2988,2561,1243,373,16252,0,0,0,0,0,0,0,0,0,0,669,1689,1302,2395,1891,2413,1788,899,423,13479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,10,3,8,0,0,0,30,0,0,0,0,0,3,0,0,0,9
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,4,6,9,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,16,14,10,9,9,0,60,12,62,44,81,75,93,67,42,14,482,303,791,589,1093,825,1081,864,443,135,6123,0,0,0,0,0,0,0,0,0,0,288,723,475,952,781,886,618,347,163,5225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,13,0,0,0,3,0,0,0,0,0,7
LGA10650,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,3,4,4,0,28,28,50,49,99,46,70,83,57,13,481,249,495,408,776,447,645,713,381,133,4224,0,0,0,0,0,0,0,0,0,0,201,430,302,658,390,535,509,283,139,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10750,0,0,0,46,36,56,63,49,20,270,19,129,215,1192,437,344,193,62,12,2597,3,3,11,57,10,12,11,0,0,117,3,24,39,78,19,13,7,0,0,178,0,0,8,13,20,22,20,11,0,86,3,6,46,216,182,113,69,24,0,666,17,77,95,123,53,41,12,3,0,424,3,4,15,152,105,101,35,5,8,434,0,0,0,9,10,12,14,16,5,66,0,9,43,54,35,17,0,0,0,157,56,455,934,2429,1421,1155,707,375,108,7643,674,1125,1177,2615,1240,1040,740,359,147,9125,13683,25722,23836,51097,20854,16412,10388,4330,1248,167574,3,31,175,536,170,145,54,12,3,1139,11993,19354,14988,22137,8564,6485,4321,2093,829,90763,20,80,75,756,147,71,14,5,0,1176,0,3,10,66,57,54,34,18,3,247,0,0,7,47,15,8,4,0,0,91,0,15,30,61,20,19,3,3,0,155,0,3,4,91,73,72,74,20,13,340
LGA10800,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,3,0,11,13,37,36,73,45,62,48,40,22,378,167,435,306,637,358,452,331,204,76,2971,0,0,0,0,0,0,0,0,0,0,164,388,243,523,278,328,237,187,86,2442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
