LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10050,19,99,1764,7683,4961,678,124,311,15634,13,348,1977,434,30,3,8,104,2907,7,105,152,107,17,0,3,18,416,17,458,2130,541,42,3,9,126,3324,0,51,189,26,0,0,0,26,293,0,8,46,0,0,0,0,0,52,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,61,252,28,5,0,0,32,376,9,18,25,23,7,0,0,9,96,4,7,22,20,12,4,0,3,68,54,646,4188,8292,5026,683,128,475,19495
LGA10130,9,190,983,3986,2613,590,136,184,8689,4,73,496,150,10,4,0,25,771,0,29,76,22,3,0,0,6,144,4,109,573,169,17,6,0,28,910,6,149,245,50,9,0,6,16,486,0,9,26,6,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,158,276,58,8,0,6,27,540,10,13,10,14,3,0,0,3,51,0,5,15,34,17,3,4,8,84,32,472,1859,4269,2660,595,144,243,10276
LGA10250,17,135,1021,5101,3823,723,171,237,11223,3,107,985,862,80,8,4,79,2129,0,114,586,655,69,3,0,47,1486,0,219,1574,1517,148,15,7,129,3612,3,64,328,149,15,4,0,16,579,0,3,104,46,0,0,0,3,158,0,0,26,28,0,0,0,0,55,0,3,3,0,0,0,0,0,7,3,78,461,217,18,4,0,24,798,25,125,243,48,8,0,0,31,483,0,11,19,30,18,6,0,22,105,54,569,3316,6910,4008,751,175,440,16220
LGA10300,0,10,85,365,217,23,6,26,734,3,0,4,4,0,0,0,3,15,0,0,0,3,0,0,0,0,3,3,0,4,3,0,0,0,3,22,0,11,22,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,34,0,8,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,3,3,30,113,376,214,20,8,36,807
LGA10470,24,156,988,5036,4552,968,212,230,12166,5,100,624,326,34,4,0,37,1137,6,74,92,115,24,6,0,9,327,12,176,716,442,62,6,3,44,1460,16,124,341,56,8,0,6,22,581,0,3,6,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,127,348,63,8,0,6,22,590,0,5,23,7,7,0,0,0,41,0,61,12,16,9,8,0,47,155,52,531,2085,5559,4633,982,217,349,14411
LGA10550,50,293,1521,5343,2852,504,107,269,10934,9,97,486,185,18,0,0,38,834,0,29,238,186,23,0,0,18,499,11,127,729,370,38,3,0,58,1336,9,106,273,109,6,0,0,23,526,0,3,18,5,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,107,284,118,6,6,0,30,553,20,79,86,46,7,0,0,20,270,4,11,38,37,22,3,3,7,131,97,622,2662,5913,2922,513,112,379,13222
LGA10600,28,176,762,2109,1059,182,42,109,4466,3,24,74,55,11,5,0,12,184,0,0,21,18,9,0,0,0,53,3,22,96,69,21,5,3,10,233,3,29,67,14,3,0,0,5,125,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,74,17,3,0,0,8,136,14,38,17,7,6,0,3,6,90,0,5,7,13,12,3,0,5,47,52,274,949,2212,1103,191,49,140,4970
LGA10650,4,35,405,1465,763,123,24,90,2904,0,12,71,19,0,0,0,3,107,0,0,0,0,0,0,0,0,0,0,12,71,19,0,0,0,3,107,3,16,66,12,4,0,0,14,118,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,73,12,4,0,0,14,126,10,33,33,26,12,0,0,9,120,0,0,3,3,0,0,0,0,6,13,100,588,1525,781,120,26,112,3265
LGA10750,112,645,3885,36666,28597,5765,1186,1912,78774,35,268,741,2915,1928,177,12,149,6231,26,410,1163,5131,2647,394,66,223,10055,65,671,1904,8051,4578,578,81,366,16286,96,532,311,471,69,0,0,81,1563,7,36,563,34,0,0,3,33,687,11,145,2498,188,8,0,3,92,2951,3,27,6,3,3,0,0,3,45,121,735,3379,704,88,3,5,209,5247,7,51,175,113,43,9,0,58,452,5,44,63,90,55,15,7,68,346,306,2153,9412,45627,33350,6367,1280,2615,101107
LGA10800,3,30,228,966,632,112,9,75,2066,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,27,23,3,0,0,0,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,3,0,0,0,5,56,0,3,5,3,0,0,0,0,13,0,3,4,13,4,4,3,9,36,9,58,271,982,637,114,19,92,2185
