POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2000,835,60,11,7,0,0,6,930
POA2006,3,0,0,0,0,0,0,0
POA2007,235,23,4,3,0,0,0,261
POA2008,241,9,4,3,0,0,0,265
POA2009,759,48,9,4,0,0,0,819
POA2010,816,65,11,9,0,0,0,898
POA2011,426,36,9,4,0,0,0,480
POA2015,646,47,10,3,3,0,0,704
POA2016,532,37,9,4,0,0,9,585
POA2017,1023,67,14,11,0,0,5,1121
POA2018,1793,79,41,38,0,0,4,1950
POA2019,1361,73,40,15,0,0,7,1497
POA2020,1405,70,46,20,0,0,4,1543
POA2021,1185,73,25,0,0,0,3,1284
POA2022,1061,71,11,10,0,0,5,1150
POA2023,1178,51,32,3,0,0,3,1264
POA2024,1188,53,21,5,0,0,0,1269
POA2025,670,37,6,0,0,0,0,717
POA2026,2668,126,45,11,0,0,3,2855
POA2027,547,39,5,3,0,0,0,595
POA2028,338,22,4,0,0,0,0,365
POA2029,1080,68,21,10,0,0,0,1177
POA2030,1915,80,35,12,0,0,0,2040
POA2031,3394,165,65,15,3,0,10,3641
POA2032,1319,57,22,13,0,0,4,1416
POA2033,908,49,17,10,0,0,3,986
POA2034,1988,84,30,10,0,0,3,2117
POA2035,3796,171,68,33,9,3,12,4091
POA2036,3333,187,121,42,0,0,21,3697
POA2037,921,76,17,7,0,0,0,1024
POA2038,913,62,21,0,0,0,3,994
POA2039,901,42,9,7,0,0,0,963
POA2040,2513,146,47,16,3,0,3,2719
POA2041,1647,86,30,3,0,0,3,1774
POA2042,1168,84,20,11,3,0,9,1289
POA2043,531,34,6,0,0,0,0,576
POA2044,715,43,12,15,0,0,10,792
POA2045,898,35,12,7,0,0,0,947
POA2046,3271,166,53,13,3,0,11,3521
POA2047,1198,61,24,6,0,0,7,1299
POA2048,658,34,12,9,0,0,0,712
POA2049,989,48,15,10,0,0,4,1063
POA2050,409,23,3,0,0,0,0,440
POA2052,6,0,0,0,0,0,0,6
POA2060,954,67,13,5,0,0,0,1043
POA2061,337,20,3,0,0,0,0,355
POA2062,734,38,21,0,0,0,3,793
POA2063,937,40,14,10,0,0,0,1001
POA2064,1217,39,12,10,0,0,3,1280
POA2065,2897,157,40,19,0,0,3,3113
POA2066,4011,165,64,18,0,0,6,4262
POA2067,3127,119,37,24,0,0,13,3320
POA2068,2506,88,51,15,0,0,4,2663
POA2069,2125,67,31,13,0,0,0,2241
POA2070,2013,78,28,23,0,3,0,2147
POA2071,2007,91,28,21,0,0,6,2150
POA2072,1075,47,20,11,0,0,0,1162
POA2073,2667,79,30,15,0,0,7,2791
POA2074,3179,116,53,27,0,0,0,3375
POA2075,3153,130,49,31,0,0,4,3366
POA2076,3489,125,50,17,0,3,8,3702
POA2077,5075,193,89,47,3,0,14,5421
POA2079,1096,65,21,10,0,0,3,1196
POA2080,241,14,3,4,0,0,0,269
POA2081,839,37,20,9,0,0,0,905
POA2082,831,50,26,3,0,0,0,902
POA2083,128,15,6,0,0,0,0,156
POA2084,502,22,10,7,0,0,0,547
POA2085,1603,88,37,13,0,0,8,1748
POA2086,2106,100,47,12,3,0,3,2268
POA2087,1904,83,31,9,3,0,0,2040
POA2088,3309,143,46,10,0,0,4,3511
POA2089,905,64,16,0,0,0,4,992
POA2090,1268,75,21,3,0,0,0,1380
POA2092,1143,43,14,6,0,0,3,1215
POA2093,3218,137,56,15,3,0,8,3437
POA2094,659,36,16,3,0,0,0,706
POA2095,1288,85,18,10,0,0,3,1407
POA2096,1704,71,35,6,0,0,4,1820
POA2097,2039,117,52,24,0,0,6,2242
POA2099,4662,271,115,37,3,0,15,5105
POA2100,2882,143,70,19,0,0,15,3133
POA2101,2224,141,59,12,4,0,3,2444
POA2102,999,65,26,8,0,0,3,1106
POA2103,1256,90,39,14,0,0,0,1412
POA2104,377,21,8,7,0,0,0,418
POA2105,206,18,7,0,0,0,0,234
POA2106,1132,84,46,9,0,0,6,1268
POA2107,1897,124,58,20,0,0,5,2113
POA2108,137,7,4,0,0,0,0,148
POA2109,120,3,0,0,0,0,0,122
POA2110,1271,49,23,5,0,0,0,1348
POA2111,1776,67,21,8,0,0,3,1877
POA2112,4174,161,75,46,3,0,11,4469
POA2113,2333,94,46,17,4,0,4,2499
POA2114,2952,102,42,27,0,0,7,3131
POA2115,1453,59,33,22,0,0,9,1572
POA2116,842,43,14,13,0,0,0,920
POA2117,2770,129,44,32,3,0,3,2983
POA2118,3698,131,62,48,4,0,7,3960
POA2119,1775,82,21,29,0,0,0,1910
POA2120,2993,112,67,24,4,0,3,3207
POA2121,4087,124,47,47,6,0,7,4325
POA2122,3662,139,45,58,3,3,10,3930
POA2123,0,0,0,0,0,0,0,0
POA2125,2647,95,46,37,0,0,3,2828
POA2126,3102,122,38,39,0,0,3,3301
POA2127,1619,69,23,10,0,0,8,1718
POA2128,264,11,6,4,0,0,0,291
POA2129,0,0,0,0,0,0,0,0
POA2130,702,30,11,9,0,0,3,755
POA2131,2177,92,34,31,0,0,3,2341
POA2132,1304,46,24,12,0,3,4,1393
POA2133,1465,69,26,13,0,0,7,1576
POA2134,1282,59,20,25,0,3,0,1395
POA2135,2778,96,38,41,5,0,5,2960
POA2136,939,39,23,13,0,0,0,1020
POA2137,3314,131,40,18,0,0,8,3519
POA2138,2132,80,24,19,0,0,4,2260
POA2139,0,0,0,0,0,0,0,0
POA2140,1742,73,23,36,0,0,7,1883
POA2141,3402,161,73,72,12,4,12,3737
POA2142,2976,124,67,52,3,4,13,3236
POA2143,1135,40,20,27,0,0,6,1232
POA2144,4148,130,78,99,5,6,16,4481
POA2145,11071,386,194,173,10,0,30,11854
POA2146,2407,101,38,41,3,3,8,2604
POA2147,4489,278,161,79,10,4,17,5045
POA2148,7743,417,274,138,10,9,45,8624
POA2150,3588,109,28,41,0,5,17,3786
POA2151,2560,117,56,22,4,0,5,2774
POA2152,1318,71,27,6,0,0,4,1428
POA2153,8595,365,165,99,3,0,9,9242
POA2154,5857,258,122,67,12,0,9,6327
POA2155,9148,453,303,101,12,13,12,10037
POA2156,1835,90,48,18,0,0,6,2011
POA2157,480,28,15,5,0,0,0,535
POA2158,1141,57,33,17,0,0,5,1255
POA2159,641,40,21,8,0,0,3,711
POA2160,4249,172,103,71,7,5,10,4610
POA2161,3653,142,97,63,8,9,9,3978
POA2162,2231,97,71,56,0,0,10,2473
POA2163,868,37,36,26,3,3,6,978
POA2164,2406,91,62,49,5,3,13,2629
POA2165,4954,211,134,130,11,8,24,5474
POA2166,5471,379,195,197,15,7,31,6292
POA2167,1291,52,36,25,0,0,9,1411
POA2168,5024,260,213,130,11,14,32,5682
POA2170,13015,611,450,250,15,20,48,14408
POA2171,5493,200,159,85,5,3,14,5968
POA2172,475,20,10,3,0,0,0,506
POA2173,2206,106,77,15,0,0,5,2415
POA2174,365,11,12,3,0,0,0,398
POA2175,233,12,3,3,0,0,0,251
POA2176,6713,249,131,107,12,5,29,7241
POA2177,2033,80,55,65,9,3,14,2253
POA2178,544,14,7,14,0,0,0,579
POA2179,733,46,22,10,0,0,0,816
POA2190,3303,136,82,56,3,0,9,3585
POA2191,848,39,10,12,3,0,0,903
POA2192,1431,69,47,18,0,0,6,1569
POA2193,1842,74,36,28,4,3,3,1988
POA2194,2612,159,65,50,4,3,3,2899
POA2195,3543,101,56,71,0,0,8,3784
POA2196,4060,152,103,73,4,0,12,4407
