SA2_MAINCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
101021007,0,16,31,40,51,65,41,10,3,256,0,4,28,25,32,33,12,8,0,143,0,0,17,33,33,38,10,0,0,131,0,0,6,25,30,17,7,0,0,88,0,0,19,30,49,28,10,3,0,137,0,0,3,11,17,22,6,7,0,69,42,12,40,55,72,86,97,46,19,462,190,110,297,442,577,696,592,243,77,3222
101021008,7,66,167,110,136,139,32,8,0,666,0,21,129,144,141,104,17,3,0,564,0,9,81,113,110,67,12,0,0,398,0,3,54,77,73,51,9,3,0,269,0,0,65,134,142,70,13,0,0,424,0,0,9,24,40,25,6,0,3,109,63,31,62,76,74,70,56,37,17,494,582,534,1089,1110,1196,1050,664,313,83,6623
101021009,6,74,313,191,191,117,46,10,10,958,3,55,235,169,121,110,26,0,0,710,0,19,208,148,146,90,11,3,0,624,0,9,102,118,76,48,19,0,4,375,0,9,105,162,168,59,15,6,3,521,0,0,26,38,42,25,9,6,0,139,37,63,244,126,115,104,137,114,122,1050,433,762,2239,1556,1386,1127,819,525,314,9169
101021010,0,49,137,64,66,71,29,3,0,435,0,25,115,71,63,51,11,4,0,342,0,7,73,77,62,44,13,0,0,274,0,4,38,42,35,36,8,0,0,165,0,5,56,80,87,41,9,3,0,279,0,3,9,20,46,36,9,0,0,128,12,16,70,47,50,35,17,26,3,275,226,359,973,637,702,569,312,160,51,3981
101021011,3,92,250,230,285,244,126,27,3,1262,0,39,251,229,254,185,57,13,0,1038,0,23,195,291,298,207,68,9,0,1093,0,3,121,189,236,145,30,6,0,720,0,0,151,465,530,280,46,7,3,1485,0,0,35,180,291,172,38,9,0,719,164,104,177,250,296,277,166,57,13,1509,1143,795,1741,2397,2934,2427,1436,408,86,13377
101021012,10,91,198,166,244,116,49,10,0,880,0,47,212,184,231,130,35,10,3,847,0,18,177,224,230,114,23,3,0,794,0,5,103,185,224,70,11,0,0,597,0,4,144,405,466,196,29,3,3,1250,0,3,32,186,314,102,15,3,0,648,53,40,87,95,110,59,38,19,9,511,1018,727,1461,1906,2381,1308,597,257,74,9725
101031013,0,17,39,22,31,29,13,3,3,153,0,4,18,25,24,19,9,4,0,105,0,0,19,20,23,16,5,4,0,81,0,0,0,12,12,14,6,0,0,48,0,0,3,12,5,18,4,0,0,41,0,0,0,3,9,7,3,3,0,27,20,5,11,20,37,31,47,17,25,207,120,99,220,231,337,391,340,145,89,1991
101031014,0,17,91,64,99,80,37,15,8,409,0,12,49,47,73,45,24,3,5,256,0,9,40,37,33,52,15,8,4,194,0,0,17,27,48,37,11,3,3,145,0,0,23,37,55,34,4,3,3,157,3,0,12,13,24,20,13,0,3,87,58,32,127,122,121,98,107,95,71,829,402,356,760,751,943,907,784,523,241,5678
101031015,0,3,29,46,49,47,24,14,0,204,0,3,15,27,38,39,16,4,0,145,0,3,14,28,39,21,6,0,0,108,0,0,6,22,27,21,7,0,0,86,0,0,10,30,39,23,5,7,0,120,0,3,3,18,21,11,10,3,0,62,31,14,25,33,58,49,49,26,9,300,206,105,218,350,540,560,477,212,48,2724
101031016,4,34,134,131,137,108,41,6,4,594,0,12,67,87,107,74,13,5,3,364,0,6,51,73,92,49,11,3,0,284,0,0,31,55,52,42,14,3,0,188,0,4,34,65,79,43,12,0,0,242,0,0,11,34,32,34,6,4,0,115,72,72,125,99,99,84,51,18,12,641,390,478,956,987,1081,913,592,232,74,5709
