SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
10102,13061,2242,1826,69,59,17255,1684,479,486,25,10,2685,339,98,62,8,8,522,15085,2821,2374,100,81,20459
10103,4816,228,253,68,171,5533,1165,97,110,31,27,1430,169,21,48,10,41,295,6145,342,414,111,240,7259
10104,18832,1675,926,337,181,21951,3949,739,517,216,29,5451,662,112,81,36,21,906,23444,2530,1516,585,234,28317
10105,8833,525,197,71,55,9675,2510,352,153,55,19,3091,322,55,17,16,8,411,11671,921,361,138,77,13180
10106,9459,290,155,65,72,10031,2240,217,160,43,22,2682,316,36,20,0,10,383,12015,540,330,102,106,13102
10201,40742,6440,4239,434,181,52025,5508,2312,1346,235,63,9463,1020,358,250,23,54,1707,47268,9110,5827,690,297,63202
10202,39209,3888,2137,236,115,45585,7333,1746,1115,185,57,10437,1262,275,172,39,76,1826,47797,5913,3429,455,249,57847
10301,11273,972,368,44,112,12768,2307,448,230,14,59,3055,330,49,30,0,51,454,13904,1468,632,51,222,16280
10302,13399,262,371,126,150,14305,4754,237,390,54,70,5511,649,21,59,16,17,767,18811,518,816,199,235,20578
10303,11438,439,190,320,97,12483,3361,379,155,129,45,4065,449,61,23,35,12,572,15247,879,365,481,150,17128
10304,14611,917,345,50,73,16003,3268,473,277,31,23,4067,503,65,32,7,83,689,18380,1452,652,84,182,20755
10401,12732,639,530,338,110,14350,3460,404,370,227,24,4481,470,45,53,34,14,613,16660,1088,947,594,145,19441
10402,20842,2522,1932,399,216,25916,3308,872,798,263,57,5303,566,152,129,49,52,956,24717,3543,2863,720,328,32171
