SA4_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
101,0,0,0,9,24,2800,20,27,3,0,3,0,0,3,126,2979,589,0,5,0,0,0,0,0,0,65,668,186,0,0,0,0,0,0,0,0,17,204,78,0,4,0,0,0,0,0,0,13,93,5,0,0,0,0,0,0,0,0,4,12,269,0,3,0,0,0,0,0,0,40,311,6,0,0,0,0,0,0,0,0,15,21,866,3,8,0,0,0,0,0,0,119,1003,14130,1007,1056,215,220,191,167,189,80,716,17975,3915,691,1469,272,271,287,360,323,170,223,7976,484,60,106,28,19,29,63,76,80,90,1036,49,9,11,3,4,0,3,9,5,18,117,4450,752,1588,298,291,318,430,404,252,335,9130,52,3,4,0,0,0,3,0,3,232,292,18633,1762,2643,515,516,510,603,594,336,1284,27399
102,0,0,0,26,50,4760,144,65,12,7,12,8,11,3,232,5254,1332,27,15,0,3,0,4,0,0,99,1479,306,3,0,0,0,0,0,0,0,23,336,77,9,0,0,4,0,0,0,0,11,100,0,0,0,0,0,0,0,0,0,3,7,384,11,3,0,4,3,0,0,0,35,436,10,0,0,0,0,0,0,0,0,38,50,1729,41,12,0,5,3,4,3,0,171,1973,25078,2942,2720,479,482,379,347,312,168,1145,34052,6174,1414,2064,422,432,408,343,300,155,335,12037,681,150,254,45,61,60,89,91,98,116,1650,68,4,16,3,0,0,5,7,0,13,114,6927,1576,2332,468,491,472,436,398,250,455,13802,63,0,10,3,0,0,5,0,0,122,206,32067,4511,5064,948,972,852,787,713,415,1724,48054
103,0,0,0,0,10,1361,16,19,0,4,0,0,0,0,75,1483,335,8,3,0,0,0,0,0,0,29,371,94,0,0,0,0,0,0,0,0,15,108,16,0,0,0,0,0,0,0,0,6,27,3,0,0,0,0,0,0,0,0,3,7,113,0,0,0,0,0,0,0,0,22,135,3,0,0,0,0,0,0,0,0,8,12,453,8,7,0,0,0,0,0,0,53,519,7513,646,686,119,191,164,107,90,67,405,9983,1625,491,994,220,352,189,195,189,94,135,4492,181,57,100,24,27,23,50,54,45,55,623,23,3,12,0,3,7,3,0,4,9,63,1834,547,1107,245,379,216,250,243,143,206,5170,34,0,3,0,0,0,0,3,0,343,384,9374,1197,1791,366,577,384,357,333,213,947,15540
104,0,0,0,9,10,1386,33,9,3,0,0,3,3,3,65,1509,409,6,3,0,0,0,0,0,0,36,449,77,0,0,0,0,0,0,0,0,8,82,19,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,3,99,0,0,0,0,0,0,0,0,13,109,13,0,0,0,0,0,0,0,0,11,25,520,9,3,0,0,0,0,0,0,56,583,7881,684,722,172,166,128,97,137,56,386,10427,1446,375,884,121,217,208,255,185,116,146,3959,136,43,134,28,59,90,99,133,112,72,910,31,12,13,0,3,0,0,4,8,4,67,1614,428,1031,151,281,307,353,328,230,222,4935,34,3,0,0,0,0,0,0,0,58,101,9525,1117,1754,321,444,437,448,459,286,668,15466
105,0,0,0,0,8,467,5,3,0,0,0,0,3,0,22,505,104,0,0,0,0,0,0,0,0,5,112,32,0,0,0,0,0,0,0,0,6,33,14,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,14,159,2601,234,286,78,80,58,59,48,24,161,3636,638,228,856,150,190,179,139,145,97,82,2706,80,11,28,3,16,17,20,42,31,29,285,6,3,5,0,3,0,0,0,0,4,23,725,242,895,154,211,200,161,188,130,119,3018,8,0,3,0,0,3,0,0,0,132,148,3335,473,1180,235,284,261,223,235,155,411,6794
106,0,0,0,17,31,1785,28,28,0,3,6,9,5,4,97,1961,433,9,3,0,0,0,0,0,0,31,483,100,0,0,0,0,0,0,0,0,10,107,33,0,0,0,0,0,0,0,0,8,39,3,0,0,0,0,0,0,0,0,0,3,133,0,0,0,0,0,0,0,0,12,143,4,0,0,0,0,0,0,0,0,11,17,570,9,0,0,0,0,0,0,0,54,643,11437,1204,1437,358,246,250,197,161,89,573,15964,2062,526,1234,208,263,222,199,190,76,151,5129,188,44,94,19,20,30,47,53,41,51,599,32,6,7,0,3,0,0,7,0,4,60,2285,582,1336,229,287,255,247,253,112,208,5790,23,3,4,0,0,0,0,0,0,258,288,13745,1787,2779,584,535,504,448,412,203,1037,22041
107,0,0,0,23,46,6429,36,41,3,13,15,7,0,3,346,6889,1042,6,4,0,0,0,0,0,0,115,1178,680,0,0,0,0,0,3,0,0,65,756,517,12,0,0,0,3,0,0,0,89,619,14,0,0,0,0,0,0,0,0,45,60,1214,10,0,0,0,5,3,0,0,197,1436,13,0,0,0,0,0,0,0,0,15,26,2272,19,4,0,0,3,3,0,0,327,2636,22507,1689,1766,373,392,386,345,311,178,1014,28957,12520,1639,2493,506,773,995,1207,1184,775,734,22818,3492,273,321,87,135,225,357,340,346,421,6011,160,12,16,4,5,3,3,3,3,107,315,16174,1921,2833,594,915,1222,1572,1529,1127,1259,29141,84,3,11,0,0,0,0,0,0,78,170,38761,3613,4605,974,1303,1609,1916,1844,1305,2346,58274
108,0,0,0,13,34,2752,47,35,8,7,0,0,4,0,116,2961,748,9,5,0,0,0,0,0,0,96,862,116,0,0,0,0,0,0,0,0,22,140,10,4,0,0,0,0,0,0,0,3,18,3,0,0,0,0,0,0,0,0,0,3,136,3,0,0,0,0,0,0,0,26,164,10,0,0,0,0,0,0,0,0,21,29,887,11,8,0,0,0,0,0,0,152,1060,13158,943,797,142,159,149,119,115,57,710,16357,1770,378,612,130,153,137,120,110,61,128,3601,113,31,50,14,13,19,16,33,20,37,350,30,3,3,0,0,3,3,0,3,7,61,1916,422,666,147,166,157,146,145,88,175,4018,57,3,3,0,0,0,0,0,0,97,162,15131,1364,1467,290,326,307,268,259,148,985,20535
109,0,0,0,3,13,908,14,11,4,4,4,0,0,0,51,995,193,3,0,0,0,0,0,0,0,40,236,74,0,0,0,0,0,0,0,0,11,82,21,0,3,0,0,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,94,0,3,0,0,0,0,0,0,14,114,3,0,0,0,0,0,0,0,0,0,5,293,3,5,0,0,0,0,0,0,52,357,4372,414,411,100,111,73,70,79,58,263,5956,963,244,858,181,228,143,175,159,86,97,3133,119,15,117,59,46,53,80,80,36,33,643,18,0,7,0,0,0,0,0,0,3,37,1099,258,988,242,274,201,253,239,121,140,3814,26,0,0,0,0,3,0,0,0,6,38,5497,674,1401,344,382,275,328,319,181,414,9808
110,0,0,0,3,7,825,5,6,0,0,0,0,0,3,54,904,208,7,0,0,0,0,0,0,0,20,229,37,0,0,0,0,0,0,0,0,0,43,11,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,49,0,3,0,0,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,252,5,4,0,0,0,0,0,0,24,287,5215,571,588,155,156,130,96,117,52,347,7418,936,381,972,192,295,339,395,499,240,157,4411,83,29,80,21,36,26,70,177,115,133,779,12,4,15,0,5,0,6,3,4,9,57,1030,413,1069,219,336,375,470,685,358,297,5251,18,0,0,0,0,0,0,0,3,48,66,6257,982,1655,365,495,502,565,796,415,686,12739
