SA4_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
101,94095,..,..,..,..,94095,..,79,3,77,0,77,..,252,37,289,4,290,..,26,0,30,0,33,..,90,40,131,0,132,..,171,59,230,4,235,..,15,4,14,0,14,..,267,100,372,8,381,..,209,25,236,6,242,..,144,0,143,4,146,..,184,7,184,0,190,..,374,16,386,7,395,..,235,23,258,3,256,..,120,11,128,6,132,..,160,10,166,0,172,..,255,20,281,4,281,..,60,0,60,0,60,..,87,3,92,0,92,..,162,11,175,0,170,..,849,50,900,11,915,..,497,55,549,8,554,..,25,8,34,3,35,..,38,48,81,0,81,..,422,78,496,8,504,..,57,3,63,0,63,..,31,7,34,0,34,..,83,0,87,3,91,..,66,3,64,0,66,..,54,0,51,0,55,..,171,22,197,3,198,..,79,3,85,0,85,..,50,3,55,0,55,..,124,3,122,0,129,..,14
102,140949,..,..,..,..,140949,..,203,0,206,0,205,..,285,21,310,3,312,..,33,0,31,0,31,..,270,114,389,4,391,..,436,168,607,7,611,..,22,7,26,0,26,..,727,291,1020,10,1029,..,119,8,129,4,134,..,192,0,189,3,192,..,258,17,275,3,275,..,399,13,413,3,415,..,339,30,368,5,377,..,33,0,33,0,33,..,178,10,188,0,187,..,112,11,123,0,123,..,28,3,33,0,33,..,69,3,72,0,72,..,119,5,124,3,128,..,553,30,583,3,583,..,541,56,597,5,601,..,143,19,167,0,162,..,208,97,301,3,308,..,17,3,17,0,17,..,190,7,197,3,199,..,51,7,56,0,57,..,117,13,134,0,130,..,203,18,223,0,229,..,58,7,68,0,68,..,86,4,92,0,89,..,126,4,124,3,131,..,96,9,109,0,107,..,185,4,185,3,191,..,49
103,89329,..,..,..,..,89329,..,123,0,123,0,123,..,164,14,184,3,184,..,70,3,75,0,75,..,104,60,170,4,170,..,138,45,184,5,190,..,17,7,21,0,21,..,262,117,377,8,382,..,49,6,61,3,62,..,55,0,55,0,55,..,69,3,67,4,75,..,130,8,138,3,140,..,95,8,105,4,106,..,40,6,47,0,47,..,81,3,90,0,86,..,91,19,106,0,106,..,27,0,27,0,27,..,44,0,45,0,42,..,117,7,122,0,122,..,401,35,436,4,436,..,175,16,190,0,192,..,24,4,26,0,29,..,45,19,65,0,65,..,8,0,10,0,10,..,39,0,37,0,37,..,34,4,39,0,38,..,33,4,35,0,35,..,61,4,64,0,64,..,15,0,15,0,15,..,22,8,29,0,29,..,79,0,81,3,85,..,22,0,24,0,26,..,105,0,105,7,105,..,18
104,58373,..,..,..,..,58373,..,43,0,43,0,43,..,77,8,85,0,85,..,67,0,70,3,72,..,51,36,90,3,93,..,78,49,121,3,124,..,13,3,20,0,20,..,136,87,228,5,234,..,11,0,13,0,13,..,84,0,83,0,88,..,102,7,106,0,109,..,207,4,204,7,211,..,41,3,44,0,46,..,10,10,22,0,22,..,46,3,48,0,48,..,580,107,683,14,696,..,6,0,6,0,6,..,17,3,17,0,17,..,29,0,28,0,28,..,690,117,813,14,819,..,125,7,131,0,131,..,46,8,58,0,58,..,12,11,29,0,29,..,3,0,3,0,3,..,12,0,12,0,17,..,17,3,17,0,17,..,22,0,22,0,22,..,19,0,20,0,20,..,13,0,13,0,13,..,9,0,9,0,9,..,11,0,14,0,19,..,30,0,30,0,30,..,34,0,32,0,38,..,10
105,48570,..,..,..,..,48570,..,42,0,42,0,43,..,63,6,68,0,69,..,68,4,71,6,85,..,47,22,69,0,69,..,61,27,89,0,86,..,4,0,6,0,6,..,116,50,165,0,160,..,26,4,29,0,29,..,18,0,19,0,19,..,29,3,29,0,31,..,71,3,77,0,78,..,47,4,49,0,49,..,47,3,53,0,49,..,53,3,55,0,56,..,54,0,54,0,52,..,52,3,55,0,55,..,60,10,63,0,63,..,185,12,193,0,193,..,453,27,479,3,481,..,62,3,66,3,65,..,16,0,16,0,16,..,19,12,34,0,34,..,8,0,8,0,8,..,14,0,14,0,14,..,14,0,21,0,21,..,9,0,11,0,11,..,13,0,13,0,13,..,3,0,3,0,3,..,29,8,32,0,32,..,48,3,45,0,45,..,16,0,16,0,16,..,68,0,71,0,75,..,12
106,117025,..,..,..,..,117025,..,191,5,194,3,190,..,101,10,112,3,114,..,48,0,50,0,48,..,142,46,186,3,191,..,128,68,196,3,203,..,10,3,15,0,15,..,278,117,396,11,402,..,64,8,66,3,71,..,87,0,89,0,89,..,106,6,112,0,112,..,200,6,211,8,214,..,128,4,130,3,134,..,45,5,52,0,52,..,86,6,94,0,92,..,104,4,108,0,108,..,24,3,31,0,31,..,60,0,65,0,62,..,64,0,65,0,63,..,391,22,413,6,417,..,195,13,208,4,214,..,37,4,48,0,46,..,40,23,61,0,63,..,28,0,29,0,29,..,37,0,37,0,38,..,12,0,11,0,11,..,58,4,62,0,64,..,24,4,30,0,30,..,32,4,36,0,36,..,22,3,22,0,28,..,104,0,104,0,103,..,25,0,25,0,25,..,119,5,122,0,122,..,18
107,116613,..,..,..,..,116613,..,93,0,93,5,99,..,1251,297,1545,14,1555,..,16,0,16,3,21,..,283,105,388,0,391,..,1398,357,1759,4,1767,..,175,70,245,0,245,..,1853,534,2390,6,2398,..,403,59,463,7,466,..,176,0,175,4,180,..,202,9,217,4,215,..,459,16,471,9,484,..,869,98,968,9,979,..,82,4,90,0,90,..,244,6,247,0,248,..,68,3,68,3,73,..,107,0,107,0,107,..,201,4,208,0,208,..,148,5,160,0,157,..,853,23,877,3,879,..,1772,232,2002,46,2046,..,105,10,116,0,115,..,113,58,169,3,172,..,2637,500,3131,47,3177,..,221,17,240,5,249,..,217,30,248,4,249,..,184,21,208,0,204,..,80,13,93,0,93,..,38,3,39,0,39,..,670,154,831,6,833,..,83,0,83,0,82,..,141,14,155,0,155,..,160,5,166,3,168,..,92
108,92920,..,..,..,..,92920,..,60,0,60,0,60,..,81,3,86,0,87,..,64,4,65,7,75,..,66,32,98,7,103,..,90,49,140,3,145,..,16,0,12,0,12,..,174,80,252,11,265,..,26,5,36,0,33,..,122,0,122,0,118,..,120,8,124,3,124,..,219,3,221,5,226,..,63,4,66,0,66,..,19,0,23,0,23,..,47,0,47,0,47,..,39,3,46,0,47,..,22,0,21,0,21,..,20,0,20,0,20,..,56,5,57,0,55,..,201,9,205,0,212,..,133,12,141,7,147,..,46,0,46,0,46,..,17,19,36,0,36,..,7,0,7,0,7,..,29,3,37,0,37,..,13,0,19,0,19,..,34,0,39,0,39,..,18,0,17,0,22,..,8,0,8,0,8,..,16,4,16,0,16,..,31,0,31,0,31,..,20,0,21,0,21,..,42,0,46,0,46,..,8
109,49918,..,..,..,..,49918,..,52,0,51,0,51,..,58,10,72,0,71,..,40,0,45,3,45,..,43,21,62,0,62,..,67,66,129,0,129,..,3,3,10,0,10,..,116,88,199,0,199,..,29,3,31,0,31,..,56,0,56,3,56,..,31,3,35,0,35,..,85,5,93,7,97,..,98,9,104,0,107,..,56,0,54,0,54,..,75,10,80,0,80,..,136,26,157,7,165,..,37,4,39,0,39,..,31,7,37,0,37,..,222,124,339,0,343,..,550,163,716,6,723,..,187,12,203,6,202,..,16,3,23,0,23,..,19,9,32,0,32,..,10,0,10,0,10,..,9,0,9,0,9,..,16,3,21,0,21,..,12,0,20,0,20,..,13,3,18,0,18,..,0,0,0,0,0,..,23,0,23,0,23,..,41,0,43,5,43,..,3,0,3,0,3,..,60,3,67,0,63,..,21
110,78038,..,..,..,..,78038,..,113,0,108,0,108,..,173,37,208,0,208,..,55,8,58,0,58,..,85,37,124,0,129,..,201,142,348,8,354,..,19,8,30,0,30,..,305,196,500,10,505,..,4,0,4,0,4,..,53,0,53,3,52,..,77,0,74,0,77,..,136,5,139,0,144,..,49,5,51,0,52,..,58,5,67,0,67,..,91,4,98,0,98,..,87,5,94,0,92,..,44,3,48,0,48,..,46,3,48,0,48,..,122,11,130,0,129,..,446,29,478,3,482,..,90,9,96,0,102,..,36,3,41,0,41,..,46,90,142,3,141,..,5,0,5,0,5,..,9,0,9,0,9,..,33,0,33,0,33,..,19,3,20,0,20,..,18,5,23,0,23,..,14,0,14,0,14,..,16,3,21,0,21,..,105,5,106,5,108,..,23,0,23,0,24,..,192,5,196,6,195,..,22
