SA4_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
101,..,413,58,470,6,471,..,209,24,233,6,234,..,320,19,339,3,342,..,455,57,515,7,520,..,114,4,119,3,123,..,148,10,163,0,161,..,303,23,325,0,327,..,1558,137,1691,22,1707,..,945,103,1044,14,1056,..,86,10,95,10,100,..,93,73,164,0,165,..,783,154,941,6,950,..,113,3,117,0,114,..,60,10,70,0,71,..,193,13,205,3,207,..,140,9,157,0,160,..,88,4,96,0,94,..,313,44,365,11,370,..,237,3,242,0,245,..,129,18,141,3,143,..,364,9,372,3,378,..,62,3,65,0,70,..,799,29,830,4,832,..,392,39,423,10,434,..,72,7,74,0,73,..,204,41,243,12,252,..,68,9,76,0,75,..,161,43,210,0,210,..,1665,287,1950,66,2014,..,11299,1459,12763,234,12991,..,598,48,648,15846,16493,189352,11895,1509,13410,16077,218843
102,..,628,83,717,18,732,..,78,0,74,0,74,..,335,18,355,0,362,..,212,29,246,3,242,..,71,0,71,0,71,..,124,5,130,0,130,..,235,23,251,5,254,..,1049,81,1126,4,1134,..,1041,97,1140,14,1155,..,374,45,418,0,414,..,439,188,625,8,636,..,33,4,39,0,39,..,404,12,411,6,416,..,98,17,111,3,113,..,281,21,305,8,311,..,443,63,511,3,509,..,123,15,131,0,131,..,171,18,191,5,197,..,377,16,389,6,398,..,252,20,273,0,272,..,648,19,661,11,673,..,114,11,127,3,132,..,1390,62,1453,20,1470,..,1370,140,1506,21,1524,..,124,12,132,0,132,..,449,99,543,5,551,..,101,15,119,0,119,..,268,76,347,0,347,..,3035,491,3528,79,3608,..,16579,2384,18966,254,19219,..,959,88,1049,17700,18743,289774,17540,2471,20010,17952,327736
103,..,172,12,183,3,190,..,84,12,94,0,94,..,158,4,167,0,173,..,173,34,206,0,210,..,55,0,55,0,56,..,83,4,86,3,84,..,224,20,238,3,244,..,768,77,843,7,852,..,329,47,372,4,374,..,81,12,91,0,92,..,82,36,117,0,117,..,19,0,22,0,25,..,61,0,62,0,62,..,66,10,78,0,74,..,88,7,88,0,88,..,120,16,135,0,135,..,26,0,26,0,26,..,63,5,70,0,70,..,200,4,206,5,209,..,59,4,65,0,68,..,281,7,286,8,293,..,50,0,52,3,55,..,587,14,603,17,627,..,206,22,225,6,230,..,98,12,115,0,115,..,135,43,176,3,179,..,27,4,29,0,29,..,145,47,194,5,195,..,1347,253,1599,43,1636,..,6238,953,7188,131,7316,..,511,33,538,17703,18238,180602,6751,979,7732,17828,206155
104,..,74,6,84,5,89,..,16,10,25,0,25,..,99,5,103,0,103,..,1087,234,1324,19,1341,..,20,0,16,0,16,..,33,6,34,0,40,..,53,3,61,0,60,..,1306,263,1566,22,1586,..,233,16,246,7,253,..,112,18,131,0,132,..,31,17,47,0,50,..,11,0,12,0,12,..,23,0,23,0,22,..,26,19,49,0,49,..,62,0,64,0,66,..,56,3,60,0,60,..,25,0,24,0,21,..,18,0,18,0,18,..,95,3,102,3,104,..,68,5,74,0,74,..,155,4,163,4,164,..,55,3,53,0,53,..,374,16,387,5,396,..,282,25,306,3,308,..,34,0,34,0,34,..,134,17,150,0,150,..,10,0,10,0,10,..,61,27,86,3,87,..,1185,521,1705,42,1752,..,5626,1181,6805,142,6947,..,389,24,417,9476,9889,119455,6022,1200,7218,9614,136288
105,..,84,14,98,0,103,..,90,7,93,0,96,..,104,4,112,0,112,..,84,3,92,3,91,..,117,10,126,0,127,..,90,20,112,0,110,..,349,22,371,0,369,..,826,72,896,5,903,..,124,14,135,7,142,..,35,4,41,0,39,..,40,18,59,0,59,..,12,0,12,0,12,..,27,0,31,0,31,..,28,0,32,0,32,..,19,0,20,0,20,..,25,0,25,0,25,..,4,0,3,0,3,..,54,9,66,0,66,..,102,4,112,3,112,..,30,4,31,0,31,..,183,10,198,4,199,..,37,0,37,0,37,..,358,21,378,4,384,..,70,9,82,0,82,..,65,3,66,0,69,..,48,12,60,0,60,..,7,0,7,0,9,..,72,9,79,0,82,..,692,102,791,13,803,..,3517,419,3938,66,4002,..,333,21,353,10964,11313,98454,3852,441,4291,11027,113779
106,..,220,17,230,3,237,..,83,14,94,0,91,..,187,9,199,3,199,..,198,15,213,0,213,..,44,3,55,0,56,..,103,7,108,0,114,..,127,10,135,0,140,..,744,61,802,10,810,..,343,24,365,6,374,..,104,11,117,3,115,..,75,42,118,3,118,..,48,0,44,0,44,..,57,0,63,0,65,..,13,3,20,0,20,..,159,16,175,0,179,..,74,8,84,0,84,..,70,4,77,0,77,..,46,4,51,3,58,..,270,3,276,0,279,..,68,3,70,0,70,..,398,8,408,8,415,..,63,0,64,0,64,..,804,17,825,10,837,..,329,39,367,10,373,..,57,8,63,0,63,..,209,57,266,3,270,..,42,8,54,0,54,..,145,64,205,3,209,..,1366,295,1657,54,1712,..,7094,1004,8097,153,8255,..,544,39,583,17691,18268,236895,7639,1039,8678,17841,263416
107,..,1745,293,2034,36,2068,..,164,9,167,0,167,..,454,19,472,3,478,..,123,14,132,3,133,..,208,9,221,0,221,..,308,18,332,0,330,..,285,13,295,0,297,..,1539,75,1618,8,1622,..,3615,634,4247,100,4354,..,263,29,290,3,297,..,247,114,366,3,369,..,4939,1294,6234,82,6318,..,504,34,543,10,556,..,396,60,455,3,462,..,437,60,495,7,501,..,188,27,217,0,220,..,86,3,86,0,86,..,1353,344,1702,13,1717,..,283,6,292,5,297,..,286,29,317,0,319,..,560,24,585,14,599,..,191,15,210,0,212,..,1321,82,1406,22,1426,..,2042,346,2387,11,2402,..,185,6,190,0,191,..,522,123,646,3,651,..,1002,219,1222,9,1235,..,962,335,1297,3,1296,..,4485,1144,5633,123,5747,..,34612,7154,41764,558,42321,..,740,121,854,13907,14763,236409,35348,7269,42619,14465,293494
108,..,127,5,135,3,140,..,36,0,36,0,36,..,93,3,98,0,98,..,80,10,93,0,91,..,32,4,36,0,36,..,29,0,29,0,29,..,112,8,124,0,124,..,380,24,405,0,410,..,274,20,289,13,298,..,110,7,114,0,114,..,45,33,80,0,80,..,12,0,12,0,12,..,61,9,65,0,65,..,25,0,24,0,24,..,77,0,82,0,80,..,55,7,59,0,57,..,8,0,8,0,8,..,40,7,43,0,43,..,147,4,148,0,146,..,67,4,72,0,72,..,214,4,217,3,218,..,29,0,31,0,31,..,456,13,463,3,468,..,286,23,313,0,315,..,18,0,16,0,16,..,164,29,190,5,199,..,25,0,24,0,24,..,93,24,118,5,119,..,924,143,1064,53,1117,..,4996,560,5549,140,5686,..,575,24,607,14767,15371,191140,5571,584,6158,14904,212201
109,..,182,17,196,0,197,..,97,9,105,0,105,..,150,13,165,0,162,..,256,48,305,8,316,..,86,3,93,0,93,..,38,14,57,0,57,..,385,269,660,4,662,..,1023,358,1375,11,1391,..,372,41,408,6,421,..,42,14,50,0,50,..,45,19,61,0,61,..,15,0,15,0,15,..,12,0,12,0,12,..,28,5,31,0,31,..,28,7,37,0,38,..,35,4,38,0,38,..,8,0,9,0,9,..,52,4,55,0,55,..,132,3,140,3,142,..,18,0,18,0,18,..,182,3,182,0,189,..,42,5,40,0,40,..,368,14,384,9,392,..,103,8,106,0,106,..,62,0,64,0,66,..,99,21,118,0,116,..,7,0,12,0,12,..,34,17,49,3,54,..,780,165,941,25,965,..,4290,880,5165,87,5249,..,288,19,311,8911,9216,101332,4581,893,5473,8997,115803
110,..,89,5,99,5,102,..,108,13,121,0,121,..,169,11,179,3,181,..,141,20,167,0,167,..,90,4,91,0,98,..,80,4,87,0,86,..,269,14,284,3,284,..,857,68,928,11,932,..,172,17,188,3,196,..,81,16,99,0,101,..,88,120,210,0,215,..,5,0,5,0,5,..,18,0,18,3,17,..,55,5,63,0,63,..,33,3,38,0,38,..,56,8,61,0,61,..,15,0,16,0,16,..,32,5,41,0,41,..,232,5,238,7,248,..,53,3,52,0,58,..,450,14,468,9,476,..,50,3,49,0,49,..,779,29,811,19,823,..,125,14,136,3,143,..,75,11,85,0,84,..,112,27,134,0,137,..,17,3,23,0,23,..,131,48,177,0,176,..,990,188,1176,35,1211,..,5574,1005,6582,109,6688,..,496,33,533,15114,15652,159220,6073,1044,7116,15222,181555
