SA4_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
101,3913,27501,30175,11044,6178,78820,3492,82309
102,8388,44315,42414,13703,7415,116232,4810,121048
103,4604,24317,27034,9797,5520,71274,3471,74746
104,2995,19581,18526,5608,2664,49376,2237,51614
105,3252,14203,13883,5050,2665,39053,2191,41240
106,4411,30351,35917,12529,6993,90197,3695,93894
107,8319,36203,37591,12458,6796,101370,3924,105288
108,5027,32622,28886,8827,4075,79444,3897,83341
109,2761,15177,16012,5214,2666,41834,2008,43846
110,4165,22278,23423,8435,4762,63064,3240,66307
111,9874,47647,50064,15654,7693,130923,4578,135506
112,5192,34412,32864,9787,4731,86985,3969,90951
113,3112,18079,20478,7267,4050,52990,2526,55512
114,2510,20713,20362,6463,3468,53513,2381,55891
115,1647,15907,30342,12031,8461,68386,1426,69816
116,7155,33106,38708,12916,6337,98224,3693,101918
117,40413,55161,19338,3315,1319,119555,5120,124676
118,17118,43328,26576,5764,2340,95119,3697,98825
119,21770,71909,56834,17849,9278,177632,6774,184401
120,14870,47204,29652,6776,3065,101565,3396,104952
121,14867,62556,48782,12150,5157,143515,3201,146713
122,5764,30833,34013,9849,4975,85428,2508,87940
123,4611,25026,30961,11922,7580,80097,2625,82721
124,6411,34183,38329,13513,8451,100884,3282,104168
125,15991,55189,44517,13065,6806,135572,5295,140867
126,6245,25503,21192,5608,2630,61168,1607,62777
127,9931,34870,40562,16848,10069,112275,4610,116885
128,4324,23976,30415,9607,5867,74188,1974,76169
197,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
201,3367,19839,21933,7561,4526,57232,2515,59743
202,3004,18726,21558,7600,4279,55169,2348,57513
203,5754,34451,40246,12190,6357,98988,3641,102631
204,2952,20363,24014,8691,5225,61243,2855,64101
205,5437,34583,37970,13341,7555,98886,4599,103488
206,59472,111376,53364,10323,4075,238614,8289,246911
207,9547,45869,49528,13719,6366,125029,3304,128334
208,11214,56179,57897,14006,6309,145608,4123,149732
209,10323,54499,65885,21034,11742,163480,5192,168667
210,6795,37564,45762,15487,8872,114476,4140,118615
211,6832,51914,72361,24769,14770,170637,4656,175298
212,13023,74142,97305,32891,17630,234994,8025,243018
213,14835,79285,91548,28333,14133,228134,8293,236425
214,5279,35924,42496,12861,6752,103307,4168,107477
215,3471,18192,20057,7546,4810,54078,2822,56900
216,2471,14861,17355,6499,3892,45073,2242,47321
217,2298,14908,17003,6281,4004,44493,2048,46541
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
301,3705,24415,31507,11258,6016,76897,2337,79234
302,5866,29183,28784,8256,3695,75782,2255,78039
303,7928,40802,44664,13717,6372,113478,3346,116823
304,3783,20672,24661,7462,3397,59962,1233,61200
305,12397,42016,29458,7237,3026,94144,2847,96989
306,5771,31115,31551,9581,4337,82345,3694,86040
307,2053,13708,16177,6777,4504,43220,1883,45103
308,3925,24123,29190,10746,5615,73605,2925,76527
309,10128,70239,78552,25003,12669,196591,7009,203602
310,5526,33814,39995,14549,7824,101704,3747,105456
311,5031,30683,38033,15345,9592,98688,3398,102085
312,2814,18214,22705,8042,3802,55584,2529,58112
313,5163,29673,29404,10778,6559,81570,2975,84548
314,1991,18644,28306,9626,5199,63760,1337,65103
315,3198,7917,7617,2904,1863,23499,1513,25011
316,5492,44964,50109,16115,8051,124739,3989,128735
317,3244,18264,19990,6822,3726,52039,1792,53834
318,4713,26980,31481,10226,4837,78243,2802,81043
319,6417,40805,37903,12902,6675,104700,4660,109362
397,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
401,9779,40160,39627,12130,6128,107835,2929,110763
402,11449,55400,56225,17579,8696,149343,4793,154138
403,9061,49271,51582,15886,7267,133068,3837,136899
404,9192,35412,30267,8898,3940,87704,2946,90651
405,2054,14002,15732,6169,4030,41974,1484,43454
406,2699,10441,10566,3809,1918,29435,1346,30781
407,3620,24254,25942,9782,5824,69414,2689,72101
497,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
501,2322,18870,24986,9562,5349,61076,2065,63149
502,1533,13061,13330,4569,2514,35010,1188,36196
503,5788,26025,22231,5847,2707,62591,1759,64349
504,4055,26586,34388,12723,7770,85525,2372,87895
505,7661,58450,78471,26441,13790,184812,4786,189599
506,8151,53493,65729,23636,14272,165287,4844,170129
507,6506,44781,57742,19382,9857,138262,3846,142113
509,1951,13735,17502,7830,6271,47294,2046,49338
510,2385,7048,8457,3171,1628,22688,1251,23938
511,2264,12155,14521,5791,3556,38290,1780,40067
597,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0
601,6840,31427,29613,9870,5051,82799,2828,85630
602,3663,18640,18985,7172,4097,52551,2040,54587
603,448,4318,5424,2243,1418,13842,568,14412
604,2754,14881,15075,5635,2904,41241,1708,42950
697,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0
701,2285,13057,16773,5849,3145,41111,1941,43043
702,4662,7504,5577,1867,958,20564,1449,22013
797,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0
801,7832,53025,55714,15552,7030,139148,3513,142664
897,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0
901,63,435,516,178,105,1296,69,1360
997,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
