SA4_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
101,360,150,117,27,51,15,705,137,38,37,18,33,0,261,261,96,80,29,54,6,525,225,104,83,35,50,6,496,372,252,138,81,68,11,924,477,419,235,110,122,20,1386,547,531,283,111,125,10,1603,619,758,279,136,119,11,1921,564,787,241,104,99,11,1805,547,874,309,140,98,11,1984,368,631,191,68,64,8,1328,625,1046,322,94,76,11,2169,252,500,122,38,34,0,950,162,320,88,16,12,0,601,437,842,249,57,46,3,1637,634,1030,340,62,50,3,2125,198,325,113,18,20,0,677,157,211,74,5,12,8,471,347,345,182,56,65,11,1007,7298,9253,3484,1213,1184,144,22584
102,470,206,207,50,107,24,1055,149,67,62,16,42,5,344,264,107,181,37,82,12,678,218,101,113,42,77,10,547,357,243,260,69,144,10,1089,426,384,379,138,181,20,1541,566,635,430,178,223,19,2041,711,998,505,257,288,19,2774,735,1254,528,233,250,22,3022,895,1713,632,273,285,21,3816,670,1448,428,165,154,19,2875,1059,2254,820,250,223,22,4623,478,1100,255,91,55,8,1987,285,748,206,46,40,11,1331,658,1601,474,103,104,17,2956,724,1572,520,106,114,13,3041,249,441,161,33,23,3,920,176,275,126,19,20,3,623,383,500,282,96,125,13,1396,9482,15643,6559,2188,2530,260,36663
103,330,190,92,22,28,8,678,84,29,31,7,17,0,182,212,101,77,36,52,8,485,186,133,80,37,44,11,488,345,279,189,98,81,5,998,436,525,233,138,134,10,1469,547,660,244,140,96,13,1704,583,881,290,169,137,7,2072,451,828,259,122,77,12,1758,507,1001,248,121,73,3,1954,310,713,153,55,35,4,1271,445,986,290,82,59,9,1869,156,431,84,22,16,3,704,101,281,42,11,11,0,438,283,669,183,24,30,4,1189,260,586,183,29,22,0,1084,103,191,60,11,15,0,382,82,123,32,8,0,0,256,291,316,149,63,58,5,879,5703,8915,2934,1200,989,118,19860
104,214,76,67,13,35,5,408,87,23,20,7,14,3,158,167,56,68,14,32,9,348,140,59,59,30,46,3,342,229,131,89,59,68,4,585,323,260,146,83,83,6,901,312,297,176,96,111,5,1001,401,514,187,128,119,3,1351,307,575,148,97,84,10,1215,390,597,190,101,60,3,1344,235,450,114,58,33,4,897,296,581,181,55,50,7,1174,123,216,43,19,12,3,414,55,127,25,6,7,0,224,186,331,95,35,14,3,664,158,257,102,28,27,3,578,50,67,27,6,0,0,150,46,68,16,3,4,0,140,164,146,83,25,38,11,462,3878,4831,1848,878,834,74,12336
105,231,141,65,19,22,3,483,56,16,15,14,11,0,115,135,83,48,39,40,3,346,125,103,55,42,30,0,352,240,205,99,98,69,8,720,286,320,141,116,63,5,930,291,413,130,86,62,10,1005,311,459,143,118,55,9,1103,191,432,122,53,36,4,841,250,418,111,45,34,5,859,111,291,54,26,14,0,494,181,357,98,28,22,7,692,58,130,21,3,3,0,222,42,80,21,11,5,0,149,80,149,63,13,13,3,321,95,174,49,5,12,0,334,40,55,12,4,3,0,124,36,48,15,4,4,0,108,191,154,80,39,30,11,510,2953,4033,1339,776,539,77,9703
106,339,171,159,42,57,9,768,116,40,50,9,26,4,248,238,94,127,25,62,5,539,195,103,117,29,58,3,505,316,227,209,85,102,12,952,430,415,328,130,118,15,1440,552,613,360,147,171,13,1858,751,1103,451,224,168,23,2722,717,1162,386,172,135,13,2579,820,1485,444,198,155,25,3122,538,1089,308,123,67,4,2130,856,1739,536,145,81,12,3377,332,779,175,51,34,4,1370,208,462,84,26,20,3,805,480,1183,329,70,48,7,2115,541,1119,318,61,46,5,2092,170,288,123,20,17,3,612,93,161,51,14,11,0,330,360,414,225,77,81,18,1176,8056,12635,4783,1642,1446,186,28743
107,336,244,220,45,59,9,911,90,67,70,12,24,4,268,218,103,156,43,76,6,609,127,113,113,31,51,3,427,277,219,228,71,96,8,891,336,339,300,74,134,12,1194,371,522,394,112,141,10,1545,467,746,432,176,179,17,2017,446,898,389,147,157,14,2051,591,1249,478,200,168,18,2699,471,1081,318,141,118,16,2141,817,2006,615,206,167,34,3837,373,1039,211,88,60,6,1775,250,635,149,43,22,3,1108,645,1734,415,99,103,15,3011,802,1937,491,109,100,10,3439,237,555,179,22,32,4,1030,141,308,115,15,19,0,604,244,457,245,67,87,8,1098,7222,14252,5505,1680,1795,203,30654
108,346,104,76,31,56,5,617,133,37,31,16,37,0,252,257,105,92,37,51,7,544,240,80,68,32,46,0,467,413,198,135,65,85,10,901,505,370,237,121,121,13,1367,458,517,221,155,130,9,1495,606,744,295,175,145,15,1973,536,749,230,142,119,10,1781,496,794,263,132,97,10,1797,357,639,150,76,55,3,1290,483,801,237,87,62,3,1675,176,348,80,22,14,6,640,109,179,56,13,8,0,364,279,437,124,37,27,3,914,226,411,139,41,15,3,835,92,117,37,6,10,0,268,58,69,35,8,7,0,182,307,246,119,61,54,17,794,6072,6935,2627,1264,1150,109,18157
109,222,147,108,13,24,4,512,69,22,14,7,5,3,122,169,78,49,23,21,0,343,121,81,42,25,23,3,302,280,218,105,69,77,3,743,338,388,168,78,69,11,1052,332,455,162,78,55,8,1086,378,599,172,101,76,7,1331,292,515,140,55,45,3,1050,290,551,171,41,36,5,1095,148,353,87,28,15,0,630,245,455,150,21,25,7,900,76,168,36,9,6,0,288,34,63,26,4,0,0,132,110,212,55,7,15,0,401,94,202,63,4,4,0,374,44,62,20,0,3,0,137,35,59,10,3,3,0,110,209,201,86,28,26,0,554,3477,4839,1662,595,530,60,11160
110,371,178,106,18,34,4,712,83,35,18,10,20,4,171,176,107,70,37,36,4,427,188,112,76,39,45,10,468,335,273,163,102,89,9,960,450,440,199,128,92,13,1329,506,614,233,122,112,7,1591,530,755,210,153,122,11,1774,425,701,179,91,60,8,1472,396,765,199,100,64,12,1548,245,443,120,45,34,3,905,351,666,194,51,25,10,1298,104,235,55,16,11,0,415,61,155,35,7,4,3,263,165,352,103,18,22,0,657,177,351,92,17,15,0,657,55,105,32,6,0,0,209,62,108,27,8,8,0,213,261,273,127,56,51,4,774,4944,6682,2231,1029,843,104,15827
