CED_NAME16	HomeCensusNight	persons
Banks	0	4388
Banks	1	151416
Barton	0	4927
Barton	1	167919
Bennelong	0	5056
Bennelong	1	163893
Berowra	0	4687
Berowra	1	140446
Blaxland	0	4858
Blaxland	1	169769
Bradfield	0	5371
Bradfield	1	154885
Calare	0	9143
Calare	1	152154
Chifley	0	4677
Chifley	1	166571
Cook	0	5416
Cook	1	133650
Cowper	0	9001
Cowper	1	150318
Cunningham	0	7280
Cunningham	1	148103
Dobell	0	6971
Dobell	1	147098
Eden-Monaro	0	9348
Eden-Monaro	1	138185
Farrer	0	10618
Farrer	1	153365
Fowler	0	4731
Fowler	1	159502
Gilmore	0	10383
Gilmore	1	140049
Grayndler	0	6174
Grayndler	1	143335
Greenway	0	4117
Greenway	1	165949
Hughes	0	4796
Hughes	1	139492
Hume	0	6347
Hume	1	144293
Hunter	0	8153
Hunter	1	148644
Kingsford Smith	0	6276
Kingsford Smith	1	169959
Lindsay	0	5638
Lindsay	1	160893
Lyne	0	8800
Lyne	1	136675
Macarthur	0	5239
Macarthur	1	156780
Mackellar	0	6342
Mackellar	1	142265
Macquarie	0	6181
Macquarie	1	135258
McMahon	0	4608
McMahon	1	161086
Mitchell	0	4191
Mitchell	1	149264
New England	0	9736
New England	1	144449
Newcastle	0	8110
Newcastle	1	144840
North Sydney	0	6421
North Sydney	1	155105
Page	0	8642
Page	1	150473
Parkes	0	10496
Parkes	1	143271
Parramatta	0	4869
Parramatta	1	181451
Paterson	0	8245
Paterson	1	147384
Reid	0	5957
Reid	1	175388
Richmond	0	8350
Richmond	1	144564
Riverina	0	9496
Riverina	1	146295
Robertson	0	6910
Robertson	1	136189
Shortland	0	7493
Shortland	1	136992
Sydney	0	8911
Sydney	1	191270
Warringah	0	6394
Warringah	1	140941
Watson	0	4572
Watson	1	170233
Wentworth	0	6556
Wentworth	1	139393
Werriwa	0	4276
Werriwa	1	166635
Whitlam	0	6873
Whitlam	1	145408
No usual address (NSW)	0	12288
Migratory - Offshore - Shipping (NSW)	0	6
Migratory - Offshore - Shipping (NSW)	1	409
Aston	0	4802
Aston	1	131214
Ballarat	0	8637
Ballarat	1	145843
Batman	0	6267
Batman	1	155700
Bendigo	0	8319
Bendigo	1	142107
Bruce	0	5094
Bruce	1	151911
Calwell	0	4845
Calwell	1	160561
Casey	0	6721
Casey	1	136044
Chisholm	0	5790
Chisholm	1	158637
Corangamite	0	9710
Corangamite	1	143032
Corio	0	7719
Corio	1	142198
Deakin	0	5544
Deakin	1	141216
Dunkley	0	7043
Dunkley	1	139334
Flinders	0	10361
Flinders	1	143134
Gellibrand	0	6127
Gellibrand	1	159744
Gippsland	0	9986
Gippsland	1	133043
Goldstein	0	6611
Goldstein	1	141014
Gorton	0	5504
Gorton	1	189184
Higgins	0	7167
Higgins	1	146774
Holt	0	5669
Holt	1	194195
Hotham	0	4984
Hotham	1	146299
Indi	0	10011
Indi	1	130173
Isaacs	0	5948
Isaacs	1	152706
Jagajaga	0	5873
Jagajaga	1	135430
Kooyong	0	6345
Kooyong	1	139050
La Trobe	0	5755
La Trobe	1	151202
Lalor	0	6623
Lalor	1	225359
Mallee	0	8660
Mallee	1	129933
Maribyrnong	0	5893
Maribyrnong	1	160532
McEwen	0	7693
McEwen	1	202842
McMillan	0	9313
McMillan	1	158018
Melbourne	0	9096
Melbourne	1	199501
Melbourne Ports	0	7823
Melbourne Ports	1	152883
Menzies	0	5177
Menzies	1	132352
Murray	0	9310
Murray	1	136058
Scullin	0	5006
Scullin	1	162956
Wannon	0	8747
Wannon	1	125026
Wills	0	6306
Wills	1	163342
No usual address (Vic.)	0	7565
Migratory - Offshore - Shipping (Vic.)	0	3
Migratory - Offshore - Shipping (Vic.)	1	26
Blair	0	7033
Blair	1	149290
Bonner	0	6639
Bonner	1	142994
Bowman	0	6886
Bowman	1	140128
Brisbane	0	9201
Brisbane	1	154689
Capricornia	0	10858
Capricornia	1	139863
Dawson	0	11462
Dawson	1	144848
Dickson	0	6174
Dickson	1	140042
Fadden	0	6994
Fadden	1	162602
Fairfax	0	8344
Fairfax	1	145122
Fisher	0	7511
Fisher	1	132655
Flynn	0	10572
Flynn	1	144916
Forde	0	6709
Forde	1	158831
Griffith	0	8041
Griffith	1	149564
Groom	0	7820
Groom	1	141046
Herbert	0	9485
Herbert	1	150514
Hinkler	0	8514
Hinkler	1	133203
Kennedy	0	9357
Kennedy	1	146039
Leichhardt	0	10478
Leichhardt	1	164965
Lilley	0	6792
Lilley	1	148585
Longman	0	7273
Longman	1	153323
Maranoa	0	10127
Maranoa	1	139137
McPherson	0	6946
McPherson	1	144632
Moncrieff	0	7442
Moncrieff	1	153293
Moreton	0	6578
Moreton	1	151492
Oxley	0	5857
Oxley	1	157351
Petrie	0	6806
Petrie	1	156463
Rankin	0	6242
Rankin	1	172922
Ryan	0	7225
Ryan	1	148118
Wide Bay	0	8640
Wide Bay	1	135464
Wright	0	6852
Wright	1	149588
No usual address (Qld)	0	12510
Migratory - Offshore - Shipping (Qld)	0	21
Migratory - Offshore - Shipping (Qld)	1	135
Adelaide	0	7738
Adelaide	1	155698
Barker	0	9526
Barker	1	139968
Boothby	0	6896
Boothby	1	138939
Grey	0	10945
Grey	1	132576
Hindmarsh	0	7058
Hindmarsh	1	144186
Kingston	0	6966
Kingston	1	140942
Makin	0	6288
Makin	1	143227
Mayo	0	8476
Mayo	1	131884
Port Adelaide	0	6700
Port Adelaide	1	158391
Sturt	0	6063
Sturt	1	143098
Wakefield	0	7803
Wakefield	1	160409
No usual address (SA)	0	2863
Migratory - Offshore - Shipping (SA)	1	3
Brand	0	9591
Brand	1	154433
Burt	0	6638
Burt	1	162145
Canning	0	9828
Canning	1	136194
Cowan	0	5669
Cowan	1	141871
Curtin	0	7173
Curtin	1	135917
Durack	0	12972
Durack	1	168797
Forrest	0	11209
Forrest	1	136565
Fremantle	0	7294
Fremantle	1	141451
Hasluck	0	7151
Hasluck	1	136469
Moore	0	6141
Moore	1	134117
O'Connor	0	11562
O'Connor	1	144758
Pearce	0	9186
Pearce	1	172582
Perth	0	7412
Perth	1	143682
Stirling	0	6446
Stirling	1	141543
Swan	0	7940
Swan	1	155262
Tangney	0	5563
Tangney	1	130480
No usual address (WA)	0	5950
Migratory - Offshore - Shipping (WA)	0	15
Migratory - Offshore - Shipping (WA)	1	418
Bass	0	6206
Bass	1	95186
Braddon	0	6536
Braddon	1	90520
Denison	0	5971
Denison	1	96601
Franklin	0	6092
Franklin	1	98354
Lyons	0	7076
Lyons	1	96430
No usual address (Tas.)	0	912
Migratory - Offshore - Shipping (Tas.)	0	4
Migratory - Offshore - Shipping (Tas.)	1	65
Lingiari	0	7185
Lingiari	1	107365
Solomon	0	6329
Solomon	1	107794
No usual address (NT)	0	2489
Migratory - Offshore - Shipping (NT)	1	70
Canberra	0	10471
Canberra	1	185569
Fenner	0	9327
Fenner	1	193632
No usual address (ACT)	0	538
No usual address (OT)	0	55
Migratory - Offshore - Shipping (OT)	1	6
