CED_NAME16	MotorVehicles.min	occupied_private_dwellings
Banks		1617
Banks	0	5672
Banks	1	19934
Banks	2	17431
Banks	3	5391
Banks	4	2706
Barton		2079
Barton	0	8467
Barton	1	25024
Barton	2	15818
Barton	3	4496
Barton	4	2132
Bennelong		1521
Bennelong	0	6074
Bennelong	1	24319
Bennelong	2	19249
Bennelong	3	5101
Bennelong	4	2316
Berowra		954
Berowra	0	1701
Berowra	1	12838
Berowra	2	19037
Berowra	3	6927
Berowra	4	4496
Blaxland		2331
Blaxland	0	5884
Blaxland	1	18159
Blaxland	2	15439
Blaxland	3	5493
Blaxland	4	3061
Bradfield		1114
Bradfield	0	3840
Bradfield	1	19738
Bradfield	2	20670
Bradfield	3	5783
Bradfield	4	2478
Calare		2609
Calare	0	3630
Calare	1	18817
Calare	2	20967
Calare	3	7616
Calare	4	4193
Chifley		2168
Chifley	0	4441
Chifley	1	17480
Chifley	2	17441
Chifley	3	6065
Chifley	4	2988
Cook		1523
Cook	0	3631
Cook	1	17605
Cook	2	19140
Cook	3	5567
Cook	4	3233
Cowper		2753
Cowper	0	4081
Cowper	1	24467
Cowper	2	21391
Cowper	3	6115
Cowper	4	2790
Cunningham		2114
Cunningham	0	5486
Cunningham	1	20506
Cunningham	2	19519
Cunningham	3	6048
Cunningham	4	3093
Dobell		2273
Dobell	0	3630
Dobell	1	19347
Dobell	2	19460
Dobell	3	6575
Dobell	4	3698
Eden-Monaro		2232
Eden-Monaro	0	2320
Eden-Monaro	1	17829
Eden-Monaro	2	20558
Eden-Monaro	3	7574
Eden-Monaro	4	4291
Farrer		2847
Farrer	0	3656
Farrer	1	20197
Farrer	2	22098
Farrer	3	7498
Farrer	4	4029
Fowler		2030
Fowler	0	5521
Fowler	1	16679
Fowler	2	14648
Fowler	3	6009
Fowler	4	3355
Gilmore		2517
Gilmore	0	2783
Gilmore	1	21822
Gilmore	2	20983
Gilmore	3	6369
Gilmore	4	3183
Grayndler		1776
Grayndler	0	9691
Grayndler	1	28020
Grayndler	2	13922
Grayndler	3	2539
Grayndler	4	918
Greenway		1552
Greenway	0	2878
Greenway	1	16260
Greenway	2	21424
Greenway	3	6690
Greenway	4	3217
Hughes		1076
Hughes	0	1957
Hughes	1	13273
Hughes	2	20097
Hughes	3	6741
Hughes	4	4041
Hume		1673
Hume	0	1777
Hume	1	12721
Hume	2	19653
Hume	3	8430
Hume	4	6057
Hunter		2126
Hunter	0	2760
Hunter	1	17947
Hunter	2	20976
Hunter	3	7575
Hunter	4	4222
Kingsford Smith		2525
Kingsford Smith	0	11211
Kingsford Smith	1	26609
Kingsford Smith	2	16856
Kingsford Smith	3	3943
Kingsford Smith	4	1659
Lindsay		1920
Lindsay	0	3668
Lindsay	1	17714
Lindsay	2	20101
