CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Banks	0	F	36908
Banks	0	M	33513
Banks	1	F	39824
Banks	1	M	39078
Barton	0	F	52402
Barton	0	M	49754
Barton	1	F	29799
Barton	1	M	30973
Bennelong	0	F	43491
Bennelong	0	M	39620
Bennelong	1	F	39747
Bennelong	1	M	39485
Berowra	0	F	19795
Berowra	0	M	17991
Berowra	1	F	51263
Berowra	1	M	50851
Blaxland	0	F	58764
Blaxland	0	M	60717
Blaxland	1	F	21745
Blaxland	1	M	22737
Bradfield	0	F	29355
Bradfield	0	M	24989
Bradfield	1	F	50822
Bradfield	1	M	49153
Calare	0	F	3209
Calare	0	M	2987
Calare	1	F	71060
Calare	1	M	69339
Chifley	0	F	37518
Chifley	0	M	35299
Chifley	1	F	44274
Chifley	1	M	44380
Cook	0	F	15607
Cook	0	M	13958
Cook	1	F	52550
Cook	1	M	50253
Cowper	0	F	3823
Cowper	0	M	3202
Cowper	1	F	72555
Cowper	1	M	67848
Cunningham	0	F	14251
Cunningham	0	M	13629
Cunningham	1	F	60281
Cunningham	1	M	59197
Dobell	0	F	4380
Dobell	0	M	3772
Dobell	1	F	70364
Dobell	1	M	66269
Eden-Monaro	0	F	5248
Eden-Monaro	0	M	4926
Eden-Monaro	1	F	63037
Eden-Monaro	1	M	62913
Farrer	0	F	5949
Farrer	0	M	5856
Farrer	1	F	70002
Farrer	1	M	68457
Fowler	0	F	58397
Fowler	0	M	54294
Fowler	1	F	19930
Fowler	1	M	21639
Gilmore	0	F	3262
Gilmore	0	M	2826
Gilmore	1	F	67873
Gilmore	1	M	65545
Grayndler	0	F	20679
Grayndler	0	M	18373
Grayndler	1	F	50570
Grayndler	1	M	48880
Greenway	0	F	35096
Greenway	0	M	34647
Greenway	1	F	45923
Greenway	1	M	46199
Hughes	0	F	12458
Hughes	0	M	11179
Hughes	1	F	58483
Hughes	1	M	57537
Hume	0	F	4972
Hume	0	M	4562
Hume	1	F	66896
Hume	1	M	65601
Hunter	0	F	2880
Hunter	0	M	2556
Hunter	1	F	71603
Hunter	1	M	69619
Kingsford Smith	0	F	33565
Kingsford Smith	0	M	30633
Kingsford Smith	1	F	49350
Kingsford Smith	1	M	48810
Lindsay	0	F	13844
Lindsay	0	M	12653
Lindsay	1	F	65666
Lindsay	1	M	64153
Lyne	0	F	1798
Lyne	0	M	1504
Lyne	1	F	67552
Lyne	1	M	64915
Macarthur	0	F	22019
Macarthur	0	M	20686
Macarthur	1	F	55775
Macarthur	1	M	54708
Mackellar	0	F	11400
Mackellar	0	M	9839
Mackellar	1	F	60929
Mackellar	1	M	59205
Macquarie	0	F	4545
Macquarie	0	M	4006
Macquarie	1	F	64204
Macquarie	1	M	61454
McMahon	0	F	44526
McMahon	0	M	43063
McMahon	1	F	34864
McMahon	1	M	35142
Mitchell	0	F	26797
Mitchell	0	M	24356
Mitchell	1	F	49436
Mitchell	1	M	48715
New England	0	F	3048
New England	0	M	3057
New England	1	F	69448
New England	1	M	65979
Newcastle	0	F	7903
Newcastle	0	M	7431
Newcastle	1	F	65501
Newcastle	1	M	64102
North Sydney	0	F	25364
North Sydney	0	M	20780
North Sydney	1	F	53694
North Sydney	1	M	52559
Page	0	F	3162
Page	0	M	2752
Page	1	F	71691
Page	1	M	69519
Parkes	0	F	2557
Parkes	0	M	2444
Parkes	1	F	67488
Parkes	1	M	66388
Parramatta	0	F	55259
Parramatta	0	M	55879
Parramatta	1	F	30839
Parramatta	1	M	32440
Paterson	0	F	3030
Paterson	0	M	2635
Paterson	1	F	71374
Paterson	1	M	69032
Reid	0	F	49345
Reid	0	M	45771
Reid	1	F	36593
Reid	1	M	36722
Richmond	0	F	3930
Richmond	0	M	3210
Richmond	1	F	68745
Richmond	1	M	64372
Riverina	0	F	3164
Riverina	0	M	3308
Riverina	1	F	69921
Riverina	1	M	67425
Robertson	0	F	5512
Robertson	0	M	4597
Robertson	1	F	64246
Robertson	1	M	60856
Shortland	0	F	3304
Shortland	0	M	2815
Shortland	1	F	67372
Shortland	1	M	64667
Sydney	0	F	39002
Sydney	0	M	34746
Sydney	1	F	46713
Sydney	1	M	55383
Warringah	0	F	13100
Warringah	0	M	10877
Warringah	1	F	58639
Warringah	1	M	55839
Watson	0	F	57781
Watson	0	M	57256
Watson	1	F	24420
Watson	1	M	25318
Wentworth	0	F	14488
Wentworth	0	M	12142
Wentworth	1	F	54223
Wentworth	1	M	50914
Werriwa	0	F	47627
Werriwa	0	M	44770
Werriwa	1	F	33791
Werriwa	1	M	34543
Whitlam	0	F	8283
Whitlam	0	M	7460
Whitlam	1	F	66225
Whitlam	1	M	62687
No usual address (NSW)	0	F	821
No usual address (NSW)	0	M	997
No usual address (NSW)	1	F	3038
No usual address (NSW)	1	M	4175
Migratory - Offshore - Shipping (NSW)	0	F	55
Migratory - Offshore - Shipping (NSW)	0	M	36
Migratory - Offshore - Shipping (NSW)	1	F	154
Migratory - Offshore - Shipping (NSW)	1	M	119
Aston	0	F	19445
Aston	0	M	17660
Aston	1	F	47714
Aston	1	M	46311
Ballarat	0	F	4120
Ballarat	0	M	3917
Ballarat	1	F	70399
Ballarat	1	M	66232
Batman	0	F	30126
Batman	0	M	28413
Batman	1	F	47878
Batman	1	M	44756
Bendigo	0	F	3501
Bendigo	0	M	3167
Bendigo	1	F	68073
Bendigo	1	M	64350
Bruce	0	F	44351
Bruce	0	M	44482
Bruce	1	F	29598
Bruce	1	M	30420
Calwell	0	F	42547
Calwell	0	M	41567
Calwell	1	F	35639
Calwell	1	M	36163
Casey	0	F	6066
Casey	0	M	5476
Casey	1	F	63043
Casey	1	M	61335
Chisholm	0	F	38994
Chisholm	0	M	35692
Chisholm	1	F	41660
Chisholm	1	M	40529
Corangamite	0	F	4717
Corangamite	0	M	4681
Corangamite	1	F	68934
