CED_NAME16	medianTotalHouseholdIncome
Banks	83096
Barton	83252
Bennelong	94484
Berowra	117312
Blaxland	63544
Bradfield	121732
Calare	62764
Chifley	76804
Cook	93860
Cowper	52000
Cunningham	71344
Dobell	65936
Eden-Monaro	70148
Farrer	59748
Fowler	63024
Gilmore	53976
Grayndler	108836
Greenway	100932
Hughes	108576
Hume	84656
Hunter	67288
Kingsford Smith	93288
Lindsay	83824
Lyne	50284
Macarthur	81796
Mackellar	106912
Macquarie	80912
McMahon	73424
Mitchell	117936
New England	56628
Newcastle	72696
North Sydney	122304
Page	51896
Parkes	59436
Parramatta	82992
Paterson	64272
Reid	98696
Richmond	57148
Riverina	59644
Robertson	67808
Shortland	65624
Sydney	100516
Warringah	123968
Watson	66612
Wentworth	123760
Werriwa	81744
Whitlam	67756
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	82680
Ballarat	61932
Batman	75036
Bendigo	61776
Bruce	67756
Calwell	69212
Casey	76544
Chisholm	74256
Corangamite	72176
Corio	60008
Deakin	79144
Dunkley	68900
Flinders	63648
Gellibrand	77480
Gippsland	55016
Goldstein	104936
Gorton	76700
Higgins	99372
Holt	76284
Hotham	74620
Indi	58552
Isaacs	78208
Jagajaga	91364
Kooyong	105820
La Trobe	89648
Lalor	83200
Mallee	52780
Maribyrnong	73060
McEwen	83876
McMillan	60476
Melbourne	77168
Melbourne Ports	97032
Menzies	88452
Murray	56160
Scullin	74568
Wannon	54236
Wills	78780
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	67756
Bonner	90584
Bowman	79092
Brisbane	97136
Capricornia	73736
Dawson	71812
Dickson	90428
Fadden	73788
Fairfax	67496
Fisher	64844
Flynn	71968
Forde	76076
Griffith	98280
Groom	67496
Herbert	72384
Hinkler	49192
Kennedy	61204
Leichhardt	68328
Lilley	83668
Longman	65312
Maranoa	56316
McPherson	72540
Moncrieff	65208
Moreton	83252
Oxley	80652
Petrie	72124
Rankin	74412
Ryan	102128
Wide Bay	52520
Wright	77064
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	72488
Barker	54600
Boothby	74776
Grey	51844
Hindmarsh	64688
Kingston	60736
Makin	67860
Mayo	64532
Port Adelaide	58656
Sturt	69056
Wakefield	56628
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	79716
Burt	80028
Canning	69732
Cowan	84240
Curtin	106704
Durack	86112
Forrest	70772
Fremantle	89076
Hasluck	79404
Moore	104104
O'Connor	68900
Pearce	86216
Perth	88400
Stirling	76700
Swan	79404
Tangney	93444
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass	54756
Braddon	51064
Denison	63648
Franklin	65780
Lyons	51012
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	88660
Solomon	113152
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Canberra	108524
Fenner	106132
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
