LGA_NAME16	Age	MaritalStatus	Sex	responses
Albury (C)	15-19	Married	F	9
Albury (C)	15-19	Married	M	10
Albury (C)	20-24	Married	F	113
Albury (C)	20-24	Married	M	53
Albury (C)	20-24	Separated	F	11
Albury (C)	20-24	Separated	M	4
Albury (C)	20-24	Widowed	F	6
Albury (C)	25-34	Divorced	F	71
Albury (C)	25-34	Divorced	M	45
Albury (C)	25-34	Married	F	1409
Albury (C)	25-34	Married	M	1141
Albury (C)	25-34	Separated	F	100
Albury (C)	25-34	Separated	M	66
Albury (C)	25-34	Widowed	F	5
Albury (C)	25-34	Widowed	M	9
Albury (C)	35-44	Divorced	F	286
Albury (C)	35-44	Divorced	M	195
Albury (C)	35-44	Married	F	1850
Albury (C)	35-44	Married	M	1716
Albury (C)	35-44	Separated	F	207
Albury (C)	35-44	Separated	M	128
Albury (C)	35-44	Widowed	F	23
Albury (C)	35-44	Widowed	M	8
Albury (C)	45-54	Divorced	F	623
Albury (C)	45-54	Divorced	M	463
Albury (C)	45-54	Married	F	1856
Albury (C)	45-54	Married	M	1791
Albury (C)	45-54	Separated	F	194
Albury (C)	45-54	Separated	M	188
Albury (C)	45-54	Widowed	F	63
Albury (C)	45-54	Widowed	M	27
Albury (C)	55-64	Divorced	F	701
Albury (C)	55-64	Divorced	M	489
Albury (C)	55-64	Married	F	1964
Albury (C)	55-64	Married	M	1968
Albury (C)	55-64	Separated	F	195
Albury (C)	55-64	Separated	M	148
Albury (C)	55-64	Widowed	F	182
Albury (C)	55-64	Widowed	M	53
Albury (C)	65-74	Divorced	F	469
Albury (C)	65-74	Divorced	M	323
Albury (C)	65-74	Married	F	1486
Albury (C)	65-74	Married	M	1630
Albury (C)	65-74	Separated	F	82
Albury (C)	65-74	Separated	M	93
Albury (C)	65-74	Widowed	F	420
Albury (C)	65-74	Widowed	M	124
Albury (C)	75-84	Divorced	F	161
Albury (C)	75-84	Divorced	M	123
Albury (C)	75-84	Married	F	675
Albury (C)	75-84	Married	M	873
Albury (C)	75-84	Separated	F	26
Albury (C)	75-84	Separated	M	35
Albury (C)	75-84	Widowed	F	722
Albury (C)	75-84	Widowed	M	168
Albury (C)	85+	Divorced	F	31
Albury (C)	85+	Divorced	M	37
Albury (C)	85+	Married	F	124
Albury (C)	85+	Married	M	257
Albury (C)	85+	Separated	F	6
Albury (C)	85+	Widowed	F	657
Albury (C)	85+	Widowed	M	172
Armidale Regional (A)	15-19	Married	M	5
Armidale Regional (A)	20-24	Divorced	M	4
Armidale Regional (A)	20-24	Married	F	73
Armidale Regional (A)	20-24	Married	M	41
Armidale Regional (A)	20-24	Widowed	M	3
Armidale Regional (A)	25-34	Divorced	F	45
Armidale Regional (A)	25-34	Divorced	M	15
Armidale Regional (A)	25-34	Married	F	743
Armidale Regional (A)	25-34	Married	M	603
Armidale Regional (A)	25-34	Separated	F	47
Armidale Regional (A)	25-34	Separated	M	34
Armidale Regional (A)	35-44	Divorced	F	127
Armidale Regional (A)	35-44	Divorced	M	88
Armidale Regional (A)	35-44	Married	F	915
Armidale Regional (A)	35-44	Married	M	809
Armidale Regional (A)	35-44	Separated	F	93
Armidale Regional (A)	35-44	Separated	M	66
Armidale Regional (A)	35-44	Widowed	F	9
Armidale Regional (A)	35-44	Widowed	M	7
Armidale Regional (A)	45-54	Divorced	F	276
Armidale Regional (A)	45-54	Divorced	M	209
Armidale Regional (A)	45-54	Married	F	1103
Armidale Regional (A)	45-54	Married	M	1067
Armidale Regional (A)	45-54	Separated	F	110
Armidale Regional (A)	45-54	Separated	M	80
Armidale Regional (A)	45-54	Widowed	F	36
Armidale Regional (A)	45-54	Widowed	M	11
Armidale Regional (A)	55-64	Divorced	F	298
Armidale Regional (A)	55-64	Divorced	M	245
Armidale Regional (A)	55-64	Married	F	1104
Armidale Regional (A)	55-64	Married	M	1085
Armidale Regional (A)	55-64	Separated	F	111
Armidale Regional (A)	55-64	Separated	M	78
Armidale Regional (A)	55-64	Widowed	F	99
Armidale Regional (A)	55-64	Widowed	M	39
Armidale Regional (A)	65-74	Divorced	F	211
Armidale Regional (A)	65-74	Divorced	M	173
Armidale Regional (A)	65-74	Married	F	818
Armidale Regional (A)	65-74	Married	M	927
Armidale Regional (A)	65-74	Separated	F	48
Armidale Regional (A)	65-74	Separated	M	46
Armidale Regional (A)	65-74	Widowed	F	240
Armidale Regional (A)	65-74	Widowed	M	84
Armidale Regional (A)	75-84	Divorced	F	81
Armidale Regional (A)	75-84	Divorced	M	53
Armidale Regional (A)	75-84	Married	F	356
Armidale Regional (A)	75-84	Married	M	502
Armidale Regional (A)	75-84	Separated	F	16
Armidale Regional (A)	75-84	Separated	M	17
Armidale Regional (A)	75-84	Widowed	F	401
Armidale Regional (A)	75-84	Widowed	M	107
Armidale Regional (A)	85+	Divorced	F	27
Armidale Regional (A)	85+	Divorced	M	11
Armidale Regional (A)	85+	Married	F	63
Armidale Regional (A)	85+	Married	M	117
Armidale Regional (A)	85+	Separated	F	3
Armidale Regional (A)	85+	Separated	M	3
Armidale Regional (A)	85+	Widowed	F	330
Armidale Regional (A)	85+	Widowed	M	69
Ballina (A)	20-24	Divorced	M	3
Ballina (A)	20-24	Married	F	43
Ballina (A)	20-24	Married	M	12
Ballina (A)	20-24	Separated	F	6
Ballina (A)	25-34	Divorced	F	51
Ballina (A)	25-34	Divorced	M	29
Ballina (A)	25-34	Married	F	724
Ballina (A)	25-34	Married	M	539
Ballina (A)	25-34	Separated	F	40
Ballina (A)	25-34	Separated	M	29
Ballina (A)	25-34	Widowed	M	4
Ballina (A)	35-44	Divorced	F	238
Ballina (A)	35-44	Divorced	M	132
Ballina (A)	35-44	Married	F	1324
Ballina (A)	35-44	Married	M	1161
Ballina (A)	35-44	Separated	F	133
Ballina (A)	35-44	Separated	M	81
Ballina (A)	35-44	Widowed	F	14
Ballina (A)	35-44	Widowed	M	8
Ballina (A)	45-54	Divorced	F	553
Ballina (A)	45-54	Divorced	M	348
Ballina (A)	45-54	Married	F	1667
Ballina (A)	45-54	Married	M	1585
Ballina (A)	45-54	Separated	F	194
Ballina (A)	45-54	Separated	M	115
Ballina (A)	45-54	Widowed	F	65
Ballina (A)	45-54	Widowed	M	20
Ballina (A)	55-64	Divorced	F	704
Ballina (A)	55-64	Divorced	M	475
Ballina (A)	55-64	Married	F	2043
Ballina (A)	55-64	Married	M	1922
Ballina (A)	55-64	Separated	F	169
Ballina (A)	55-64	Separated	M	159
Ballina (A)	55-64	Widowed	F	148
Ballina (A)	55-64	Widowed	M	57
Ballina (A)	65-74	Divorced	F	509
Ballina (A)	65-74	Divorced	M	404
Ballina (A)	65-74	Married	F	1700
Ballina (A)	65-74	Married	M	1925
Ballina (A)	65-74	Separated	F	90
Ballina (A)	65-74	Separated	M	97
Ballina (A)	65-74	Widowed	F	398
Ballina (A)	65-74	Widowed	M	103
Ballina (A)	75-84	Divorced	F	198
Ballina (A)	75-84	Divorced	M	135
Ballina (A)	75-84	Married	F	808
Ballina (A)	75-84	Married	M	1023
Ballina (A)	75-84	Separated	F	24
Ballina (A)	75-84	Separated	M	21
Ballina (A)	75-84	Widowed	F	694
Ballina (A)	75-84	Widowed	M	202
Ballina (A)	85+	Divorced	F	51
Ballina (A)	85+	Divorced	M	31
Ballina (A)	85+	Married	F	193
Ballina (A)	85+	Married	M	371
Ballina (A)	85+	Separated	F	6
Ballina (A)	85+	Separated	M	14
Ballina (A)	85+	Widowed	F	824
Ballina (A)	85+	Widowed	M	215
Balranald (A)	20-24	Married	F	6
Balranald (A)	25-34	Married	F	60
Balranald (A)	25-34	Married	M	37
Balranald (A)	25-34	Separated	F	3
Balranald (A)	35-44	Divorced	F	14
Balranald (A)	35-44	Divorced	M	12
Balranald (A)	35-44	Married	F	80
Balranald (A)	35-44	Married	M	73
Balranald (A)	35-44	Separated	M	10
Balranald (A)	45-54	Divorced	F	18
Balranald (A)	45-54	Divorced	M	14
Balranald (A)	45-54	Married	F	82
Balranald (A)	45-54	Married	M	96
Balranald (A)	45-54	Separated	F	4
Balranald (A)	45-54	Widowed	F	7
Balranald (A)	55-64	Divorced	F	24
Balranald (A)	55-64	Divorced	M	22
Balranald (A)	55-64	Married	F	123
Balranald (A)	55-64	Married	M	129
Balranald (A)	55-64	Separated	F	5
Balranald (A)	55-64	Separated	M	15
Balranald (A)	55-64	Widowed	F	13
Balranald (A)	65-74	Divorced	F	8
Balranald (A)	65-74	Divorced	M	19
Balranald (A)	65-74	Married	F	57
Balranald (A)	65-74	Married	M	83
Balranald (A)	65-74	Separated	F	3
Balranald (A)	65-74	Separated	M	5
Balranald (A)	65-74	Widowed	F	16
Balranald (A)	65-74	Widowed	M	3
Balranald (A)	75-84	Divorced	F	5
Balranald (A)	75-84	Divorced	M	6
Balranald (A)	75-84	Married	F	29
Balranald (A)	75-84	Married	M	30
Balranald (A)	75-84	Separated	M	4
Balranald (A)	75-84	Widowed	F	37
Balranald (A)	75-84	Widowed	M	10
