LGA_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Albury (C)	15-19		F	96
Albury (C)	15-19		M	102
Albury (C)	15-19	Did not go to school	F	3
Albury (C)	15-19	Year 8 or below	F	8
Albury (C)	15-19	Year 8 or below	M	12
Albury (C)	15-19	Year 9	F	25
Albury (C)	15-19	Year 9	M	33
Albury (C)	15-19	Year 10	F	110
Albury (C)	15-19	Year 10	M	166
Albury (C)	15-19	Year 11	F	105
Albury (C)	15-19	Year 11	M	125
Albury (C)	15-19	Year 12	F	389
Albury (C)	15-19	Year 12	M	290
Albury (C)	20-24		F	143
Albury (C)	20-24		M	156
Albury (C)	20-24	Did not go to school	F	3
Albury (C)	20-24	Did not go to school	M	3
Albury (C)	20-24	Year 8 or below	F	15
Albury (C)	20-24	Year 8 or below	M	28
Albury (C)	20-24	Year 9	F	45
Albury (C)	20-24	Year 9	M	61
Albury (C)	20-24	Year 10	F	219
Albury (C)	20-24	Year 10	M	370
Albury (C)	20-24	Year 11	F	142
Albury (C)	20-24	Year 11	M	204
Albury (C)	20-24	Year 12	F	1227
Albury (C)	20-24	Year 12	M	871
Albury (C)	25-34		F	237
Albury (C)	25-34		M	260
Albury (C)	25-34	Did not go to school	F	10
Albury (C)	25-34	Did not go to school	M	16
Albury (C)	25-34	Year 8 or below	F	39
Albury (C)	25-34	Year 8 or below	M	37
Albury (C)	25-34	Year 9	F	81
Albury (C)	25-34	Year 9	M	119
Albury (C)	25-34	Year 10	F	426
Albury (C)	25-34	Year 10	M	683
Albury (C)	25-34	Year 11	F	246
Albury (C)	25-34	Year 11	M	329
Albury (C)	25-34	Year 12	F	2259
Albury (C)	25-34	Year 12	M	1745
Albury (C)	35-44		F	224
Albury (C)	35-44		M	227
Albury (C)	35-44	Did not go to school	F	36
Albury (C)	35-44	Did not go to school	M	22
Albury (C)	35-44	Year 8 or below	F	44
Albury (C)	35-44	Year 8 or below	M	55
Albury (C)	35-44	Year 9	F	93
Albury (C)	35-44	Year 9	M	122
Albury (C)	35-44	Year 10	F	525
Albury (C)	35-44	Year 10	M	642
Albury (C)	35-44	Year 11	F	292
Albury (C)	35-44	Year 11	M	316
Albury (C)	35-44	Year 12	F	2017
Albury (C)	35-44	Year 12	M	1592
Albury (C)	45-54		F	225
Albury (C)	45-54		M	260
Albury (C)	45-54	Did not go to school	F	31
Albury (C)	45-54	Did not go to school	M	24
Albury (C)	45-54	Year 8 or below	F	66
Albury (C)	45-54	Year 8 or below	M	97
Albury (C)	45-54	Year 9	F	162
Albury (C)	45-54	Year 9	M	216
Albury (C)	45-54	Year 10	F	1018
Albury (C)	45-54	Year 10	M	1090
Albury (C)	45-54	Year 11	F	428
Albury (C)	45-54	Year 11	M	411
Albury (C)	45-54	Year 12	F	1397
Albury (C)	45-54	Year 12	M	1066
Albury (C)	55-64		F	275
Albury (C)	55-64		M	259
Albury (C)	55-64	Did not go to school	F	16
Albury (C)	55-64	Did not go to school	M	18
Albury (C)	55-64	Year 8 or below	F	138
Albury (C)	55-64	Year 8 or below	M	145
Albury (C)	55-64	Year 9	F	251
Albury (C)	55-64	Year 9	M	240
Albury (C)	55-64	Year 10	F	1144
Albury (C)	55-64	Year 10	M	1019
Albury (C)	55-64	Year 11	F	391
Albury (C)	55-64	Year 11	M	311
Albury (C)	55-64	Year 12	F	1102
Albury (C)	55-64	Year 12	M	1050
Albury (C)	65-74		F	265
Albury (C)	65-74		M	241
Albury (C)	65-74	Did not go to school	F	20
Albury (C)	65-74	Did not go to school	M	23
Albury (C)	65-74	Year 8 or below	F	208
Albury (C)	65-74	Year 8 or below	M	213
Albury (C)	65-74	Year 9	F	369
Albury (C)	65-74	Year 9	M	367
Albury (C)	65-74	Year 10	F	863
Albury (C)	65-74	Year 10	M	649
Albury (C)	65-74	Year 11	F	251
Albury (C)	65-74	Year 11	M	187
Albury (C)	65-74	Year 12	F	596
Albury (C)	65-74	Year 12	M	651
Albury (C)	75-84		F	347
Albury (C)	75-84		M	204
Albury (C)	75-84	Did not go to school	F	23
Albury (C)	75-84	Did not go to school	M	14
Albury (C)	75-84	Year 8 or below	F	248
Albury (C)	75-84	Year 8 or below	M	212
Albury (C)	75-84	Year 9	F	232
Albury (C)	75-84	Year 9	M	178
Albury (C)	75-84	Year 10	F	443
Albury (C)	75-84	Year 10	M	302
Albury (C)	75-84	Year 11	F	113
Albury (C)	75-84	Year 11	M	73
Albury (C)	75-84	Year 12	F	252
Albury (C)	75-84	Year 12	M	266
Albury (C)	85+		F	207
Albury (C)	85+		M	119
Albury (C)	85+	Did not go to school	F	8
Albury (C)	85+	Did not go to school	M	5
Albury (C)	85+	Year 8 or below	F	192
Albury (C)	85+	Year 8 or below	M	126
Albury (C)	85+	Year 9	F	123
Albury (C)	85+	Year 9	M	58
Albury (C)	85+	Year 10	F	162
Albury (C)	85+	Year 10	M	72
Albury (C)	85+	Year 11	F	35
Albury (C)	85+	Year 11	M	17
Albury (C)	85+	Year 12	F	108
Albury (C)	85+	Year 12	M	86
Armidale Regional (A)	15-19		F	97
Armidale Regional (A)	15-19		M	98
Armidale Regional (A)	15-19	Year 8 or below	F	3
Armidale Regional (A)	15-19	Year 8 or below	M	8
Armidale Regional (A)	15-19	Year 9	F	19
Armidale Regional (A)	15-19	Year 9	M	29
Armidale Regional (A)	15-19	Year 10	F	60
Armidale Regional (A)	15-19	Year 10	M	86
Armidale Regional (A)	15-19	Year 11	F	36
Armidale Regional (A)	15-19	Year 11	M	50
Armidale Regional (A)	15-19	Year 12	F	481
Armidale Regional (A)	15-19	Year 12	M	380
Armidale Regional (A)	20-24		F	151
Armidale Regional (A)	20-24		M	137
Armidale Regional (A)	20-24	Did not go to school	M	4
Armidale Regional (A)	20-24	Year 8 or below	F	10
Armidale Regional (A)	20-24	Year 8 or below	M	9
Armidale Regional (A)	20-24	Year 9	F	27
Armidale Regional (A)	20-24	Year 9	M	21
Armidale Regional (A)	20-24	Year 10	F	107
Armidale Regional (A)	20-24	Year 10	M	138
Armidale Regional (A)	20-24	Year 11	F	49
Armidale Regional (A)	20-24	Year 11	M	65
Armidale Regional (A)	20-24	Year 12	F	1072
Armidale Regional (A)	20-24	Year 12	M	997
Armidale Regional (A)	25-34		F	142
Armidale Regional (A)	25-34		M	144
Armidale Regional (A)	25-34	Did not go to school	F	8
Armidale Regional (A)	25-34	Did not go to school	M	6
Armidale Regional (A)	25-34	Year 8 or below	F	25
Armidale Regional (A)	25-34	Year 8 or below	M	28
Armidale Regional (A)	25-34	Year 9	F	50
Armidale Regional (A)	25-34	Year 9	M	64
Armidale Regional (A)	25-34	Year 10	F	179
Armidale Regional (A)	25-34	Year 10	M	282
Armidale Regional (A)	25-34	Year 11	F	90
Armidale Regional (A)	25-34	Year 11	M	93
Armidale Regional (A)	25-34	Year 12	F	1275
Armidale Regional (A)	25-34	Year 12	M	1074
Armidale Regional (A)	35-44		F	123
Armidale Regional (A)	35-44		M	116
Armidale Regional (A)	35-44	Did not go to school	F	3
Armidale Regional (A)	35-44	Year 8 or below	F	14
Armidale Regional (A)	35-44	Year 8 or below	M	29
Armidale Regional (A)	35-44	Year 9	F	50
Armidale Regional (A)	35-44	Year 9	M	73
Armidale Regional (A)	35-44	Year 10	F	228
Armidale Regional (A)	35-44	Year 10	M	296
Armidale Regional (A)	35-44	Year 11	F	90
Armidale Regional (A)	35-44	Year 11	M	70
Armidale Regional (A)	35-44	Year 12	F	1134
Armidale Regional (A)	35-44	Year 12	M	878
Armidale Regional (A)	45-54		F	183
Armidale Regional (A)	45-54		M	165
Armidale Regional (A)	45-54	Did not go to school	F	3
Armidale Regional (A)	45-54	Did not go to school	M	3
Armidale Regional (A)	45-54	Year 8 or below	F	24
Armidale Regional (A)	45-54	Year 8 or below	M	61
Armidale Regional (A)	45-54	Year 9	F	57
Armidale Regional (A)	45-54	Year 9	M	108
Armidale Regional (A)	45-54	Year 10	F	544
Armidale Regional (A)	45-54	Year 10	M	586
Armidale Regional (A)	45-54	Year 11	F	118
Armidale Regional (A)	45-54	Year 11	M	99
Armidale Regional (A)	45-54	Year 12	F	954
Armidale Regional (A)	45-54	Year 12	M	749
Armidale Regional (A)	55-64		F	143
Armidale Regional (A)	55-64		M	166
Armidale Regional (A)	55-64	Did not go to school	F	4
Armidale Regional (A)	55-64	Did not go to school	M	6
Armidale Regional (A)	55-64	Year 8 or below	F	86
Armidale Regional (A)	55-64	Year 8 or below	M	103
Armidale Regional (A)	55-64	Year 9	F	119
Armidale Regional (A)	55-64	Year 9	M	112
