LGA_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Albury (C)	15-19				F	132
Albury (C)	15-19				M	156
Albury (C)	15-19	0			F	1330
Albury (C)	15-19	0			M	1365
Albury (C)	15-19	1	0	1	F	145
Albury (C)	15-19	1	0	1	M	80
Albury (C)	15-19	1	1	0	F	26
Albury (C)	15-19	1	1	0	M	16
Albury (C)	15-19	1	1	1	F	3
Albury (C)	20-24				F	150
Albury (C)	20-24				M	168
Albury (C)	20-24	0			F	1313
Albury (C)	20-24	0			M	1365
Albury (C)	20-24	1	0	1	F	153
Albury (C)	20-24	1	0	1	M	78
Albury (C)	20-24	1	1	0	F	185
Albury (C)	20-24	1	1	0	M	90
Albury (C)	20-24	1	1	1	F	9
Albury (C)	25-34				F	243
Albury (C)	25-34				M	274
Albury (C)	25-34	0			F	1367
Albury (C)	25-34	0			M	1836
Albury (C)	25-34	1	0	1	F	204
Albury (C)	25-34	1	0	1	M	90
Albury (C)	25-34	1	1	0	F	1394
Albury (C)	25-34	1	1	0	M	959
Albury (C)	25-34	1	1	1	F	87
Albury (C)	25-34	1	1	1	M	35
Albury (C)	35-44				F	222
Albury (C)	35-44				M	237
Albury (C)	35-44	0			F	893
Albury (C)	35-44	0			M	1119
Albury (C)	35-44	1	0	1	F	134
Albury (C)	35-44	1	0	1	M	70
Albury (C)	35-44	1	1	0	F	1872
Albury (C)	35-44	1	1	0	M	1502
Albury (C)	35-44	1	1	1	F	110
Albury (C)	35-44	1	1	1	M	39
Albury (C)	45-54				F	220
Albury (C)	45-54				M	253
Albury (C)	45-54	0			F	1966
Albury (C)	45-54	0			M	1915
Albury (C)	45-54	1	0	1	F	310
Albury (C)	45-54	1	0	1	M	105
Albury (C)	45-54	1	1	0	F	799
Albury (C)	45-54	1	1	0	M	869
Albury (C)	45-54	1	1	1	F	40
Albury (C)	45-54	1	1	1	M	24
Albury (C)	55-64				F	248
Albury (C)	55-64				M	259
Albury (C)	55-64	0			F	2345
Albury (C)	55-64	0			M	2350
Albury (C)	55-64	1	0	1	F	655
Albury (C)	55-64	1	0	1	M	286
Albury (C)	55-64	1	1	0	F	73
Albury (C)	55-64	1	1	0	M	153
Albury (C)	55-64	1	1	1	F	9
Albury (C)	55-64	1	1	1	M	5
Albury (C)	65-74				F	258
Albury (C)	65-74				M	240
Albury (C)	65-74	0			F	1826
Albury (C)	65-74	0			M	1797
Albury (C)	65-74	1	0	1	F	466
Albury (C)	65-74	1	0	1	M	263
Albury (C)	65-74	1	1	0	F	21
Albury (C)	65-74	1	1	0	M	26
Albury (C)	65-74	1	1	1	F	4
