LGA_NAME16	HomeCensusNight	persons
Albury (C)	0	3244
Albury (C)	1	47832
Armidale Regional (A)	0	2137
Armidale Regional (A)	1	27311
Ballina (A)	0	2251
Ballina (A)	1	39536
Balranald (A)	0	114
Balranald (A)	1	2172
Bathurst Regional (A)	0	2283
Bathurst Regional (A)	1	39021
Bega Valley (A)	0	2655
Bega Valley (A)	1	30597
Bellingen (A)	0	718
Bellingen (A)	1	11951
Berrigan (A)	0	649
Berrigan (A)	1	7817
Blacktown (C)	0	8665
Blacktown (C)	1	328305
Bland (A)	0	377
Bland (A)	1	5576
Blayney (A)	0	408
Blayney (A)	1	6852
Blue Mountains (C)	0	3760
Blue Mountains (C)	1	73142
Bogan (A)	0	224
Bogan (A)	1	2467
Botany Bay (C)	0	1485
Botany Bay (C)	1	45172
Bourke (A)	0	220
Bourke (A)	1	2413
Brewarrina (A)	0	126
Brewarrina (A)	1	1519
Broken Hill (C)	0	1370
Broken Hill (C)	1	16337
Burwood (A)	0	1103
Burwood (A)	1	35710
Byron (A)	0	1977
Byron (A)	1	29582
Cabonne (A)	0	780
Cabonne (A)	1	12612
Camden (A)	0	2453
Camden (A)	1	75768
Campbelltown (C) (NSW)	0	5002
Campbelltown (C) (NSW)	1	151999
Canada Bay (A)	0	3206
Canada Bay (A)	1	84810
Canterbury-Bankstown (A)	0	9499
Canterbury-Bankstown (A)	1	336805
Carrathool (A)	0	221
Carrathool (A)	1	2500
Central Coast (C) (NSW)	0	15526
Central Coast (C) (NSW)	1	312210
Central Darling (A)	0	169
Central Darling (A)	1	1664
Cessnock (C)	0	2803
Cessnock (C)	1	52756
Clarence Valley (A)	0	2963
Clarence Valley (A)	1	47705
Cobar (A)	0	339
Cobar (A)	1	4312
Coffs Harbour (C)	0	4202
Coffs Harbour (C)	1	68742
Coolamon (A)	0	261
Coolamon (A)	1	4056
Coonamble (A)	0	252
Coonamble (A)	1	3668
Cowra (A)	0	707
Cowra (A)	1	11757
Cumberland (A)	0	5847
Cumberland (A)	1	210230
Dungog (A)	0	470
Dungog (A)	1	8506
Edward River (A)	0	613
Edward River (A)	1	8242
Eurobodalla (A)	0	2802
Eurobodalla (A)	1	34427
Fairfield (C)	0	5635
Fairfield (C)	1	193179
Federation (A)	0	898
Federation (A)	1	11381
Forbes (A)	0	580
Forbes (A)	1	9009
Georges River (A)	0	4007
Georges River (A)	1	142836
Gilgandra (A)	0	311
Gilgandra (A)	1	3927
Glen Innes Severn (A)	0	615
Glen Innes Severn (A)	1	8223
Goulburn Mulwaree (A)	0	1596
Goulburn Mulwaree (A)	1	28012
Greater Hume Shire (A)	0	633
Greater Hume Shire (A)	1	9722
Griffith (C)	0	1355
Griffith (C)	1	24284
Gundagai (A)	0	760
Gundagai (A)	1	10384
Gunnedah (A)	0	651
Gunnedah (A)	1	11556
Gwydir (A)	0	378
Gwydir (A)	1	4879
Hawkesbury (C)	0	2425
Hawkesbury (C)	1	62162
Hay (A)	0	266
Hay (A)	1	2673
Hilltops (A)	0	1155
Hilltops (A)	1	17341
Hornsby (A)	0	4498
Hornsby (A)	1	138168
Hunters Hill (A)	0	573
Hunters Hill (A)	1	13426
Inner West (A)	0	7366
Inner West (A)	1	174671
Inverell (A)	0	1058
Inverell (A)	1	15429
Junee (A)	0	333
Junee (A)	1	5961
Kempsey (A)	0	1558
Kempsey (A)	1	27327
Kiama (A)	0	1377
Kiama (A)	1	20083
Ku-ring-gai (A)	0	4080
Ku-ring-gai (A)	1	113971
Kyogle (A)	0	467
Kyogle (A)	1	8473
Lachlan (A)	0	375
Lachlan (A)	1	5826
Lake Macquarie (C)	0	10232
Lake Macquarie (C)	1	187136
Lane Cove (A)	0	1278
Lane Cove (A)	1	34766
Leeton (A)	0	554
Leeton (A)	1	10609
Lismore (C)	0	2218
Lismore (C)	1	40917
Lithgow (C)	0	1205
Lithgow (C)	1	19891
Liverpool (C)	0	5342
Liverpool (C)	1	198984
Liverpool Plains (A)	0	486
Liverpool Plains (A)	1	7198
Lockhart (A)	0	163
Lockhart (A)	1	2958
Maitland (C)	0	3595
Maitland (C)	1	73714
Mid-Coast (A)	0	5692
Mid-Coast (A)	1	84612
Mid-Western Regional (A)	0	1393
Mid-Western Regional (A)	1	22679
Moree Plains (A)	0	974
Moree Plains (A)	1	12188
Mosman (A)	0	1397
Mosman (A)	1	27076
Murray River (A)	0	905
Murray River (A)	1	10773
