POA_CODE_2016	Age	MaritalStatus	Registered	adults
POA0800	15-19	Married	0	3
POA0800	15-19	Never married		84
POA0800	20-24	Married	0	105
POA0800	20-24	Married	1	33
POA0800	20-24	Never married		294
POA0800	25-34	Married	0	447
POA0800	25-34	Married	1	464
POA0800	25-34	Never married		790
POA0800	35-44	Married	0	92
POA0800	35-44	Married	1	355
POA0800	35-44	Never married		283
POA0800	45-54	Married	0	86
POA0800	45-54	Married	1	224
POA0800	45-54	Never married		252
POA0800	55-64	Married	0	54
POA0800	55-64	Married	1	198
POA0800	55-64	Never married		194
POA0800	65-74	Married	0	11
POA0800	65-74	Married	1	93
POA0800	65-74	Never married		76
POA0800	75-84	Married	1	10
POA0800	75-84	Never married		22
POA0800	85+	Married	1	7
POA0800	85+	Never married		7
POA0810	15-19	Married	0	30
POA0810	15-19	Married	1	3
POA0810	15-19	Never married		1575
POA0810	20-24	Married	0	289
POA0810	20-24	Married	1	177
POA0810	20-24	Never married		1148
POA0810	25-34	Married	0	1100
POA0810	25-34	Married	1	2238
POA0810	25-34	Never married		1991
POA0810	35-44	Married	0	695
POA0810	35-44	Married	1	2778
POA0810	35-44	Never married		1223
POA0810	45-54	Married	0	566
POA0810	45-54	Married	1	1978
POA0810	45-54	Never married		1136
POA0810	55-64	Married	0	296
POA0810	55-64	Married	1	1471
POA0810	55-64	Never married		1013
POA0810	65-74	Married	0	129
POA0810	65-74	Married	1	970
POA0810	65-74	Never married		685
POA0810	75-84	Married	0	21
POA0810	75-84	Married	1	311
POA0810	75-84	Never married		374
POA0810	85+	Married	0	3
POA0810	85+	Married	1	35
POA0810	85+	Never married		103
POA0812	15-19	Married	0	18
POA0812	15-19	Never married		1073
POA0812	20-24	Married	0	147
POA0812	20-24	Married	1	39
POA0812	20-24	Never married		751
POA0812	25-34	Married	0	602
POA0812	25-34	Married	1	853
POA0812	25-34	Never married		958
POA0812	35-44	Married	0	384
POA0812	35-44	Married	1	1431
POA0812	35-44	Never married		667
POA0812	45-54	Married	0	351
POA0812	45-54	Married	1	1348
POA0812	45-54	Never married		645
POA0812	55-64	Married	0	204
POA0812	55-64	Married	1	1226
POA0812	55-64	Never married		639
POA0812	65-74	Married	0	66
POA0812	65-74	Married	1	584
POA0812	65-74	Never married		418
POA0812	75-84	Married	0	8
POA0812	75-84	Married	1	178
POA0812	75-84	Never married		170
POA0812	85+	Married	1	16
POA0812	85+	Never married		59
POA0820	15-19	Married	0	10
POA0820	15-19	Married	1	3
POA0820	15-19	Never married		694
POA0820	20-24	Married	0	205
POA0820	20-24	Married	1	58
POA0820	20-24	Never married		744
POA0820	25-34	Married	0	1005
POA0820	25-34	Married	1	1152
POA0820	25-34	Never married		1528
POA0820	35-44	Married	0	391
