POA_CODE_2016	Age	UsualResidence	persons
POA0800	0-14	Home	519
POA0800	0-14	Visitor from ACT	3
POA0800	0-14	Visitor from NSW	12
POA0800	0-14	Visitor from NT	14
POA0800	0-14	Visitor from QLD	20
POA0800	0-14	Visitor from SA	15
POA0800	0-14	Visitor from VIC	23
POA0800	0-14	Visitor from WA	5
POA0800	15-24	Home	704
POA0800	15-24	Visitor from ACT	12
POA0800	15-24	Visitor from NSW	25
POA0800	15-24	Visitor from NT	81
POA0800	15-24	Visitor from QLD	19
POA0800	15-24	Visitor from SA	22
POA0800	15-24	Visitor from TAS	3
POA0800	15-24	Visitor from VIC	30
POA0800	15-24	Visitor from WA	17
POA0800	25-34	Home	2163
POA0800	25-34	Visitor from ACT	39
POA0800	25-34	Visitor from NSW	110
POA0800	25-34	Visitor from NT	167
POA0800	25-34	Visitor from QLD	88
POA0800	25-34	Visitor from SA	59
POA0800	25-34	Visitor from TAS	12
POA0800	25-34	Visitor from VIC	87
POA0800	25-34	Visitor from WA	96
POA0800	25-34	Visitor same SA2	7
POA0800	35-44	Home	942
POA0800	35-44	Visitor from ACT	46
POA0800	35-44	Visitor from NSW	112
POA0800	35-44	Visitor from NT	106
POA0800	35-44	Visitor from QLD	119
POA0800	35-44	Visitor from SA	74
POA0800	35-44	Visitor from TAS	5
POA0800	35-44	Visitor from VIC	98
POA0800	35-44	Visitor from WA	92
POA0800	45-54	Home	756
POA0800	45-54	Visitor from ACT	47
POA0800	45-54	Visitor from NSW	124
POA0800	45-54	Visitor from NT	112
POA0800	45-54	Visitor from QLD	175
POA0800	45-54	Visitor from SA	86
POA0800	45-54	Visitor from TAS	15
POA0800	45-54	Visitor from VIC	158
POA0800	45-54	Visitor from WA	166
POA0800	45-54	Visitor same SA2	4
POA0800	55-64	Home	595
POA0800	55-64	Visitor from ACT	27
POA0800	55-64	Visitor from NSW	199
POA0800	55-64	Visitor from NT	46
POA0800	55-64	Visitor from QLD	162
POA0800	55-64	Visitor from SA	90
POA0800	55-64	Visitor from TAS	23
POA0800	55-64	Visitor from VIC	224
POA0800	55-64	Visitor from WA	138
POA0800	55-64	Visitor same SA2	3
POA0800	65-74	Home	240
POA0800	65-74	Visitor from NSW	231
POA0800	65-74	Visitor from NT	16
POA0800	65-74	Visitor from QLD	100
POA0800	65-74	Visitor from SA	81
POA0800	65-74	Visitor from TAS	18
POA0800	65-74	Visitor from VIC	183
POA0800	65-74	Visitor from WA	110
POA0800	75-84	Home	55
POA0800	75-84	Visitor from ACT	6
POA0800	75-84	Visitor from NSW	97
POA0800	75-84	Visitor from QLD	26
POA0800	75-84	Visitor from SA	17
POA0800	75-84	Visitor from TAS	8
POA0800	75-84	Visitor from VIC	74
POA0800	75-84	Visitor from WA	58
POA0800	85+	Home	19
POA0800	85+	Visitor from NSW	11
POA0800	85+	Visitor from QLD	4
POA0800	85+	Visitor from SA	13
POA0800	85+	Visitor from VIC	7
POA0800	85+	Visitor from WA	3
POA0810	0-14	Home	6568
POA0810	0-14	Visitor from NSW	9
POA0810	0-14	Visitor from NT	125
POA0810	0-14	Visitor from QLD	9
POA0810	0-14	Visitor from SA	6
POA0810	0-14	Visitor from VIC	11
POA0810	0-14	Visitor from WA	5
POA0810	0-14	Visitor same SA2	4
POA0810	15-24	Home	3588
POA0810	15-24	Visitor from ACT	4
POA0810	15-24	Visitor from NSW	13
POA0810	15-24	Visitor from NT	120
POA0810	15-24	Visitor from QLD	12
POA0810	15-24	Visitor from SA	13
POA0810	15-24	Visitor from VIC	14
POA0810	15-24	Visitor from WA	9
POA0810	15-24	Visitor same SA2	7
POA0810	25-34	Home	5998
POA0810	25-34	Visitor from NSW	28
POA0810	25-34	Visitor from NT	238
POA0810	25-34	Visitor from QLD	18
POA0810	25-34	Visitor from SA	22
POA0810	25-34	Visitor from TAS	3
POA0810	25-34	Visitor from VIC	41
POA0810	25-34	Visitor from WA	7
POA0810	25-34	Visitor same SA2	5
POA0810	35-44	Home	5138
POA0810	35-44	Visitor from ACT	3
POA0810	35-44	Visitor from NSW	13
POA0810	35-44	Visitor from NT	176
POA0810	35-44	Visitor from QLD	22
POA0810	35-44	Visitor from SA	16
POA0810	35-44	Visitor from TAS	3
POA0810	35-44	Visitor from VIC	20
POA0810	35-44	Visitor from WA	24
POA0810	35-44	Visitor same SA2	6
POA0810	45-54	Home	4046
POA0810	45-54	Visitor from NSW	17
POA0810	45-54	Visitor from NT	195
POA0810	45-54	Visitor from QLD	20
POA0810	45-54	Visitor from SA	23
POA0810	45-54	Visitor from TAS	3
POA0810	45-54	Visitor from VIC	25
POA0810	45-54	Visitor from WA	15
POA0810	45-54	Visitor same SA2	10
POA0810	55-64	Home	3079
POA0810	55-64	Visitor from NSW	49
POA0810	55-64	Visitor from NT	133
POA0810	55-64	Visitor from QLD	43
POA0810	55-64	Visitor from SA	39
POA0810	55-64	Visitor from TAS	9
POA0810	55-64	Visitor from VIC	58
POA0810	55-64	Visitor from WA	43
POA0810	55-64	Visitor same SA2	6
POA0810	65-74	Home	2008
POA0810	65-74	Visitor from ACT	4
POA0810	65-74	Visitor from NSW	81
POA0810	65-74	Visitor from NT	100
POA0810	65-74	Visitor from QLD	59
POA0810	65-74	Visitor from SA	56
POA0810	65-74	Visitor from TAS	13
POA0810	65-74	Visitor from VIC	69
POA0810	65-74	Visitor from WA	30
POA0810	65-74	Visitor same SA2	3
POA0810	75-84	Home	827
POA0810	75-84	Visitor from ACT	3
POA0810	75-84	Visitor from NSW	39
POA0810	75-84	Visitor from NT	37
POA0810	75-84	Visitor from OT	3
POA0810	75-84	Visitor from QLD	14
POA0810	75-84	Visitor from SA	29
POA0810	75-84	Visitor from TAS	6
POA0810	75-84	Visitor from VIC	55
POA0810	75-84	Visitor from WA	20
POA0810	85+	Home	217
POA0810	85+	Visitor from NSW	7
POA0810	85+	Visitor from NT	11
POA0810	85+	Visitor from QLD	4
POA0810	85+	Visitor from SA	7
POA0810	85+	Visitor from VIC	9
POA0812	0-14	Home	3951
POA0812	0-14	Visitor from NSW	3
POA0812	0-14	Visitor from NT	58
POA0812	0-14	Visitor from QLD	6
POA0812	0-14	Visitor from SA	3
POA0812	0-14	Visitor from VIC	4
POA0812	0-14	Visitor from WA	8
POA0812	0-14	Visitor same SA2	8
POA0812	15-24	Home	2217
POA0812	15-24	Visitor from ACT	3
POA0812	15-24	Visitor from NSW	34
POA0812	15-24	Visitor from NT	61
POA0812	15-24	Visitor from QLD	14
POA0812	15-24	Visitor from SA	16
POA0812	15-24	Visitor from VIC	6
POA0812	15-24	Visitor from WA	9
POA0812	15-24	Visitor same SA2	5
POA0812	25-34	Home	2715
POA0812	25-34	Visitor from NSW	68
POA0812	25-34	Visitor from NT	58
POA0812	25-34	Visitor from QLD	43
POA0812	25-34	Visitor from SA	7
POA0812	25-34	Visitor from VIC	10
POA0812	25-34	Visitor from WA	37
POA0812	25-34	Visitor same SA2	3
POA0812	35-44	Home	2679
POA0812	35-44	Visitor from NSW	30
POA0812	35-44	Visitor from NT	50
POA0812	35-44	Visitor from QLD	28
POA0812	35-44	Visitor from SA	6
POA0812	35-44	Visitor from VIC	4
POA0812	35-44	Visitor from WA	27
POA0812	35-44	Visitor same SA2	3
POA0812	45-54	Home	2541
POA0812	45-54	Visitor from ACT	3
POA0812	45-54	Visitor from NSW	21
POA0812	45-54	Visitor from NT	49
POA0812	45-54	Visitor from QLD	29
POA0812	45-54	Visitor from SA	15
POA0812	45-54	Visitor from TAS	3
POA0812	45-54	Visitor from VIC	18
POA0812	45-54	Visitor from WA	27
POA0812	45-54	Visitor same SA2	3
POA0812	55-64	Home	2269
POA0812	55-64	Visitor from ACT	10
POA0812	55-64	Visitor from NSW	18
POA0812	55-64	Visitor from NT	52
POA0812	55-64	Visitor from QLD	36
POA0812	55-64	Visitor from SA	27
POA0812	55-64	Visitor from TAS	6
POA0812	55-64	Visitor from VIC	46
