POA_CODE_2016	BornAust	persons
POA0800	0	2717
POA0800	1	2674
POA0810	0	11139
POA0810	1	18652
POA0812	0	5258
POA0812	1	11653
POA0815	0	158
POA0815	1	29
POA0820	0	5650
POA0820	1	11587
POA0822	0	1312
POA0822	1	22379
POA0828	0	238
POA0828	1	812
POA0829	0	146
POA0829	1	1619
POA0830	0	3382
POA0830	1	12828
POA0832	0	3458
POA0832	1	11017
POA0834	0	218
POA0834	1	1397
POA0835	0	785
POA0835	1	2883
POA0836	0	861
POA0836	1	5914
POA0837	0	41
POA0837	1	300
POA0838	0	106
POA0838	1	611
POA0839	0	86
POA0839	1	350
POA0840	0	45
POA0840	1	277
POA0841	0	85
POA0841	1	498
POA0845	0	50
POA0845	1	361
POA0846	0	38
POA0846	1	263
POA0847	0	39
POA0847	1	241
POA0850	0	1041
POA0850	1	5434
POA0852	0	252
POA0852	1	7161
POA0853	0	73
POA0853	1	700
POA0854	0	54
POA0854	1	769
POA0860	0	418
POA0860	1	2210
POA0862	0	33
POA0862	1	696
POA0870	0	4845
POA0870	1	12440
POA0872	0	671
POA0872	1	13702
POA0873	0	298
POA0873	1	1834
POA0874	0	241
POA0874	1	212
POA0875	0	416
POA0875	1	1683
POA0880	0	574
POA0880	1	4092
POA0885	0	149
POA0885	1	627
POA0886	0	142
POA0886	1	735
POA2000	0	18648
POA2000	1	4715
POA2006	0	267
POA2006	1	849
POA2007	0	6197
POA2007	1	1557
POA2008	0	7232
POA2008	1	3170
POA2009	0	6815
POA2009	1	4706
POA2010	0	11733
POA2010	1	11993
POA2011	0	7366
POA2011	1	9292
POA2015	0	3295
POA2015	1	5785
POA2016	0	5376
POA2016	1	6319
POA2017	0	13861
POA2017	1	8045
POA2018	0	8609
POA2018	1	7186
POA2019	0	3304
POA2019	1	6839
POA2020	0	7694
POA2020	1	6097
POA2021	0	4710
POA2021	1	9062
POA2022	0	5205
POA2022	1	5769
POA2023	0	3631
POA2023	1	6230
POA2024	0	3464
POA2024	1	6545
POA2025	0	2270
POA2025	1	4358
POA2026	0	12771
POA2026	1	15784
POA2027	0	2673
POA2027	1	4427
POA2028	0	1580
POA2028	1	2582
POA2029	0	3823
POA2029	1	5361
POA2030	0	5250
POA2030	1	7973
POA2031	0	13248
POA2031	1	18662
POA2032	0	9496
POA2032	1	6241
POA2033	0	5468
POA2033	1	5221
POA2034	0	7110
POA2034	1	11622
POA2035	0	14292
POA2035	1	17953
POA2036	0	10570
POA2036	1	17299
POA2037	0	5842
POA2037	1	8549
POA2038	0	2454
POA2038	1	6263
POA2039	0	2574
POA2039	1	5391
POA2040	0	6146
POA2040	1	14515
POA2041	0	4525
POA2041	1	9761
POA2042	0	5941
POA2042	1	11312
POA2043	0	2580
POA2043	1	4711
POA2044	0	2615
POA2044	1	4665
POA2045	0	1867
POA2045	1	4278
POA2046	0	8071
POA2046	1	17022
POA2047	0	3363
POA2047	1	7584
POA2048	0	2163
POA2048	1	5064
POA2049	0	3211
POA2049	1	7096
POA2050	0	3693
POA2050	1	4457
POA2052	0	2173
POA2052	1	1019
POA2060	0	5514
POA2060	1	7252
POA2061	0	2535
POA2061	1	2815
POA2062	0	2202
POA2062	1	4433
POA2063	0	1795
POA2063	1	4291
POA2064	0	4575
POA2064	1	4430
POA2065	0	11986
POA2065	1	16128
POA2066	0	11452
POA2066	1	18798
POA2067	0	16022
POA2067	1	8906
POA2068	0	5503
POA2068	1	10569
POA2069	0	4947
POA2069	1	8760
POA2070	0	5238
POA2070	1	7792
POA2071	0	6176
POA2071	1	6922
POA2072	0	3689
POA2072	1	3667
POA2073	0	5961
POA2073	1	9877
POA2074	0	7463
POA2074	1	13777
POA2075	0	9191
POA2075	1	10631
POA2076	0	8497
POA2076	1	15121
POA2077	0	17874
POA2077	1	18328
POA2079	0	1897
POA2079	1	4991
POA2080	0	415
POA2080	1	1226
POA2081	0	1240
POA2081	1	3982
POA2082	0	1047
POA2082	1	4141
POA2083	0	330
POA2083	1	1089
POA2084	0	788
POA2084	1	2619
POA2085	0	3263
POA2085	1	7849
POA2086	0	3784
POA2086	1	9218
POA2087	0	4105
