POA_CODE_2016	MaxSchoolingCompleted	Sex	persons
POA0800	Did not go to school	F	16
POA0800	Did not go to school	M	12
POA0800	Year 8	F	32
POA0800	Year 8	M	38
POA0800	Year 9	F	43
POA0800	Year 9	M	58
POA0800	Year 10	F	211
POA0800	Year 10	M	347
POA0800	Year 11	F	166
POA0800	Year 11	M	273
POA0800	Year 12	F	1666
POA0800	Year 12	M	2013
POA0810	Did not go to school	F	124
POA0810	Did not go to school	M	94
POA0810	Year 8	F	521
POA0810	Year 8	M	525
POA0810	Year 9	F	452
POA0810	Year 9	M	510
POA0810	Year 10	F	1617
POA0810	Year 10	M	1908
POA0810	Year 11	F	1164
POA0810	Year 11	M	1430
POA0810	Year 12	F	7850
POA0810	Year 12	M	7219
POA0812	Did not go to school	F	86
POA0812	Did not go to school	M	65
POA0812	Year 8	F	330
POA0812	Year 8	M	310
POA0812	Year 9	F	326
POA0812	Year 9	M	332
POA0812	Year 10	F	1191
POA0812	Year 10	M	1365
POA0812	Year 11	F	895
POA0812	Year 11	M	999
POA0812	Year 12	F	3766
POA0812	Year 12	M	3456
POA0815	Year 10	F	5
POA0815	Year 10	M	5
POA0815	Year 11	M	3
POA0815	Year 12	F	58
POA0815	Year 12	M	107
POA0820	Did not go to school	F	33
POA0820	Did not go to school	M	38
POA0820	Year 8	F	210
POA0820	Year 8	M	200
POA0820	Year 9	F	197
POA0820	Year 9	M	258
POA0820	Year 10	F	888
POA0820	Year 10	M	1178
POA0820	Year 11	F	678
POA0820	Year 11	M	906
POA0820	Year 12	F	4826
POA0820	Year 12	M	4868
POA0822	Did not go to school	F	186
POA0822	Did not go to school	M	194
POA0822	Year 8	F	1115
POA0822	Year 8	M	1174
POA0822	Year 9	F	827
POA0822	Year 9	M	910
POA0822	Year 10	F	2007
POA0822	Year 10	M	2260
POA0822	Year 11	F	1278
POA0822	Year 11	M	1263
POA0822	Year 12	F	2462
POA0822	Year 12	M	2181
POA0828	Year 8	F	33
POA0828	Year 8	M	39
POA0828	Year 9	F	43
POA0828	Year 9	M	43
POA0828	Year 10	F	82
POA0828	Year 10	M	108
POA0828	Year 11	F	60
POA0828	Year 11	M	55
POA0828	Year 12	F	162
POA0828	Year 12	M	175
POA0829	Did not go to school	M	3
POA0829	Year 9	F	7
POA0829	Year 9	M	17
POA0829	Year 10	F	19
POA0829	Year 10	M	86
POA0829	Year 11	F	19
POA0829	Year 11	M	74
POA0829	Year 12	F	98
POA0829	Year 12	M	423
POA0830	Did not go to school	F	42
POA0830	Did not go to school	M	41
POA0830	Year 8	F	210
POA0830	Year 8	M	199
POA0830	Year 9	F	338
POA0830	Year 9	M	382
POA0830	Year 10	F	1289
POA0830	Year 10	M	1601
POA0830	Year 11	F	896
POA0830	Year 11	M	1080
POA0830	Year 12	F	3201
POA0830	Year 12	M	2737
POA0832	Did not go to school	F	30
POA0832	Did not go to school	M	20
POA0832	Year 8	F	114
POA0832	Year 8	M	102
POA0832	Year 9	F	196
POA0832	Year 9	M	206
POA0832	Year 10	F	948
POA0832	Year 10	M	1170
POA0832	Year 11	F	711
POA0832	Year 11	M	843
POA0832	Year 12	F	3200
POA0832	Year 12	M	2899
POA0834	Year 8	F	15
POA0834	Year 8	M	28
POA0834	Year 9	F	34
POA0834	Year 9	M	36
POA0834	Year 10	F	139
POA0834	Year 10	M	229
POA0834	Year 11	F	108
