SA2_NAME16	MaxSchoolingCompleted	Sex	persons
Braidwood	Did not go to school	F	6
Braidwood	Did not go to school	M	3
Braidwood	Year 8	F	49
Braidwood	Year 8	M	72
Braidwood	Year 9	F	107
Braidwood	Year 9	M	135
Braidwood	Year 10	F	387
Braidwood	Year 10	M	442
Braidwood	Year 11	F	93
Braidwood	Year 11	M	92
Braidwood	Year 12	F	755
Braidwood	Year 12	M	645
Karabar	Did not go to school	F	18
Karabar	Did not go to school	M	11
Karabar	Year 8	F	196
Karabar	Year 8	M	204
Karabar	Year 9	F	245
Karabar	Year 9	M	225
Karabar	Year 10	F	830
Karabar	Year 10	M	830
Karabar	Year 11	F	210
Karabar	Year 11	M	240
Karabar	Year 12	F	1616
Karabar	Year 12	M	1492
Queanbeyan	Did not go to school	F	50
Queanbeyan	Did not go to school	M	37
Queanbeyan	Year 8	F	287
Queanbeyan	Year 8	M	250
Queanbeyan	Year 9	F	242
Queanbeyan	Year 9	M	245
Queanbeyan	Year 10	F	891
Queanbeyan	Year 10	M	950
Queanbeyan	Year 11	F	219
Queanbeyan	Year 11	M	293
Queanbeyan	Year 12	F	2474
Queanbeyan	Year 12	M	2314
Queanbeyan - East	Did not go to school	F	11
Queanbeyan - East	Did not go to school	M	11
Queanbeyan - East	Year 8	F	71
Queanbeyan - East	Year 8	M	57
Queanbeyan - East	Year 9	F	89
Queanbeyan - East	Year 9	M	103
Queanbeyan - East	Year 10	F	363
Queanbeyan - East	Year 10	M	403
Queanbeyan - East	Year 11	F	135
Queanbeyan - East	Year 11	M	145
Queanbeyan - East	Year 12	F	1167
Queanbeyan - East	Year 12	M	1174
Queanbeyan Region	Did not go to school	F	8
Queanbeyan Region	Did not go to school	M	14
Queanbeyan Region	Year 8	F	118
Queanbeyan Region	Year 8	M	190
Queanbeyan Region	Year 9	F	261
Queanbeyan Region	Year 9	M	348
Queanbeyan Region	Year 10	F	1186
Queanbeyan Region	Year 10	M	1372
Queanbeyan Region	Year 11	F	361
Queanbeyan Region	Year 11	M	430
Queanbeyan Region	Year 12	F	3997
Queanbeyan Region	Year 12	M	3641
Queanbeyan West - Jerrabomberra	Did not go to school	F	3
Queanbeyan West - Jerrabomberra	Did not go to school	M	8
Queanbeyan West - Jerrabomberra	Year 8	F	120
Queanbeyan West - Jerrabomberra	Year 8	M	147
Queanbeyan West - Jerrabomberra	Year 9	F	235
Queanbeyan West - Jerrabomberra	Year 9	M	247
Queanbeyan West - Jerrabomberra	Year 10	F	959
Queanbeyan West - Jerrabomberra	Year 10	M	903
Queanbeyan West - Jerrabomberra	Year 11	F	324
Queanbeyan West - Jerrabomberra	Year 11	M	327
Queanbeyan West - Jerrabomberra	Year 12	F	3045
Queanbeyan West - Jerrabomberra	Year 12	M	2914
Bombala	Did not go to school	F	3
Bombala	Did not go to school	M	17
Bombala	Year 8	F	74
Bombala	Year 8	M	101
Bombala	Year 9	F	87
Bombala	Year 9	M	115
Bombala	Year 10	F	290
Bombala	Year 10	M	310
Bombala	Year 11	F	71
Bombala	Year 11	M	77
Bombala	Year 12	F	358
Bombala	Year 12	M	304
Cooma	Did not go to school	F	12
Cooma	Did not go to school	M	13
Cooma	Year 8	F	174
Cooma	Year 8	M	150
Cooma	Year 9	F	217
Cooma	Year 9	M	240
Cooma	Year 10	F	807
Cooma	Year 10	M	764
Cooma	Year 11	F	197
Cooma	Year 11	M	190
Cooma	Year 12	F	1110
Cooma	Year 12	M	968
Cooma Region	Did not go to school	F	4
Cooma Region	Did not go to school	M	3
Cooma Region	Year 8	F	45
Cooma Region	Year 8	M	75
Cooma Region	Year 9	F	107
Cooma Region	Year 9	M	108
Cooma Region	Year 10	F	314
Cooma Region	Year 10	M	427
Cooma Region	Year 11	F	98
Cooma Region	Year 11	M	81
Cooma Region	Year 12	F	602
Cooma Region	Year 12	M	528
Jindabyne - Berridale	Did not go to school	F	5
Jindabyne - Berridale	Did not go to school	M	9
Jindabyne - Berridale	Year 8	F	56
Jindabyne - Berridale	Year 8	M	85
Jindabyne - Berridale	Year 9	F	117
Jindabyne - Berridale	Year 9	M	141
Jindabyne - Berridale	Year 10	F	521
Jindabyne - Berridale	Year 10	M	775
Jindabyne - Berridale	Year 11	F	203
Jindabyne - Berridale	Year 11	M	222
Jindabyne - Berridale	Year 12	F	1492
Jindabyne - Berridale	Year 12	M	1486
Batemans Bay	Did not go to school	F	3
Batemans Bay	Did not go to school	M	9
Batemans Bay	Year 8	F	197
Batemans Bay	Year 8	M	183
Batemans Bay	Year 9	F	325
Batemans Bay	Year 9	M	315
Batemans Bay	Year 10	F	1041
Batemans Bay	Year 10	M	1046
Batemans Bay	Year 11	F	246
Batemans Bay	Year 11	M	234
Batemans Bay	Year 12	F	1094
Batemans Bay	Year 12	M	995
Batemans Bay - South	Did not go to school	F	7
Batemans Bay - South	Did not go to school	M	7
Batemans Bay - South	Year 8	F	197
Batemans Bay - South	Year 8	M	216
Batemans Bay - South	Year 9	F	328
Batemans Bay - South	Year 9	M	313
Batemans Bay - South	Year 10	F	1118
Batemans Bay - South	Year 10	M	964
Batemans Bay - South	Year 11	F	280
Batemans Bay - South	Year 11	M	226
Batemans Bay - South	Year 12	F	1402
Batemans Bay - South	Year 12	M	1252
Bega - Tathra	Did not go to school	F	7
Bega - Tathra	Did not go to school	M	4
Bega - Tathra	Year 8	F	193
Bega - Tathra	Year 8	M	199
Bega - Tathra	Year 9	F	283
Bega - Tathra	Year 9	M	261
Bega - Tathra	Year 10	F	970
Bega - Tathra	Year 10	M	984
Bega - Tathra	Year 11	F	305
Bega - Tathra	Year 11	M	293
Bega - Tathra	Year 12	F	1418
Bega - Tathra	Year 12	M	1186
Bega-Eden Hinterland	Did not go to school	F	7
Bega-Eden Hinterland	Did not go to school	M	10
Bega-Eden Hinterland	Year 8	F	153
Bega-Eden Hinterland	Year 8	M	230
Bega-Eden Hinterland	Year 9	F	270
Bega-Eden Hinterland	Year 9	M	316
Bega-Eden Hinterland	Year 10	F	1019
Bega-Eden Hinterland	Year 10	M	1190
Bega-Eden Hinterland	Year 11	F	312
Bega-Eden Hinterland	Year 11	M	333
Bega-Eden Hinterland	Year 12	F	1515
Bega-Eden Hinterland	Year 12	M	1249
Broulee - Tomakin	Did not go to school	M	4
Broulee - Tomakin	Year 8	F	69
Broulee - Tomakin	Year 8	M	62
Broulee - Tomakin	Year 9	F	135
Broulee - Tomakin	Year 9	M	132
Broulee - Tomakin	Year 10	F	407
Broulee - Tomakin	Year 10	M	332
Broulee - Tomakin	Year 11	F	91
Broulee - Tomakin	Year 11	M	105
Broulee - Tomakin	Year 12	F	608
Broulee - Tomakin	Year 12	M	573
Deua - Wadbilliga	Year 8	M	3
