SA2_NAME16	persons
Braidwood	3872
Karabar	8247
Queanbeyan	10842
Queanbeyan - East	4786
Queanbeyan Region	16946
Queanbeyan West - Jerrabomberra	12643
Bombala	2390
Cooma	6742
Cooma Region	3280
Jindabyne - Berridale	6951
Batemans Bay	7692
Batemans Bay - South	8358
Bega - Tathra	8405
Bega-Eden Hinterland	8793
Broulee - Tomakin	3285
Deua - Wadbilliga	25
Eden	3216
Eurobodalla Hinterland	3301
Merimbula - Tura Beach	10618
Moruya - Tuross Head	7968
Narooma - Bermagui	8978
Goulburn	22890
Goulburn Region	12670
Yass	6506
Yass Region	11505
Young	10601
Young Region	7323
Avoca Beach - Copacabana	7312
Box Head - MacMasters Beach	10689
Calga - Kulnura	4705
Erina - Green Point	13953
Gosford - Springfield	18803
Kariong	6385
Kincumber - Picketts Valley	7313
Narara	6642
Niagara Park - Lisarow	8029
Point Clare - Koolewong	6206
Saratoga - Davistown	6984
Terrigal - North Avoca	13347
Umina - Booker Bay - Patonga	23590
Wamberal - Forresters Beach	9757
Woy Woy - Blackwall	13924
Wyoming	11436
Bateau Bay - Killarney Vale	22008
Blue Haven - San Remo	11046
Budgewoi - Buff Point - Halekulani	9409
Chittaway Bay - Tumbi Umbi	15355
Gorokan - Kanwal - Charmhaven	22109
Jilliby - Yarramalong	3358
Lake Munmorah - Mannering Park	10728
Ourimbah - Fountaindale	4855
Summerland Point - Gwandalan	5768
The Entrance	14941
Toukley - Norah Head	9773
Tuggerah - Kangy Angy	5303
Warnervale - Wadalba	15222
Wyong	8822
Bathurst	23833
Bathurst - East	11189
Bathurst Region	6910
Oberon	4662
Condobolin	6630
Cowra	9146
Cowra Region	5447
Forbes	10165
Grenfell	3652
Parkes (NSW)	10977
Parkes Region	3390
West Wyalong	5926
Lithgow	12818
Lithgow Region	8262
Mudgee	11728
Mudgee Region - East	3444
Mudgee Region - West	10359
Blayney	7271
Orange	19009
Orange - North	19728
Orange Region	11603
Grafton	18668
Grafton Region	15311
Maclean - Yamba - Iluka	16279
Bellingen	5807
Coffs Harbour - North	17462
Coffs Harbour - South	10295
Coramba - Nana Glen - Bucca	3820
Dorrigo	3243
Korora - Emerald Beach	8737
Sawtell - Boambee	19477
Urunga	4666
Woolgoolga - Arrawarra	12523
Bourke - Brewarrina	4002
Cobar	4657
Coonamble	4113
Nyngan - Warren	4969
Walgett - Lightning Ridge	6412
Broken Hill	17708
Far West	2507
Coonabarabran	7950
Dubbo - East	10378
Dubbo - South	16942
Dubbo - West	8768
Dubbo Region	5625
Gilgandra	4373
Narromine	6535
Wellington	8831
Branxton - Greta - Pokolbin	10125
Cessnock	21994
Cessnock Region	7931
Dungog	8975
Kurri Kurri - Abermain	17638
Singleton	16089
Singleton Region	4919
Maitland	6603
Maitland - East	27416
Maitland - North	7617
Maitland - West	22527
Thornton - Millers Forest	10007
Anna Bay	5729
Lemon Tree Passage - Tanilba Bay	6684
Nelson Bay Peninsula	21019
Raymond Terrace	13823
Seaham - Woodville	5415
Tea Gardens - Hawks Nest	5037
Williamtown - Medowie - Karuah	13669
Muswellbrook	12075
Muswellbrook Region	4014
Scone	5827
Scone Region	8284
Dapto - Avondale	23458
Horsley - Kembla Grange	8659
Port Kembla Industrial	10
Unanderra - Mount Kembla	15378
Berkeley - Lake Heights - Cringila	13801
Port Kembla - Warrawong	9749
Windang - Primbee	4300
Illawarra Catchment Reserve	8
Albion Park - Macquarie Pass	14337
Albion Park Rail	6918
Kiama	7700
Kiama Downs - Minnamurra	5875
Kiama Hinterland - Gerringong	7808
Shellharbour - Flinders	16826
Shellharbour - Oak Flats	9957
Warilla	20421
Balgownie - Fairy Meadow	21196
Corrimal - Tarrawanna - Bellambi	15424
Figtree - Keiraville	21080
Helensburgh	8789
Thirroul - Austinmer - Coalcliff	11305
Woonona - Bulli - Russell Vale	19838
Wollongong - East	13967
Wollongong - West	16702
Bulahdelah - Stroud	4723
Forster	14267
Forster-Tuncurry Region	6087
Tuncurry	6186
Kempsey	14754
Kempsey Region	9025
Macksville - Scotts Head	4793
Nambucca Heads	6750
Nambucca Heads Region	7661
South West Rocks	5133
Lord Howe Island	382
Laurieton - Bonny Hills	16746
Port Macquarie - East	28050
Port Macquarie - West	17329
Port Macquarie Region	5297
Wauchope	11151
Gloucester	5034
Old Bar - Manning Point - Red Head	10537
Taree	20482
Taree Region	12438
Wingham	5374
Albury - East	15048
Albury - North	9844
Albury - South	10301
Albury Region	11608
Lavington	14468
Hay	2969
Wentworth - Buronga	5967
Wentworth-Balranald Region	3614
Corowa	5482
Corowa Region	6736
Deniliquin	7434
Deniliquin Region	6752
Moama	5849
Tocumwal - Finley - Jerilderie	9728
Armidale	23352
Armidale Region - North	4488
Armidale Region - South	6021
Walcha	3224
Glen Innes	8836
Inverell	11660
Inverell Region - East	5241
Inverell Region - West	5988
Tenterfield	6628
Moree	8200
Moree Region	5451
Narrabri	7167
Narrabri Region	4798
Gunnedah	9191
Gunnedah Region	4135
Quirindi	7686
Tamworth - East	20370
Tamworth - North	15076
Tamworth - West	5560
Tamworth Region	18474
Belmont - Bennetts Green	17724
Belmont South - Blacksmiths	5606
Charlestown - Dudley	23965
Glendale - Cardiff - Hillsborough	23389
Mount Hutton - Windale	8900
Redhead	3516
Swansea - Caves Beach	11551
Valentine - Eleebana	11995
Warners Bay - Boolaroo	13365
Bolton Point - Teralba	8527
Bonnells Bay - Silverwater	8717
Edgeworth - Cameron Park	14200
Morisset - Cooranbong	14959
Toronto - Awaba	13425
Wangi Wangi - Rathmines	8893
West Wallsend - Barnsley - Killingworth	6479
Adamstown - Kotara	15601
Beresfield - Hexham	8360
Hamilton - Broadmeadow	11848
Lambton - New Lambton	16519
Maryland - Fletcher - Minmi	13566
Mayfield - Warabrook	14874
Merewether - The Junction	13617
Newcastle - Cooks Hill	10764
Newcastle Port - Kooragang	20
Shortland - Jesmond	11541
Stockton - Fullerton Cove	7496
Wallsend - Elermore Vale	19629
Waratah - North Lambton	12059
Wickham - Carrington - Tighes Hill	8004
Ballina	17111
Ballina Region	16832
Bangalow	5665
Brunswick Heads - Ocean Shores	8212
Byron Bay	9502
Evans Head	5221
Lennox Head - Skennars Head	7741
Mullumbimby	7993
Casino	12227
Casino Region	6971
Goonellabah	13126
Kyogle	7312
Lismore	15280
Lismore Region	15025
Kingscliff - Fingal Head	13156
Murwillumbah	8944
Murwillumbah Region	9654
Pottsville	13182
Tweed Heads	19417
Banora Point	15635
Terranora - North Tumblegum	3244
Tweed Heads South	8147
Griffith (NSW)	19144
Griffith Region	12879
Leeton	10091
Narrandera	6036
Tumbarumba	3449
Tumut	6275
Tumut Region	4715
Cootamundra	7570
Gundagai	3597
Junee	6245
Temora	6718
Wagga Wagga - East	16585
Wagga Wagga - North	4405
Wagga Wagga - South	21266
Wagga Wagga - West	12157
Wagga Wagga Region	14814
Berry - Kangaroo Valley	8789
Callala Bay - Currarong	3617
Culburra Beach	4955
Ettrema - Sassafras - Budawang	49
Huskisson - Vincentia	4188
North Nowra - Bomaderry	15759
Nowra	20039
St Georges Basin - Erowal Bay	14007
Sussex Inlet - Berrara	4342
Tomerong - Wandandian - Woollamia	3407
Ulladulla	15278
Ulladulla Region	5062
Bowral	12949
Hill Top - Colo Vale	6025
Mittagong	8999
Moss Vale - Berrima	9797
Robertson - Fitzroy Falls	3506
Southern Highlands	6589
Baulkham Hills (East)	22944
Baulkham Hills (West) - Bella Vista	20066
Glenhaven	6251
West Pennant Hills	12639
Castle Hill - Central	7611
Castle Hill - East	5593
Castle Hill - North	11885
Castle Hill - South	9517
Castle Hill - West	5241
Cherrybrook	18765
Kellyville	23228
Dural - Kenthurst - Wisemans Ferry	21016
Galston - Laughtondale	5210
Bilpin - Colo - St Albans	2692
Kurrajong Heights - Ebenezer	21900
Pitt Town - McGraths Hill	10528
Rouse Hill - Beaumont Hills	22652
Blacktown (East) - Kings Park	16921
Blacktown (North) - Marayong	18023
Doonside - Woodcroft	22530
Lalor Park - Kings Langley	24879
Seven Hills - Toongabbie	23921
Blacktown (South)	12322
Blacktown (West)	16156
Glenwood	16130
Parklea - Kellyville Ridge	32645
Riverstone - Marsden Park	17312
Acacia Gardens	3793
Quakers Hill	22938
Bidwill - Hebersham - Emerton	18445
Glendenning - Dean Park	8356
Hassall Grove - Plumpton	20671
Lethbridge Park - Tregear	20709
Mount Druitt - Whalan	22698
Prospect Reservoir	40
Rooty Hill - Minchinbury	21154
Banksmeadow	18
Botany	10817
Mascot - Eastlakes	24410
Pagewood - Hillsdale - Daceyville	11373
Port Botany Industrial	10
Sydney Airport	58
Marrickville	26533
Petersham - Stanmore	20231
Sydenham - Tempe - St Peters	7846
Darlinghurst	11320
Erskineville - Alexandria	16233
Glebe - Forest Lodge	19609
Newtown - Camperdown - Darlington	24839
Potts Point - Woolloomooloo	21205
Pyrmont - Ultimo	21656
Redfern - Chippendale	22501
Surry Hills	16412
Sydney - Haymarket - The Rocks	27407
Waterloo - Beaconsfield	33060
Bondi - Tamarama - Bronte	18398
Bondi Beach - North Bondi	20728
Bondi Junction - Waverly	16857
Double Bay - Bellevue Hill	24868
Dover Heights	10829
Paddington - Moore Park	15170
Rose Bay - Vaucluse - Watsons Bay	11840
Woollahra	7685
Coogee - Clovelly	25452
Malabar - La Perouse - Chifley	24036
Kensington (NSW)	14882
Kingsford	15599
Maroubra - North	9812
Maroubra - South	10683
Maroubra - West	10199
Randwick - North	16873
Randwick - South	13112
Bass Hill - Georges Hall	21828
Chullora	900
Condell Park	11309
Greenacre - Mount Lewis	25964
Padstow	16475
Panania - Milperra - Picnic Point	25788
Revesby	16219
Yagoona - Birrong	20706
Bankstown - North	16237
Bankstown - South	15998
Belmore - Belfield	19037
Canterbury (South) - Campsie	30622
Kingsgrove (North) - Earlwood	23680
Punchbowl	20757
Roselands	13738
Lakemba	17023
Wiley Park	10218
Hurstville	23608
Mortdale - Penshurst	23904
Narwee - Beverly Hills	13784
Oatley - Hurstville Grove	12613
Peakhurst - Lugarno	17933
Riverwood	11280
South Hurstville - Blakehurst	24070
Arncliffe - Bardwell Valley	21448
Bexley	26478
Kingsgrove (South) - Bardwell Park	12611
Kogarah	11311
Kogarah Bay - Carlton - Allawah	15969
Monterey - Brighton-le-Sands - Kyeemagh	13969
Rockdale - Banksia	19961
Sans Souci - Ramsgate	15976
Concord - Mortlake - Cabarita	21740
Concord West - North Strathfield	24847
Drummoyne - Rodd Point	18325
Five Dock - Abbotsford	20441
Balmain	15687
Leichhardt - Annandale	26387
Lilyfield - Rozelle	13991
Ashfield	24501
Burwood - Croydon	24649
Canterbury (North) - Ashbury	10448
Croydon Park - Enfield	17228
Dulwich Hill - Lewisham	16811
Haberfield - Summer Hill	13470
Homebush	16211
Strathfield	25013
Strathfield South	3546
Chatswood (East) - Artarmon	28683
Chatswood (West) - Lane Cove North	20857
Lane Cove - Greenwich	26734
St Leonards - Naremburn	10500
Willoughby - Castle Cove - Northbridge	25462
Asquith - Mount Colah	18287
Berowra - Brooklyn - Cowan	11699
Normanhurst - Thornleigh - Westleigh	18531
Hornsby - East	11801
Hornsby - West	10679
Waitara - Wahroonga (West)	9601
Gordon - Killara	21327
Lindfield - Roseville	23148
Pymble	16352
St Ives	20451
Turramurra	19268
Wahroonga (East) - Warrawee	17826
Cremorne - Cammeray	19079
Crows Nest - Waverton	18022
Mosman	28475
Neutral Bay - Kirribilli	17852
North Sydney - Lavender Bay	10706
Balgowlah - Clontarf - Seaforth	20186
Manly - Fairlight	21704
Avalon - Palm Beach	12376
Bayview - Elanora Heights	10742
Newport - Bilgola	13181
Warriewood - Mona Vale	24132
Beacon Hill - Narraweena	13885
Cromer	7482
Dee Why - North Curl Curl	24951
Forestville - Killarney Heights	12798
Frenchs Forest - Belrose	25170
Freshwater - Brookvale	20978
Manly Vale - Allambie Heights	16870
Narrabeen - Collaroy	24773
Terrey Hills - Duffys Forest	3646
Camden - Ellis Lane	12960
Elderslie - Harrington Park	20980
Mount Annan - Currans Hill	28575
Bradbury - Wedderburn	18963
Campbelltown - Woodbine	18192
Claymore - Eagle Vale - Raby	20399
Ingleburn - Denham Court	19987
Leumeah - Minto Heights	16536
Macquarie Fields - Glenfield	23554
Minto - St Andrews	19885
Rosemeadow - Glen Alpine	20880
Bargo	5741
Douglas Park - Appin	9626
Picton - Tahmoor - Buxton	16790
The Oaks - Oakdale	8998
Blackheath - Megalong Valley	5561
Blaxland - Warrimoo - Lapstone	18938
Blue Mountains - North	13
Katoomba - Leura	13224
Lawson - Hazelbrook - Linden	11259
Springwood - Winmalee	21634
Wentworth Falls	6076
Blue Mountains - South	3
Cambridge Park	15641
Castlereagh - Cranebrook	23720
Emu Plains - Leonay	14220
Glenmore Park - Regentville	21202
Jamisontown - South Penrith	17288
Kingswood - Werrington	19584
Mulgoa - Luddenham - Orchard Hills	9543
Penrith	13295
Warragamba - Silverdale	5189
Richmond - Clarendon	13842
Windsor - Bligh Park	15328
Yarramundi - Londonderry	7374
Erskine Park	6436
St Clair	19897
Colyton - Oxley Park	11591
St Marys - North St Marys	16072
Homebush Bay - Silverwater	18737
Rookwood Cemetery	3
Auburn - Central	17174
Auburn - North	11323
Auburn - South	8484
Berala	8899
Lidcombe	19983
Regents Park	5064
Carlingford	27361
Ermington - Rydalmere	21424
Oatlands - Dundas Valley	17786
Chester Hill - Sefton	18467
Fairfield - East	15515
Granville - Clyde	20826
Greystanes - Pemulwuy	26312
Guildford - South Granville	20950
Guildford West - Merrylands West	20720
Merrylands - Holroyd	28450
Smithfield Industrial	8
Yennora Industrial	11
North Parramatta	22234
North Rocks	7872
Northmead	20382
Parramatta - Rosehill	29249
Toongabbie - Constitution Hill	21935
Winston Hills	10773
Pendle Hill - Girraween	12847
Wentworthville - Westmead	15604
Epping - North Epping	27095
Pennant Hills - Cheltenham	20493
Eastwood - Denistone	25047
Gladesville - Huntleys Point	14414
Hunters Hill - Woolwich	10345
Macquarie Park - Marsfield	21724
North Ryde - East Ryde	12310
West Ryde - Meadowbank	19375
Putney	4141
Ryde	27175
Ashcroft - Busby - Miller	17341
Austral - Greendale	8911
Cobbitty - Leppington	17891
Badgerys Creek	60
Cecil Hills	7017
Green Valley	12516
Hinchinbrook	12298
Hoxton Park - Carnes Hill - Horningsea Park	11591
West Hoxton - Middleton Grange	15186
Bonnyrigg Heights - Bonnyrigg	15979
Bossley Park - Abbotsbury	18834
Cabramatta - Lansvale	24708
Cabramatta West - Mount Pritchard	17193
Canley Vale - Canley Heights	20821
Edensor Park	9772
Fairfield	17700
Fairfield - West	19091
Greenfield Park - Prairiewood	8332
Horsley Park - Kemps Creek	4422
Smithfield - Wetherill Park	18044
St Johns Park - Wakeley	10864
Wetherill Park Industrial	35
Casula	15662
Chipping Norton - Moorebank	18746
Holsworthy - Wattle Grove	20706
Liverpool	27172
Lurnea - Cartwright	11681
Prestons - Edmondson Park	17585
Warwick Farm	5799
Gymea - Grays Point	17473
Miranda - Yowie Bay	18234
Sylvania - Taren Point	15939
Caringbah	11766
Caringbah South	12061
Cronulla - Kurnell - Bundeena	23491
Lilli Pilli - Port Hacking - Dolans Bay	3148
Woolaware - Burraneer	7730
Heathcote - Waterfall	6505
Illawong - Alfords Point	10363
Menai - Lucas Heights - Woronora	21129
Oyster Bay - Como - Jannali	21254
Royal National Park	27
Sutherland - Kirrawee	20868
Engadine	16993
Loftus - Yarrawarrah	7246
Woronora Heights	3652
Migratory - Offshore - Shipping (NSW)	412
No usual address (NSW)	12288
Alfredton	11654
Ballarat	12046
Ballarat - North	23083
Ballarat - South	24231
Buninyong	7153
Delacombe	7082
Smythes Creek	3932
Wendouree - Miners Rest	14633
Bacchus Marsh Region	5870
Creswick - Clunes	7821
Daylesford	8956
Gordon (Vic.)	5656
Avoca	3302
Beaufort	4395
Golden Plains - North	4483
Maryborough (Vic.)	7921
Maryborough Region	5268
Bendigo	14460
California Gully - Eaglehawk	11965
East Bendigo - Kennington	13507
Flora Hill - Spring Gully	9295
Kangaroo Flat - Golden Square	19687
Maiden Gully	5084
Strathfieldsaye	8630
White Hills - Ascot	11747
Bendigo Region - South	7184
Castlemaine	10583
Castlemaine Region	8474
Heathcote	4513
Kyneton	9648
Woodend	6899
