SA2_NAME16	medianTotalFamilyIncome
Braidwood	74464
Karabar	104364
Queanbeyan	95888
Queanbeyan - East	104052
Queanbeyan Region	138944
Queanbeyan West - Jerrabomberra	145028
Bombala	72644
Cooma	73476
Cooma Region	79300
Jindabyne - Berridale	91780
Batemans Bay	59124
Batemans Bay - South	62348
Bega - Tathra	69940
Bega-Eden Hinterland	62816
Broulee - Tomakin	71032
Deua - Wadbilliga	71448
Eden	58968
Eurobodalla Hinterland	64168
Merimbula - Tura Beach	66196
Moruya - Tuross Head	61048
Narooma - Bermagui	58396
Goulburn	77220
Goulburn Region	78260
Yass	96356
Yass Region	121732
Young	64168
Young Region	67080
Avoca Beach - Copacabana	110136
Box Head - MacMasters Beach	90012
Calga - Kulnura	91052
Erina - Green Point	93444
Gosford - Springfield	81952
Kariong	100308
Kincumber - Picketts Valley	77064
Narara	90168
Niagara Park - Lisarow	98696
Point Clare - Koolewong	91884
Saratoga - Davistown	90532
Terrigal - North Avoca	106132
Umina - Booker Bay - Patonga	70980
Wamberal - Forresters Beach	107068
Woy Woy - Blackwall	72852
Wyoming	79976
Bateau Bay - Killarney Vale	79508
Blue Haven - San Remo	70096
Budgewoi - Buff Point - Halekulani	65832
Chittaway Bay - Tumbi Umbi	89544
Gorokan - Kanwal - Charmhaven	68640
Jilliby - Yarramalong	108576
Lake Munmorah - Mannering Park	65312
Ourimbah - Fountaindale	101036
Summerland Point - Gwandalan	70980
The Entrance	66092
Toukley - Norah Head	68016
Tuggerah - Kangy Angy	89960
Warnervale - Wadalba	93652
Wyong	65468
Bathurst	82732
Bathurst - East	88816
Bathurst Region	85436
Oberon	77220
Condobolin	66768
Cowra	63544
Cowra Region	65572
Forbes	68432
Grenfell	62036
Parkes (NSW)	76284
Parkes Region	65884
West Wyalong	70408
Lithgow	65364
Lithgow Region	74152
Mudgee	84864
Mudgee Region - East	55432
Mudgee Region - West	69212
Wollangambe - Wollemi	
Blayney	82212
Orange	72800
Orange - North	97292
Orange Region	94432
Grafton	61464
Grafton Region	59228
Maclean - Yamba - Iluka	55952
Bellingen	64376
Coffs Harbour - North	67860
Coffs Harbour - South	68484
Coramba - Nana Glen - Bucca	74620
Dorrigo	57824
Korora - Emerald Beach	84604
Sawtell - Boambee	68900
Urunga	63908
Woolgoolga - Arrawarra	66508
Bourke - Brewarrina	69108
Cobar	99944
Coonamble	65728
Nyngan - Warren	77220
Walgett - Lightning Ridge	53612
Broken Hill	66508
Far West	59540
Coonabarabran	57252
Dubbo - East	80340
Dubbo - South	85124
Dubbo - West	77532
Dubbo Region	88764
Gilgandra	62504
Narromine	70720
Wellington	62868
Branxton - Greta - Pokolbin	100048
Cessnock	65624
Cessnock Region	85280
Dungog	76648
Kurri Kurri - Abermain	70824
Singleton	101920
Singleton Region	99892
Maitland	88244
Maitland - East	83408
Maitland - North	111228
Maitland - West	81952
Thornton - Millers Forest	96616
Anna Bay	72904
Lemon Tree Passage - Tanilba Bay	61048
Nelson Bay Peninsula	70564
Raymond Terrace	68640
Seaham - Woodville	103792
Tea Gardens - Hawks Nest	56472
Williamtown - Medowie - Karuah	88712
Muswellbrook	85280
Muswellbrook Region	90324
Scone	91052
Scone Region	77376
Dapto - Avondale	75660
Horsley - Kembla Grange	99840
Port Kembla Industrial	
Unanderra - Mount Kembla	96772
Berkeley - Lake Heights - Cringila	66092
Port Kembla - Warrawong	58344
Windang - Primbee	71968
Illawarra Catchment Reserve	
Albion Park - Macquarie Pass	95160
Albion Park Rail	70928
Kiama	85696
Kiama Downs - Minnamurra	101764
Kiama Hinterland - Gerringong	98540
Shellharbour - Flinders	102544
Shellharbour - Oak Flats	77376
Warilla	63596
Balgownie - Fairy Meadow	89752
Corrimal - Tarrawanna - Bellambi	80964
Figtree - Keiraville	98748
Helensburgh	120848
Thirroul - Austinmer - Coalcliff	119704
Woonona - Bulli - Russell Vale	106184
Wollongong - East	88036
Wollongong - West	83356
Bulahdelah - Stroud	61516
Forster	56888
Forster-Tuncurry Region	57148
Tuncurry	49088
Kempsey	57044
Kempsey Region	59644
Macksville - Scotts Head	60320
Nambucca Heads	50076
Nambucca Heads Region	59228
South West Rocks	55692
Lord Howe Island	92248
Laurieton - Bonny Hills	59228
Port Macquarie - East	73684
Port Macquarie - West	66196
Port Macquarie Region	71344
