SA3_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Queanbeyan	0-14			2016	3
Queanbeyan	0-14		0	2015	3
Queanbeyan	0-14		1		8
Queanbeyan	0-14		1	2005	24
Queanbeyan	0-14		1	2010	93
Queanbeyan	0-14		1	2011	25
Queanbeyan	0-14		1	2012	16
Queanbeyan	0-14		1	2013	33
Queanbeyan	0-14		1	2014	26
Queanbeyan	0-14		1	2015	28
Queanbeyan	0-14		1	2016	10
Queanbeyan	0-14	Speaks English not well or not at all	0	2012	3
Queanbeyan	0-14	Speaks English not well or not at all	0	2014	14
Queanbeyan	0-14	Speaks English not well or not at all	0	2015	18
Queanbeyan	0-14	Speaks English not well or not at all	0	2016	10
Queanbeyan	0-14	Speaks English well or very well	0		11
Queanbeyan	0-14	Speaks English well or very well	0	2005	5
Queanbeyan	0-14	Speaks English well or very well	0	2010	76
Queanbeyan	0-14	Speaks English well or very well	0	2011	30
Queanbeyan	0-14	Speaks English well or very well	0	2012	23
Queanbeyan	0-14	Speaks English well or very well	0	2013	24
Queanbeyan	0-14	Speaks English well or very well	0	2014	41
Queanbeyan	0-14	Speaks English well or very well	0	2015	28
Queanbeyan	0-14	Speaks English well or very well	0	2016	11
Queanbeyan	15-24		0	2000	4
Queanbeyan	15-24		0	2010	3
Queanbeyan	15-24		1		9
Queanbeyan	15-24		1	2000	50
Queanbeyan	15-24		1	2005	77
Queanbeyan	15-24		1	2010	54
Queanbeyan	15-24		1	2011	8
Queanbeyan	15-24		1	2012	12
Queanbeyan	15-24		1	2013	11
Queanbeyan	15-24		1	2014	14
Queanbeyan	15-24		1	2015	15
Queanbeyan	15-24		1	2016	3
Queanbeyan	15-24	Speaks English not well or not at all	0		4
Queanbeyan	15-24	Speaks English not well or not at all	0	2015	3
Queanbeyan	15-24	Speaks English well or very well	0		6
Queanbeyan	15-24	Speaks English well or very well	0	2000	17
Queanbeyan	15-24	Speaks English well or very well	0	2005	42
Queanbeyan	15-24	Speaks English well or very well	0	2010	70
Queanbeyan	15-24	Speaks English well or very well	0	2011	17
Queanbeyan	15-24	Speaks English well or very well	0	2012	16
Queanbeyan	15-24	Speaks English well or very well	0	2013	30
Queanbeyan	15-24	Speaks English well or very well	0	2014	38
Queanbeyan	15-24	Speaks English well or very well	0	2015	21
Queanbeyan	15-24	Speaks English well or very well	0	2016	23
Queanbeyan	25-34		0	2005	3
Queanbeyan	25-34		0	2010	3
Queanbeyan	25-34		1		12
Queanbeyan	25-34		1	2000	160
Queanbeyan	25-34		1	2005	48
Queanbeyan	25-34		1	2010	91
Queanbeyan	25-34		1	2011	29
Queanbeyan	25-34		1	2012	17
Queanbeyan	25-34		1	2013	21
Queanbeyan	25-34		1	2014	16
Queanbeyan	25-34		1	2015	15
Queanbeyan	25-34		1	2016	7
Queanbeyan	25-34	Speaks English not well or not at all	0	2010	8
Queanbeyan	25-34	Speaks English not well or not at all	0	2011	8
Queanbeyan	25-34	Speaks English not well or not at all	0	2012	4
Queanbeyan	25-34	Speaks English not well or not at all	0	2013	3
Queanbeyan	25-34	Speaks English not well or not at all	0	2014	13
Queanbeyan	25-34	Speaks English not well or not at all	0	2015	10
Queanbeyan	25-34	Speaks English not well or not at all	0	2016	3
Queanbeyan	25-34	Speaks English well or very well	0		16
Queanbeyan	25-34	Speaks English well or very well	0	2000	109
Queanbeyan	25-34	Speaks English well or very well	0	2005	64
Queanbeyan	25-34	Speaks English well or very well	0	2010	427
Queanbeyan	25-34	Speaks English well or very well	0	2011	70
Queanbeyan	25-34	Speaks English well or very well	0	2012	61
Queanbeyan	25-34	Speaks English well or very well	0	2013	82
Queanbeyan	25-34	Speaks English well or very well	0	2014	103
Queanbeyan	25-34	Speaks English well or very well	0	2015	93
Queanbeyan	25-34	Speaks English well or very well	0	2016	45
Queanbeyan	35-44		1		12
Queanbeyan	35-44		1	2000	380
Queanbeyan	35-44		1	2005	93
Queanbeyan	35-44		1	2010	84
Queanbeyan	35-44		1	2011	9
Queanbeyan	35-44		1	2012	15
Queanbeyan	35-44		1	2013	11
Queanbeyan	35-44		1	2014	16
Queanbeyan	35-44		1	2015	19
Queanbeyan	35-44		1	2016	4
Queanbeyan	35-44	Speaks English not well or not at all	0	2000	4
Queanbeyan	35-44	Speaks English not well or not at all	0	2005	5
Queanbeyan	35-44	Speaks English not well or not at all	0	2010	8
Queanbeyan	35-44	Speaks English not well or not at all	0	2013	4
Queanbeyan	35-44	Speaks English not well or not at all	0	2014	3
Queanbeyan	35-44	Speaks English not well or not at all	0	2016	3
Queanbeyan	35-44	Speaks English well or very well	0		9
Queanbeyan	35-44	Speaks English well or very well	0	2000	181
Queanbeyan	35-44	Speaks English well or very well	0	2005	148
Queanbeyan	35-44	Speaks English well or very well	0	2010	272
Queanbeyan	35-44	Speaks English well or very well	0	2011	41
Queanbeyan	35-44	Speaks English well or very well	0	2012	45
Queanbeyan	35-44	Speaks English well or very well	0	2013	31
Queanbeyan	35-44	Speaks English well or very well	0	2014	45
Queanbeyan	35-44	Speaks English well or very well	0	2015	33
Queanbeyan	35-44	Speaks English well or very well	0	2016	11
Queanbeyan	45-54			2000	3
Queanbeyan	45-54		0	2000	8
Queanbeyan	45-54		1		30
Queanbeyan	45-54		1	2000	882
Queanbeyan	45-54		1	2005	83
Queanbeyan	45-54		1	2010	66
Queanbeyan	45-54		1	2011	11
Queanbeyan	45-54		1	2012	23
Queanbeyan	45-54		1	2013	3
Queanbeyan	45-54		1	2014	12
Queanbeyan	45-54		1	2015	11
Queanbeyan	45-54		1	2016	4
Queanbeyan	45-54	Speaks English not well or not at all	0		4
Queanbeyan	45-54	Speaks English not well or not at all	0	2000	25
Queanbeyan	45-54	Speaks English not well or not at all	0	2005	8
Queanbeyan	45-54	Speaks English not well or not at all	0	2010	22
Queanbeyan	45-54	Speaks English not well or not at all	0	2012	3
Queanbeyan	45-54	Speaks English not well or not at all	0	2013	3
Queanbeyan	45-54	Speaks English not well or not at all	0	2014	3
Queanbeyan	45-54	Speaks English not well or not at all	0	2016	3
Queanbeyan	45-54	Speaks English well or very well	0		11
Queanbeyan	45-54	Speaks English well or very well	0	2000	337
Queanbeyan	45-54	Speaks English well or very well	0	2005	74
Queanbeyan	45-54	Speaks English well or very well	0	2010	80
Queanbeyan	45-54	Speaks English well or very well	0	2011	15
Queanbeyan	45-54	Speaks English well or very well	0	2012	8
Queanbeyan	45-54	Speaks English well or very well	0	2013	11
Queanbeyan	45-54	Speaks English well or very well	0	2014	9
Queanbeyan	45-54	Speaks English well or very well	0	2015	3
Queanbeyan	45-54	Speaks English well or very well	0	2016	3
Queanbeyan	55-64			2000	7
Queanbeyan	55-64		0	2000	4
Queanbeyan	55-64		1		26
Queanbeyan	55-64		1	2000	913
Queanbeyan	55-64		1	2005	48
Queanbeyan	55-64		1	2010	18
Queanbeyan	55-64		1	2012	3
Queanbeyan	55-64		1	2013	4
