SA3_NAME16	BornAust	persons
Queanbeyan	0	9846
Queanbeyan	1	43014
Snowy Mountains	0	2493
Snowy Mountains	1	14974
South Coast	0	8851
South Coast	1	55451
Goulburn - Mulwaree	0	3288
Goulburn - Mulwaree	1	29448
Young - Yass	0	2928
Young - Yass	1	30228
Gosford	0	28810
Gosford	1	129785
Wyong	0	19241
Wyong	1	128598
Bathurst	0	4045
Bathurst	1	38707
Lachlan Valley	0	2797
Lachlan Valley	1	46724
Lithgow - Mudgee	0	3848
Lithgow - Mudgee	1	37385
Orange	0	4850
Orange	1	48435
Clarence Valley	0	3788
Clarence Valley	1	42103
Coffs Harbour	0	11678
Coffs Harbour	1	67664
Bourke - Cobar - Coonamble	0	1366
Bourke - Cobar - Coonamble	1	19316
Broken Hill and Far West	0	909
Broken Hill and Far West	1	17376
Dubbo	0	4522
Dubbo	1	58423
Lower Hunter	0	5755
Lower Hunter	1	74794
Maitland	0	5922
Maitland	1	64305
Port Stephens	0	8036
Port Stephens	1	57604
Upper Hunter	0	2323
Upper Hunter	1	25156
Dapto - Port Kembla	0	15671
Dapto - Port Kembla	1	55256
Illawarra Catchment Reserve	1	3
Kiama - Shellharbour	0	14353
Kiama - Shellharbour	1	69936
Wollongong	0	28251
Wollongong	1	92707
Great Lakes	0	3157
Great Lakes	1	25416
Kempsey - Nambucca	0	3815
Kempsey - Nambucca	1	39613
Lord Howe Island	0	60
Lord Howe Island	1	287
Port Macquarie	0	8960
Port Macquarie	1	63879
Taree - Gloucester	0	4551
Taree - Gloucester	1	44808
Albury	0	6145
Albury	1	50374
Lower Murray	0	738
Lower Murray	1	10276
Upper Murray exc. Albury	0	2918
Upper Murray exc. Albury	1	34660
Armidale	0	4126
Armidale	1	29801
Inverell - Tenterfield	0	2386
Inverell - Tenterfield	1	31786
Moree - Narrabri	0	1231
Moree - Narrabri	1	21028
Tamworth - Gunnedah	0	4997
Tamworth - Gunnedah	1	68292
Lake Macquarie - East	0	11575
Lake Macquarie - East	1	102871
Lake Macquarie - West	0	7886
Lake Macquarie - West	1	63556
Newcastle	0	22471
Newcastle	1	133460
Richmond Valley - Coastal	0	10558
Richmond Valley - Coastal	1	59678
Richmond Valley - Hinterland	0	5878
Richmond Valley - Hinterland	1	57784
Tweed Valley	0	13348
Tweed Valley	1	70497
Griffith - Murrumbidgee (West)	0	6402
Griffith - Murrumbidgee (West)	1	36556
Tumut - Tumbarumba	0	1211
Tumut - Tumbarumba	1	11736
Wagga Wagga	0	7528
Wagga Wagga	1	78907
Shoalhaven	0	12759
Shoalhaven	1	78609
Southern Highlands	0	7606
Southern Highlands	1	36885
Baulkham Hills	0	55973
Baulkham Hills	1	83642
Dural - Wisemans Ferry	0	5629
Dural - Wisemans Ferry	1	19281
Hawkesbury	0	2785
Hawkesbury	1	19981
Rouse Hill - McGraths Hill	0	8566
Rouse Hill - McGraths Hill	1	23303
Blacktown	0	57716
Blacktown	1	70076
Blacktown - North	0	36460
Blacktown - North	1	52649
Mount Druitt	0	43593
Mount Druitt	1	60504
Botany	0	20695
Botany	1	22699
Marrickville - Sydenham - Petersham	0	18106
Marrickville - Sydenham - Petersham	1	32078
Sydney Inner City	0	101370
Sydney Inner City	1	85971
Eastern Suburbs - North	0	45365
Eastern Suburbs - North	1	68093
Eastern Suburbs - South	0	57596
Eastern Suburbs - South	1	72374
Bankstown	0	66789
Bankstown	1	93909
Canterbury	0	67640
Canterbury	1	58709
Hurstville	0	57806
Hurstville	1	63403
Kogarah - Rockdale	0	65119
Kogarah - Rockdale	1	63538
Canada Bay	0	33598
Canada Bay	1	46493
Leichhardt	0	15689
Leichhardt	1	35911
Strathfield - Burwood - Ashfield	0	75932
Strathfield - Burwood - Ashfield	1	66316
Chatswood - Lane Cove	0	47964
Chatswood - Lane Cove	1	58601
Hornsby	0	30131
Hornsby	1	47504
Ku-ring-gai	0	46037
Ku-ring-gai	1	67912
North Sydney - Mosman	0	34090
North Sydney - Mosman	1	52929
Manly	0	14408
Manly	1	24874
Pittwater	0	14066
Pittwater	1	43428
Warringah	0	44606
Warringah	1	98191
Camden	0	9863
Camden	1	50203
Campbelltown (NSW)	0	49649
Campbelltown (NSW)	1	98186
Wollondilly	0	4909
Wollondilly	1	33580
Blue Mountains	0	12923
Blue Mountains	1	59916
Blue Mountains - South	0	3
Penrith	0	27148
Penrith	1	104815
Richmond - Windsor	0	4913
Richmond - Windsor	1	29300
St Marys	0	14489
St Marys	1	35867
Auburn	0	53896
Auburn	1	30080
Carlingford	0	29922
Carlingford	1	33844
Merrylands - Guildford	0	67683
Merrylands - Guildford	1	73491
Parramatta	0	73699
Parramatta	1	58196
Pennant Hills - Epping	0	21135
Pennant Hills - Epping	1	25084
Ryde - Hunters Hill	0	60966
Ryde - Hunters Hill	1	67440
Bringelly - Green Valley	0	37933
Bringelly - Green Valley	1	57637
Fairfield	0	100141
Fairfield	1	75730
Liverpool	0	49040
Liverpool	1	58835
Cronulla - Miranda - Caringbah	0	20620
Cronulla - Miranda - Caringbah	1	83554
Sutherland - Menai - Heathcote	0	18762
Sutherland - Menai - Heathcote	1	85657
Migratory - Offshore - Shipping (NSW)	0	142
Migratory - Offshore - Shipping (NSW)	1	232
No usual address (NSW)	0	3012
No usual address (NSW)	1	7028
Ballarat	0	9811
Ballarat	1	86934
Creswick - Daylesford - Ballan	0	3465
Creswick - Daylesford - Ballan	1	22083
Maryborough - Pyrenees	0	2344
Maryborough - Pyrenees	1	20728
Bendigo	0	7565
Bendigo	1	79897
Heathcote - Castlemaine - Kyneton	0	5345
