SA3_NAME16	CountryOfBirth	persons
Queanbeyan		5702
Queanbeyan	AFG	12
Queanbeyan	AUS	43014
Queanbeyan	BGD	166
Queanbeyan	BIH	33
Queanbeyan	CAN	117
Queanbeyan	CHL	44
Queanbeyan	CHN	210
Queanbeyan	DEU	295
Queanbeyan	EGY	48
Queanbeyan	FJI	123
Queanbeyan	FRA	62
Queanbeyan	GBR	2058
Queanbeyan	GRC	136
Queanbeyan	HKG	43
Queanbeyan	HRV	170
Queanbeyan	IDN	85
Queanbeyan	IND	848
Queanbeyan	IRL	104
Queanbeyan	IRN	36
Queanbeyan	IRQ	21
Queanbeyan	ITA	396
Queanbeyan	JPN	32
Queanbeyan	KHM	19
Queanbeyan	KOR	50
Queanbeyan	LBN	27
Queanbeyan	LKA	100
Queanbeyan	MKD	526
Queanbeyan	MLT	80
Queanbeyan	MMR	28
Queanbeyan	MUS	12
Queanbeyan	MYS	118
Queanbeyan	NLD	123
Queanbeyan	NPL	134
Queanbeyan	NZL	796
Queanbeyan	PAK	98
Queanbeyan	PHL	456
Queanbeyan	PNG	75
Queanbeyan	POL	92
Queanbeyan	SGP	50
Queanbeyan	THA	90
Queanbeyan	TUR	19
Queanbeyan	TWN	14
Queanbeyan	USA	305
Queanbeyan	VNM	86
Queanbeyan	ZAF	206
Queanbeyan	ZWE	49
Snowy Mountains		2253
Snowy Mountains	AUS	14974
Snowy Mountains	BIH	3
Snowy Mountains	CAN	58
Snowy Mountains	CHL	3
Snowy Mountains	CHN	48
Snowy Mountains	DEU	187
Snowy Mountains	EGY	4
Snowy Mountains	FJI	14
Snowy Mountains	FRA	28
Snowy Mountains	GBR	755
Snowy Mountains	GRC	20
Snowy Mountains	HKG	31
Snowy Mountains	HRV	17
Snowy Mountains	IDN	28
Snowy Mountains	IND	32
Snowy Mountains	IRL	34
Snowy Mountains	IRN	3
Snowy Mountains	ITA	84
Snowy Mountains	JPN	11
Snowy Mountains	KOR	20
Snowy Mountains	LBN	19
Snowy Mountains	LKA	23
Snowy Mountains	MKD	10
Snowy Mountains	MLT	6
Snowy Mountains	MMR	3
Snowy Mountains	MYS	20
Snowy Mountains	NLD	81
Snowy Mountains	NZL	260
Snowy Mountains	PAK	8
Snowy Mountains	PHL	37
Snowy Mountains	PNG	13
Snowy Mountains	POL	29
Snowy Mountains	SGP	10
Snowy Mountains	THA	45
Snowy Mountains	TUR	12
Snowy Mountains	TWN	48
Snowy Mountains	USA	72
Snowy Mountains	VNM	20
Snowy Mountains	ZAF	44
Snowy Mountains	ZWE	6
South Coast		7231
South Coast	AUS	55451
South Coast	BGD	11
South Coast	BIH	11
South Coast	CAN	125
South Coast	CHL	43
South Coast	CHN	76
South Coast	DEU	557
South Coast	EGY	29
South Coast	FJI	32
South Coast	FRA	63
South Coast	GBR	3828
