SA3_NAME16	FamilyComposition	families_with_children
Queanbeyan	Blended family with no other children present	329
Queanbeyan	Blended family with other children present	4
Queanbeyan	Intact family with no other children present	6302
Queanbeyan	Intact family with other children present	61
Queanbeyan	Other couple family with other children only	43
Queanbeyan	Step family with no other children present	510
Queanbeyan	Step family with other children present	4
Snowy Mountains	Blended family with no other children present	87
Snowy Mountains	Intact family with no other children present	1626
Snowy Mountains	Intact family with other children present	6
Snowy Mountains	Other couple family with other children only	10
Snowy Mountains	Step family with no other children present	120
South Coast	Blended family with no other children present	307
South Coast	Blended family with other children present	4
South Coast	Intact family with no other children present	4754
South Coast	Intact family with other children present	71
South Coast	Other couple family with other children only	66
South Coast	Step family with no other children present	502
South Coast	Step family with other children present	11
Goulburn - Mulwaree	Blended family with no other children present	202
Goulburn - Mulwaree	Blended family with other children present	3
Goulburn - Mulwaree	Intact family with no other children present	3025
Goulburn - Mulwaree	Intact family with other children present	35
Goulburn - Mulwaree	Other couple family with other children only	22
Goulburn - Mulwaree	Step family with no other children present	275
Goulburn - Mulwaree	Step family with other children present	9
Young - Yass	Blended family with no other children present	193
Young - Yass	Intact family with no other children present	3470
Young - Yass	Intact family with other children present	39
Young - Yass	Other couple family with other children only	27
Young - Yass	Step family with no other children present	276
Gosford	Blended family with no other children present	807
Gosford	Blended family with other children present	11
Gosford	Intact family with no other children present	16841
Gosford	Intact family with other children present	161
Gosford	Other couple family with other children only	121
Gosford	Step family with no other children present	1400
Gosford	Step family with other children present	22
Wyong	Blended family with no other children present	1071
Wyong	Blended family with other children present	20
Wyong	Intact family with no other children present	13915
Wyong	Intact family with other children present	224
Wyong	Other couple family with other children only	139
Wyong	Step family with no other children present	1528
Wyong	Step family with other children present	44
Bathurst	Blended family with no other children present	264
Bathurst	Blended family with other children present	4
Bathurst	Intact family with no other children present	4097
Bathurst	Intact family with other children present	48
Bathurst	Other couple family with other children only	31
Bathurst	Step family with no other children present	355
Bathurst	Step family with other children present	5
Lachlan Valley	Blended family with no other children present	272
Lachlan Valley	Blended family with other children present	8
Lachlan Valley	Intact family with no other children present	4544
Lachlan Valley	Intact family with other children present	58
Lachlan Valley	Other couple family with other children only	54
Lachlan Valley	Step family with no other children present	299
Lachlan Valley	Step family with other children present	10
Lithgow - Mudgee	Blended family with no other children present	259
Lithgow - Mudgee	Blended family with other children present	6
Lithgow - Mudgee	Intact family with no other children present	3836
Lithgow - Mudgee	Intact family with other children present	56
Lithgow - Mudgee	Other couple family with other children only	70
Lithgow - Mudgee	Step family with no other children present	314
Lithgow - Mudgee	Step family with other children present	3
Orange	Blended family with no other children present	318
Orange	Blended family with other children present	5
Orange	Intact family with no other children present	5506
Orange	Intact family with other children present	57
Orange	Other couple family with other children only	54
Orange	Step family with no other children present	438
Orange	Step family with other children present	11
Clarence Valley	Blended family with no other children present	276
Clarence Valley	Blended family with other children present	5
Clarence Valley	Intact family with no other children present	3563
Clarence Valley	Intact family with other children present	87
Clarence Valley	Other couple family with other children only	46
Clarence Valley	Step family with no other children present	326
Clarence Valley	Step family with other children present	9
Coffs Harbour	Blended family with no other children present	407
Coffs Harbour	Blended family with other children present	6
Coffs Harbour	Intact family with no other children present	7068
Coffs Harbour	Intact family with other children present	115
Coffs Harbour	Other couple family with other children only	58
Coffs Harbour	Step family with no other children present	674
Coffs Harbour	Step family with other children present	10
Bourke - Cobar - Coonamble	Blended family with no other children present	116
Bourke - Cobar - Coonamble	Blended family with other children present	3
Bourke - Cobar - Coonamble	Intact family with no other children present	1663
Bourke - Cobar - Coonamble	Intact family with other children present	46
Bourke - Cobar - Coonamble	Other couple family with other children only	43
Bourke - Cobar - Coonamble	Step family with no other children present	117
Bourke - Cobar - Coonamble	Step family with other children present	7
Broken Hill and Far West	Blended family with no other children present	114
Broken Hill and Far West	Intact family with no other children present	1390
Broken Hill and Far West	Intact family with other children present	16
Broken Hill and Far West	Other couple family with other children only	19
Broken Hill and Far West	Step family with no other children present	139
Broken Hill and Far West	Step family with other children present	10
Dubbo	Blended family with no other children present	335
Dubbo	Blended family with other children present	8
Dubbo	Intact family with no other children present	5809
Dubbo	Intact family with other children present	102
Dubbo	Other couple family with other children only	82
Dubbo	Step family with no other children present	428
Dubbo	Step family with other children present	16
Lower Hunter	Blended family with no other children present	561
Lower Hunter	Blended family with other children present	14
Lower Hunter	Intact family with no other children present	8126
Lower Hunter	Intact family with other children present	140
Lower Hunter	Other couple family with other children only	104
Lower Hunter	Step family with no other children present	780
Lower Hunter	Step family with other children present	28
Maitland	Blended family with no other children present	522
Maitland	Blended family with other children present	9
Maitland	Intact family with no other children present	7817
Maitland	Intact family with other children present	93
Maitland	Other couple family with other children only	65
Maitland	Step family with no other children present	701
Maitland	Step family with other children present	16
Port Stephens	Blended family with no other children present	384
Port Stephens	Blended family with other children present	3
Port Stephens	Intact family with no other children present	6121
Port Stephens	Intact family with other children present	94
Port Stephens	Other couple family with other children only	72
Port Stephens	Step family with no other children present	573
Port Stephens	Step family with other children present	16
Upper Hunter	Blended family with no other children present	171
Upper Hunter	Intact family with no other children present	2763
Upper Hunter	Intact family with other children present	31
Upper Hunter	Other couple family with other children only	29
Upper Hunter	Step family with no other children present	223
Upper Hunter	Step family with other children present	5
Dapto - Port Kembla	Blended family with no other children present	437
Dapto - Port Kembla	Blended family with other children present	6
Dapto - Port Kembla	Intact family with no other children present	7786
Dapto - Port Kembla	Intact family with other children present	94
Dapto - Port Kembla	Other couple family with other children only	58
Dapto - Port Kembla	Step family with no other children present	676
Dapto - Port Kembla	Step family with other children present	17
Kiama - Shellharbour	Blended family with no other children present	543
Kiama - Shellharbour	Blended family with other children present	4
Kiama - Shellharbour	Intact family with no other children present	9399
Kiama - Shellharbour	Intact family with other children present	141
Kiama - Shellharbour	Other couple family with other children only	85
Kiama - Shellharbour	Step family with no other children present	829
Kiama - Shellharbour	Step family with other children present	23
Wollongong	Blended family with no other children present	450
Wollongong	Blended family with other children present	4
Wollongong	Intact family with no other children present	13201
Wollongong	Intact family with other children present	102
Wollongong	Other couple family with other children only	57
Wollongong	Step family with no other children present	796
Wollongong	Step family with other children present	7
Great Lakes	Blended family with no other children present	114
Great Lakes	Intact family with no other children present	1957
Great Lakes	Intact family with other children present	34
Great Lakes	Other couple family with other children only	38
Great Lakes	Step family with no other children present	210
Great Lakes	Step family with other children present	3
Kempsey - Nambucca	Blended family with no other children present	232
Kempsey - Nambucca	Blended family with other children present	8
Kempsey - Nambucca	Intact family with no other children present	3175
Kempsey - Nambucca	Intact family with other children present	67
Kempsey - Nambucca	Other couple family with other children only	44
Kempsey - Nambucca	Step family with no other children present	299
Kempsey - Nambucca	Step family with other children present	7
Lord Howe Island	Intact family with no other children present	30
Lord Howe Island	Step family with no other children present	3
Port Macquarie	Blended family with no other children present	361
Port Macquarie	Blended family with other children present	4
Port Macquarie	Intact family with no other children present	6084
Port Macquarie	Intact family with other children present	87
Port Macquarie	Other couple family with other children only	52
Port Macquarie	Step family with no other children present	587
Port Macquarie	Step family with other children present	13
Taree - Gloucester	Blended family with no other children present	256
Taree - Gloucester	Blended family with other children present	14
Taree - Gloucester	Intact family with no other children present	3862
Taree - Gloucester	Intact family with other children present	75
Taree - Gloucester	Other couple family with other children only	88
Taree - Gloucester	Step family with no other children present	383
Taree - Gloucester	Step family with other children present	12
Albury	Blended family with no other children present	283
Albury	Blended family with other children present	6
Albury	Intact family with no other children present	5464
Albury	Intact family with other children present	62
Albury	Other couple family with other children only	45
Albury	Step family with no other children present	427
Albury	Step family with other children present	9
Lower Murray	Blended family with no other children present	54
Lower Murray	Intact family with no other children present	1069
Lower Murray	Intact family with other children present	17
Lower Murray	Other couple family with other children only	24
Lower Murray	Step family with no other children present	75
Upper Murray exc. Albury	Blended family with no other children present	190
Upper Murray exc. Albury	Intact family with no other children present	3328
Upper Murray exc. Albury	Intact family with other children present	33
Upper Murray exc. Albury	Other couple family with other children only	40
Upper Murray exc. Albury	Step family with no other children present	239
Armidale	Blended family with no other children present	139
Armidale	Blended family with other children present	7
Armidale	Intact family with no other children present	3060
Armidale	Intact family with other children present	29
Armidale	Other couple family with other children only	35
Armidale	Step family with no other children present	209
Armidale	Step family with other children present	5
Inverell - Tenterfield	Blended family with no other children present	188
Inverell - Tenterfield	Blended family with other children present	8
Inverell - Tenterfield	Intact family with no other children present	2784
Inverell - Tenterfield	Intact family with other children present	43
Inverell - Tenterfield	Other couple family with other children only	45
Inverell - Tenterfield	Step family with no other children present	252
Inverell - Tenterfield	Step family with other children present	4
Moree - Narrabri	Blended family with no other children present	111
Moree - Narrabri	Blended family with other children present	4
Moree - Narrabri	Intact family with no other children present	2184
Moree - Narrabri	Intact family with other children present	34
Moree - Narrabri	Other couple family with other children only	40
Moree - Narrabri	Step family with no other children present	121
Moree - Narrabri	Step family with other children present	4
Tamworth - Gunnedah	Blended family with no other children present	398
Tamworth - Gunnedah	Blended family with other children present	13
Tamworth - Gunnedah	Intact family with no other children present	6866
Tamworth - Gunnedah	Intact family with other children present	93
Tamworth - Gunnedah	Other couple family with other children only	73
Tamworth - Gunnedah	Step family with no other children present	602
Tamworth - Gunnedah	Step family with other children present	15
Lake Macquarie - East	Blended family with no other children present	559
Lake Macquarie - East	Blended family with other children present	12
Lake Macquarie - East	Intact family with no other children present	12324
Lake Macquarie - East	Intact family with other children present	152
Lake Macquarie - East	Other couple family with other children only	90
Lake Macquarie - East	Step family with no other children present	1073
Lake Macquarie - East	Step family with other children present	27
Lake Macquarie - West	Blended family with no other children present	465
Lake Macquarie - West	Blended family with other children present	13
Lake Macquarie - West	Intact family with no other children present	7116
Lake Macquarie - West	Intact family with other children present	109
Lake Macquarie - West	Other couple family with other children only	81
Lake Macquarie - West	Step family with no other children present	751
Lake Macquarie - West	Step family with other children present	22
Newcastle	Blended family with no other children present	658
Newcastle	Blended family with other children present	4
Newcastle	Intact family with no other children present	14852
Newcastle	Intact family with other children present	148
Newcastle	Other couple family with other children only	95
Newcastle	Step family with no other children present	1154
Newcastle	Step family with other children present	26
Richmond Valley - Coastal	Blended family with no other children present	281
Richmond Valley - Coastal	Blended family with other children present	3
Richmond Valley - Coastal	Intact family with no other children present	6461
Richmond Valley - Coastal	Intact family with other children present	61
Richmond Valley - Coastal	Other couple family with other children only	51
Richmond Valley - Coastal	Step family with no other children present	508
Richmond Valley - Coastal	Step family with other children present	6
Richmond Valley - Hinterland	Blended family with no other children present	326
Richmond Valley - Hinterland	Blended family with other children present	8
Richmond Valley - Hinterland	Intact family with no other children present	5436
Richmond Valley - Hinterland	Intact family with other children present	97
Richmond Valley - Hinterland	Other couple family with other children only	78
Richmond Valley - Hinterland	Step family with no other children present	515
