SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Queanbeyan	0	1	5265
Queanbeyan	0	2	402
Queanbeyan	0	3	63
Queanbeyan	0	4	10
Queanbeyan	0	5	3
Queanbeyan	1	2	6111
Queanbeyan	1	3	3217
Queanbeyan	1	4	3353
Queanbeyan	1	5	1455
Queanbeyan	1	6	573
Snowy Mountains	0	1	2242
Snowy Mountains	0	2	190
Snowy Mountains	0	3	37
Snowy Mountains	0	4	17
Snowy Mountains	0	5	7
Snowy Mountains	0	6	4
Snowy Mountains	1	2	2511
Snowy Mountains	1	3	909
Snowy Mountains	1	4	850
Snowy Mountains	1	5	355
Snowy Mountains	1	6	134
South Coast	0	1	8689
South Coast	0	2	622
South Coast	0	3	52
South Coast	0	4	15
South Coast	0	5	7
South Coast	1	2	11376
South Coast	1	3	3199
South Coast	1	4	2601
South Coast	1	5	1132
South Coast	1	6	615
Goulburn - Mulwaree	0	1	3872
Goulburn - Mulwaree	0	2	255
Goulburn - Mulwaree	0	3	31
Goulburn - Mulwaree	0	4	5
Goulburn - Mulwaree	0	5	8
Goulburn - Mulwaree	0	6	7
Goulburn - Mulwaree	1	2	4456
Goulburn - Mulwaree	1	3	1783
Goulburn - Mulwaree	1	4	1596
Goulburn - Mulwaree	1	5	761
Goulburn - Mulwaree	1	6	403
Young - Yass	0	1	3378
Young - Yass	0	2	264
Young - Yass	0	3	25
Young - Yass	0	4	8
Young - Yass	1	2	4557
Young - Yass	1	3	1722
Young - Yass	1	4	1812
Young - Yass	1	5	926
Young - Yass	1	6	408
Gosford	0	1	16969
Gosford	0	2	1571
Gosford	0	3	254
Gosford	0	4	64
Gosford	0	5	27
Gosford	0	6	14
Gosford	1	2	19760
Gosford	1	3	9274
Gosford	1	4	9539
Gosford	1	5	3963
Gosford	1	6	1770
Wyong	0	1	14989
Wyong	0	2	1532
Wyong	0	3	172
Wyong	0	4	59
Wyong	0	5	22
Wyong	0	6	4
Wyong	1	2	18162
Wyong	1	3	8484
Wyong	1	4	8466
Wyong	1	5	3972
Wyong	1	6	1993
Bathurst	0	1	4394
Bathurst	0	2	490
Bathurst	0	3	93
Bathurst	0	4	43
Bathurst	0	5	10
Bathurst	0	6	3
Bathurst	1	2	5141
Bathurst	1	3	2271
Bathurst	1	4	2286
Bathurst	1	5	1041
Bathurst	1	6	502
Lachlan Valley	0	1	6268
Lachlan Valley	0	2	355
Lachlan Valley	0	3	41
Lachlan Valley	0	4	9
Lachlan Valley	0	5	3
Lachlan Valley	1	2	7155
Lachlan Valley	1	3	2572
Lachlan Valley	1	4	2220
Lachlan Valley	1	5	1300
Lachlan Valley	1	6	655
Lithgow - Mudgee	0	1	5238
Lithgow - Mudgee	0	2	400
Lithgow - Mudgee	0	3	36
Lithgow - Mudgee	0	4	8
Lithgow - Mudgee	0	5	4
Lithgow - Mudgee	1	2	5677
Lithgow - Mudgee	1	3	2273
Lithgow - Mudgee	1	4	2084
Lithgow - Mudgee	1	5	966
Lithgow - Mudgee	1	6	448
Orange	0	1	5616
Orange	0	2	450
Orange	0	3	59
Orange	0	4	36
Orange	0	5	16
Orange	0	6	3
Orange	1	2	6651
Orange	1	3	2873
Orange	1	4	2919
Orange	1	5	1468
Orange	1	6	674
Clarence Valley	0	1	5680
Clarence Valley	0	2	552
Clarence Valley	0	3	47
Clarence Valley	0	4	13
Clarence Valley	0	5	4
Clarence Valley	0	6	3
Clarence Valley	1	2	7266
Clarence Valley	1	3	2402
Clarence Valley	1	4	1950
Clarence Valley	1	5	985
Clarence Valley	1	6	555
Coffs Harbour	0	1	8773
Coffs Harbour	0	2	996
Coffs Harbour	0	3	120
Coffs Harbour	0	4	41
Coffs Harbour	0	5	16
Coffs Harbour	0	6	12
Coffs Harbour	1	2	10969
Coffs Harbour	1	3	4475
Coffs Harbour	1	4	4007
Coffs Harbour	1	5	1794
Coffs Harbour	1	6	956
Bourke - Cobar - Coonamble	0	1	2809
Bourke - Cobar - Coonamble	0	2	215
Bourke - Cobar - Coonamble	0	3	19
Bourke - Cobar - Coonamble	0	5	3
Bourke - Cobar - Coonamble	1	2	2707
Bourke - Cobar - Coonamble	1	3	1043
Bourke - Cobar - Coonamble	1	4	915
Bourke - Cobar - Coonamble	1	5	497
Bourke - Cobar - Coonamble	1	6	372
Broken Hill and Far West	0	1	2818
Broken Hill and Far West	0	2	180
Broken Hill and Far West	0	3	18
Broken Hill and Far West	1	2	2574
Broken Hill and Far West	1	3	1042
Broken Hill and Far West	1	4	817
Broken Hill and Far West	1	5	343
Broken Hill and Far West	1	6	190
Dubbo	0	1	6767
Dubbo	0	2	568
Dubbo	0	3	89
Dubbo	0	4	18
Dubbo	0	5	3
Dubbo	1	2	8060
Dubbo	1	3	3547
Dubbo	1	4	3088
Dubbo	1	5	1648
Dubbo	1	6	874
Lower Hunter	0	1	7334
Lower Hunter	0	2	665
Lower Hunter	0	3	52
Lower Hunter	0	4	17
Lower Hunter	0	5	3
Lower Hunter	1	2	9713
Lower Hunter	1	3	4792
Lower Hunter	1	4	4673
Lower Hunter	1	5	2155
Lower Hunter	1	6	1009
Maitland	0	1	5702
Maitland	0	2	525
Maitland	0	3	78
Maitland	0	4	11
Maitland	0	5	4
Maitland	1	2	8323
Maitland	1	3	4314
Maitland	1	4	4478
Maitland	1	5	1937
Maitland	1	6	870
Port Stephens	0	1	6637
Port Stephens	0	2	567
Port Stephens	0	3	64
Port Stephens	0	4	12
Port Stephens	0	5	5
Port Stephens	1	2	9706
Port Stephens	1	3	3541
Port Stephens	1	4	3431
Port Stephens	1	5	1550
Port Stephens	1	6	773
Upper Hunter	0	1	3012
Upper Hunter	0	2	264
Upper Hunter	0	3	38
Upper Hunter	0	4	6
Upper Hunter	0	5	3
Upper Hunter	1	2	3530
Upper Hunter	1	3	1541
Upper Hunter	1	4	1492
Upper Hunter	1	5	730
Upper Hunter	1	6	293
Dapto - Port Kembla	0	1	6398
Dapto - Port Kembla	0	2	489
Dapto - Port Kembla	0	3	58
Dapto - Port Kembla	0	4	19
Dapto - Port Kembla	0	5	3
Dapto - Port Kembla	1	2	8147
Dapto - Port Kembla	1	3	4290
Dapto - Port Kembla	1	4	4449
Dapto - Port Kembla	1	5	1857
Dapto - Port Kembla	1	6	1073
Kiama - Shellharbour	0	1	6518
Kiama - Shellharbour	0	2	553
Kiama - Shellharbour	0	3	61
Kiama - Shellharbour	0	4	23
