SA3_NAME16	MotorVehicles.min	occupied_private_dwellings
Queanbeyan		651
Queanbeyan	0	833
Queanbeyan	1	6317
Queanbeyan	2	7741
Queanbeyan	3	2958
Queanbeyan	4	1958
Snowy Mountains		402
Snowy Mountains	0	351
Snowy Mountains	1	2347
Snowy Mountains	2	2573
Snowy Mountains	3	1015
Snowy Mountains	4	557
South Coast		1328
South Coast	0	1328
South Coast	1	10925
South Coast	2	10355
South Coast	3	3100
South Coast	4	1281
Goulburn - Mulwaree		564
Goulburn - Mulwaree	0	863
Goulburn - Mulwaree	1	4216
Goulburn - Mulwaree	2	4605
Goulburn - Mulwaree	3	1827
Goulburn - Mulwaree	4	1097
Young - Yass		546
Young - Yass	0	533
Young - Yass	1	3696
Young - Yass	2	4893
Young - Yass	3	2144
Young - Yass	4	1288
Gosford		2273
Gosford	0	4743
Gosford	1	23289
Gosford	2	22195
Gosford	3	7006
Gosford	4	3697
Wyong		2536
Wyong	0	3645
Wyong	1	21022
Wyong	2	20221
Wyong	3	6700
Wyong	4	3722
Bathurst		627
Bathurst	0	988
Bathurst	1	5253
Bathurst	2	5923
Bathurst	3	2231
Bathurst	4	1260
Lachlan Valley		1043
Lachlan Valley	0	1262
Lachlan Valley	1	6775
Lachlan Valley	2	7246
Lachlan Valley	3	2682
Lachlan Valley	4	1569
Lithgow - Mudgee		881
Lithgow - Mudgee	0	1153
Lithgow - Mudgee	1	5566
Lithgow - Mudgee	2	6049
Lithgow - Mudgee	3	2227
Lithgow - Mudgee	4	1252
Orange		928
Orange	0	1197
Orange	1	6730
Orange	2	7813
Orange	3	2661
Orange	4	1431
Clarence Valley		873
Clarence Valley	0	1118
Clarence Valley	1	7441
Clarence Valley	2	6830
Clarence Valley	3	2170
Clarence Valley	4	1006
Coffs Harbour		1367
Coffs Harbour	0	1876
Coffs Harbour	1	12137
Coffs Harbour	2	11702
Coffs Harbour	3	3435
Coffs Harbour	4	1662
Bourke - Cobar - Coonamble		558
Bourke - Cobar - Coonamble	0	892
Bourke - Cobar - Coonamble	1	2894
Bourke - Cobar - Coonamble	2	2658
Bourke - Cobar - Coonamble	3	1030
Bourke - Cobar - Coonamble	4	552
Broken Hill and Far West		483
Broken Hill and Far West	0	792
Broken Hill and Far West	1	3189
Broken Hill and Far West	2	2438
Broken Hill and Far West	3	723
Broken Hill and Far West	4	361
Dubbo		1142
Dubbo	0	1572
Dubbo	1	8116
Dubbo	2	8790
Dubbo	3	3294
Dubbo	4	1751
Lower Hunter		1201
Lower Hunter	0	1380
Lower Hunter	1	9368
Lower Hunter	2	11518
Lower Hunter	3	4376
Lower Hunter	4	2577
Maitland		825
Maitland	0	1312
Maitland	1	8164
Maitland	2	10595
Maitland	3	3494
Maitland	4	1863
Port Stephens		1165
Port Stephens	0	1074
Port Stephens	1	9295
Port Stephens	2	9709
Port Stephens	3	3217
Port Stephens	4	1829
Upper Hunter		505
Upper Hunter	0	642
Upper Hunter	1	3522
Upper Hunter	2	4094
Upper Hunter	3	1441
Upper Hunter	4	724
Dapto - Port Kembla		1165
Dapto - Port Kembla	0	2299
Dapto - Port Kembla	1	9027
Dapto - Port Kembla	2	9173
Dapto - Port Kembla	3	3329
Dapto - Port Kembla	4	1791
Kiama - Shellharbour		1069
Kiama - Shellharbour	0	1571
Kiama - Shellharbour	1	9874
Kiama - Shellharbour	2	12068
Kiama - Shellharbour	3	4211
Kiama - Shellharbour	4	2540
Wollongong		1692
Wollongong	0	4450
Wollongong	1	17299
Wollongong	2	16351
Wollongong	3	4923
Wollongong	4	2459
Great Lakes		675
Great Lakes	0	779
Great Lakes	1	5549
Great Lakes	2	4177
Great Lakes	3	1247
Great Lakes	4	497
Kempsey - Nambucca		942
Kempsey - Nambucca	0	1141
Kempsey - Nambucca	1	7065
Kempsey - Nambucca	2	6214
Kempsey - Nambucca	3	2011
Kempsey - Nambucca	4	975
Lord Howe Island		8
Lord Howe Island	0	22
Lord Howe Island	1	81
Lord Howe Island	2	24
Lord Howe Island	4	3
Port Macquarie		1319
Port Macquarie	0	1847
Port Macquarie	1	12076
Port Macquarie	2	10972
Port Macquarie	3	3190
Port Macquarie	4	1462
Taree - Gloucester		955
Taree - Gloucester	0	1240
Taree - Gloucester	1	7851
Taree - Gloucester	2	7503
Taree - Gloucester	3	2387
Taree - Gloucester	4	1137
Albury		868
Albury	0	1638
Albury	1	8355
Albury	2	8366
Albury	3	2648
Albury	4	1265
Lower Murray		254
Lower Murray	0	303
Lower Murray	1	1273
Lower Murray	2	1703
Lower Murray	3	612
Lower Murray	4	364
Upper Murray exc. Albury		889
Upper Murray exc. Albury	0	812
Upper Murray exc. Albury	1	5547
Upper Murray exc. Albury	2	5948
Upper Murray exc. Albury	3	1960
Upper Murray exc. Albury	4	1041
Armidale		532
Armidale	0	871
Armidale	1	4667
Armidale	2	4636
Armidale	3	1598
Armidale	4	907
Inverell - Tenterfield		728
Inverell - Tenterfield	0	947
Inverell - Tenterfield	1	5102
Inverell - Tenterfield	2	4925
Inverell - Tenterfield	3	1855
Inverell - Tenterfield	4	1075
Moree - Narrabri		546
Moree - Narrabri	0	620
Moree - Narrabri	1	2713
Moree - Narrabri	2	3110
Moree - Narrabri	3	1209
Moree - Narrabri	4	719
Tamworth - Gunnedah		1438
Tamworth - Gunnedah	0	1728
Tamworth - Gunnedah	1	9802
Tamworth - Gunnedah	2	10750
Tamworth - Gunnedah	3	3772
Tamworth - Gunnedah	4	2060
Lake Macquarie - East		1440
Lake Macquarie - East	0	2902
Lake Macquarie - East	1	15019
Lake Macquarie - East	2	17413
Lake Macquarie - East	3	5566
Lake Macquarie - East	4	2803
Lake Macquarie - West		993
Lake Macquarie - West	0	1244
Lake Macquarie - West	1	8845
Lake Macquarie - West	2	10202
Lake Macquarie - West	3	3765
Lake Macquarie - West	4	2097
Newcastle		2142
Newcastle	0	5724
Newcastle	1	23787
Newcastle	2	22446
Newcastle	3	6317
Newcastle	4	2791
Richmond Valley - Coastal		1274
Richmond Valley - Coastal	0	1443
Richmond Valley - Coastal	1	10956
Richmond Valley - Coastal	2	11269
Richmond Valley - Coastal	3	3171
Richmond Valley - Coastal	4	1478
Richmond Valley - Hinterland		1121
Richmond Valley - Hinterland	0	1641
Richmond Valley - Hinterland	1	9684
Richmond Valley - Hinterland	2	9304
Richmond Valley - Hinterland	3	3034
Richmond Valley - Hinterland	4	1494
Tweed Valley		1574
Tweed Valley	0	2104
Tweed Valley	1	13777
Tweed Valley	2	12293
Tweed Valley	3	3577
Tweed Valley	4	1758
Griffith - Murrumbidgee (West)		839
Griffith - Murrumbidgee (West)	0	900
Griffith - Murrumbidgee (West)	1	5020
Griffith - Murrumbidgee (West)	2	6080
Griffith - Murrumbidgee (West)	3	2279
Griffith - Murrumbidgee (West)	4	1354
Tumut - Tumbarumba		255
Tumut - Tumbarumba	0	269
Tumut - Tumbarumba	1	1755
Tumut - Tumbarumba	2	2000
Tumut - Tumbarumba	3	745
