SA4_NAME16	Age5yr	ChildrenEverBorn	females
Capital Region	15-19		862
Capital Region	15-19	0	5201
Capital Region	15-19	1	86
Capital Region	15-19	2	13
Capital Region	15-19	3	3
Capital Region	15-19	6	3
Capital Region	20-24		477
Capital Region	20-24	0	3678
Capital Region	20-24	1	545
Capital Region	20-24	2	254
Capital Region	20-24	3	59
Capital Region	20-24	4	7
Capital Region	20-24	6	3
Capital Region	25-29		476
Capital Region	25-29	0	2675
Capital Region	25-29	1	1073
Capital Region	25-29	2	788
Capital Region	25-29	3	303
Capital Region	25-29	4	82
Capital Region	25-29	5	24
Capital Region	25-29	6	10
Capital Region	30-34		459
Capital Region	30-34	0	1647
Capital Region	30-34	1	1163
Capital Region	30-34	2	1534
Capital Region	30-34	3	721
Capital Region	30-34	4	236
Capital Region	30-34	5	76
Capital Region	30-34	6	43
Capital Region	35-39		407
Capital Region	35-39	0	998
Capital Region	35-39	1	857
Capital Region	35-39	2	1942
Capital Region	35-39	3	1144
Capital Region	35-39	4	412
Capital Region	35-39	5	122
Capital Region	35-39	6	91
Capital Region	40-44		462
Capital Region	40-44	0	963
Capital Region	40-44	1	878
Capital Region	40-44	2	2384
Capital Region	40-44	3	1489
Capital Region	40-44	4	491
Capital Region	40-44	5	168
Capital Region	40-44	6	117
Capital Region	45-49		551
Capital Region	45-49	0	1204
Capital Region	45-49	1	910
Capital Region	45-49	2	2729
Capital Region	45-49	3	1613
Capital Region	45-49	4	619
Capital Region	45-49	5	169
Capital Region	45-49	6	111
Capital Region	50-54		593
Capital Region	50-54	0	1179
Capital Region	50-54	1	951
Capital Region	50-54	2	2704
Capital Region	50-54	3	1678
Capital Region	50-54	4	680
Capital Region	50-54	5	194
Capital Region	50-54	6	123
Capital Region	55-59		624
Capital Region	55-59	0	1199
Capital Region	55-59	1	863
Capital Region	55-59	2	2733
Capital Region	55-59	3	1887
Capital Region	55-59	4	770
Capital Region	55-59	5	216
Capital Region	55-59	6	116
Capital Region	60-64		603
Capital Region	60-64	0	1064
Capital Region	60-64	1	767
Capital Region	60-64	2	2697
Capital Region	60-64	3	1825
Capital Region	60-64	4	787
Capital Region	60-64	5	223
Capital Region	60-64	6	106
Capital Region	65-69		589
Capital Region	65-69	0	772
Capital Region	65-69	1	597
Capital Region	65-69	2	2563
Capital Region	65-69	3	1726
Capital Region	65-69	4	803
Capital Region	65-69	5	235
Capital Region	65-69	6	137
Capital Region	70-74		524
Capital Region	70-74	0	518
Capital Region	70-74	1	425
Capital Region	70-74	2	1709
Capital Region	70-74	3	1372
Capital Region	70-74	4	692
Capital Region	70-74	5	245
Capital Region	70-74	6	145
Capital Region	75-79		474
Capital Region	75-79	0	305
Capital Region	75-79	1	200
Capital Region	75-79	2	968
Capital Region	75-79	3	1013
Capital Region	75-79	4	596
Capital Region	75-79	5	256
Capital Region	75-79	6	185
Capital Region	80-84		373
Capital Region	80-84	0	224
Capital Region	80-84	1	165
Capital Region	80-84	2	539
Capital Region	80-84	3	654
Capital Region	80-84	4	453
Capital Region	80-84	5	229
Capital Region	80-84	6	189
Capital Region	85+		691
Capital Region	85+	0	222
Capital Region	85+	1	227
Capital Region	85+	2	612
Capital Region	85+	3	625
Capital Region	85+	4	466
Capital Region	85+	5	208
Capital Region	85+	6	239
Central Coast	15-19		995
Central Coast	15-19	0	8686
Central Coast	15-19	1	97
Central Coast	15-19	2	20
Central Coast	15-19	3	5
Central Coast	20-24		738
Central Coast	20-24	0	6905
Central Coast	20-24	1	837
Central Coast	20-24	2	351
Central Coast	20-24	3	62
Central Coast	20-24	4	11
Central Coast	20-24	6	3
Central Coast	25-29		534
Central Coast	25-29	0	4704
Central Coast	25-29	1	1661
Central Coast	25-29	2	1285
Central Coast	25-29	3	401
Central Coast	25-29	4	86
Central Coast	25-29	5	18
Central Coast	25-29	6	13
Central Coast	30-34		493
Central Coast	30-34	0	2549
Central Coast	30-34	1	2030
Central Coast	30-34	2	2663
Central Coast	30-34	3	1132
Central Coast	30-34	4	322
Central Coast	30-34	5	87
Central Coast	30-34	6	47
Central Coast	35-39		490
Central Coast	35-39	0	1396
Central Coast	35-39	1	1446
Central Coast	35-39	2	3491
Central Coast	35-39	3	1826
Central Coast	35-39	4	605
Central Coast	35-39	5	181
Central Coast	35-39	6	94
Central Coast	40-44		565
Central Coast	40-44	0	1332
Central Coast	40-44	1	1416
Central Coast	40-44	2	4066
Central Coast	40-44	3	2245
Central Coast	40-44	4	808
Central Coast	40-44	5	246
Central Coast	40-44	6	137
Central Coast	45-49		613
Central Coast	45-49	0	1356
Central Coast	45-49	1	1456
Central Coast	45-49	2	4192
Central Coast	45-49	3	2422
Central Coast	45-49	4	876
Central Coast	45-49	5	242
Central Coast	45-49	6	164
Central Coast	50-54		621
Central Coast	50-54	0	1350
Central Coast	50-54	1	1348
Central Coast	50-54	2	4078
Central Coast	50-54	3	2542
Central Coast	50-54	4	905
Central Coast	50-54	5	270
Central Coast	50-54	6	138
Central Coast	55-59		666
Central Coast	55-59	0	1291
Central Coast	55-59	1	1340
Central Coast	55-59	2	4210
Central Coast	55-59	3	2698
Central Coast	55-59	4	972
Central Coast	55-59	5	279
Central Coast	55-59	6	151
Central Coast	60-64		615
Central Coast	60-64	0	1137
Central Coast	60-64	1	1122
Central Coast	60-64	2	3957
Central Coast	60-64	3	2583
Central Coast	60-64	4	924
Central Coast	60-64	5	238
Central Coast	60-64	6	123
