SA4_NAME16	Age	MaritalStatus	Registered	adults
Capital Region	15-19	Married	0	219
Capital Region	15-19	Married	1	6
Capital Region	15-19	Never married		10989
Capital Region	20-24	Married	0	1712
Capital Region	20-24	Married	1	439
Capital Region	20-24	Never married		6415
Capital Region	25-34	Married	0	4430
Capital Region	25-34	Married	1	7517
Capital Region	25-34	Never married		7193
Capital Region	35-44	Married	0	3441
Capital Region	35-44	Married	1	13289
Capital Region	35-44	Never married		5683
Capital Region	45-54	Married	0	3697
Capital Region	45-54	Married	1	16227
Capital Region	45-54	Never married		7804
Capital Region	55-64	Married	0	2777
Capital Region	55-64	Married	1	17341
Capital Region	55-64	Never married		8230
Capital Region	65-74	Married	0	1333
Capital Region	65-74	Married	1	14611
Capital Region	65-74	Never married		6625
Capital Region	75-84	Married	0	339
Capital Region	75-84	Married	1	6136
Capital Region	75-84	Never married		4550
Capital Region	85+	Married	0	54
Capital Region	85+	Married	1	1129
Capital Region	85+	Never married		2354
Central Coast	15-19	Married	0	210
Central Coast	15-19	Married	1	16
Central Coast	15-19	Never married		18214
Central Coast	20-24	Married	0	2302
Central Coast	20-24	Married	1	596
Central Coast	20-24	Never married		13210
Central Coast	25-34	Married	0	7046
Central Coast	25-34	Married	1	12139
Central Coast	25-34	Never married		12728
Central Coast	35-44	Married	0	5380
Central Coast	35-44	Married	1	20944
Central Coast	35-44	Never married		9902
Central Coast	45-54	Married	0	4840
Central Coast	45-54	Married	1	22695
Central Coast	45-54	Never married		12508
Central Coast	55-64	Married	0	3111
Central Coast	55-64	Married	1	22788
Central Coast	55-64	Never married		12417
Central Coast	65-74	Married	0	1609
Central Coast	65-74	Married	1	19735
Central Coast	65-74	Never married		11096
Central Coast	75-84	Married	0	482
Central Coast	75-84	Married	1	10137
Central Coast	75-84	Never married		8236
Central Coast	85+	Married	0	110
Central Coast	85+	Married	1	2375
Central Coast	85+	Never married		4859
Central West	15-19	Married	0	267
Central West	15-19	Married	1	8
Central West	15-19	Never married		10559
Central West	20-24	Married	0	2048
Central West	20-24	Married	1	516
Central West	20-24	Never married		6412
Central West	25-34	Married	0	4525
Central West	25-34	Married	1	8020
Central West	25-34	Never married		7139
Central West	35-44	Married	0	2833
Central West	35-44	Married	1	12273
Central West	35-44	Never married		5479
Central West	45-54	Married	0	2703
Central West	45-54	Married	1	13984
Central West	45-54	Never married		6938
Central West	55-64	Married	0	1702
Central West	55-64	Married	1	14530
Central West	55-64	Never married		6922
Central West	65-74	Married	0	921
Central West	65-74	Married	1	11822
Central West	65-74	Never married		6233
Central West	75-84	Married	0	225
Central West	75-84	Married	1	5451
Central West	75-84	Never married		4670
Central West	85+	Married	0	33
Central West	85+	Married	1	1075
Central West	85+	Never married		2270
Coffs Harbour - Grafton	15-19	Married	0	120
Coffs Harbour - Grafton	15-19	Married	1	12
Coffs Harbour - Grafton	15-19	Never married		7022
Coffs Harbour - Grafton	20-24	Married	0	925
Coffs Harbour - Grafton	20-24	Married	1	265
Coffs Harbour - Grafton	20-24	Never married		3932
Coffs Harbour - Grafton	25-34	Married	0	2491
Coffs Harbour - Grafton	25-34	Married	1	4017
Coffs Harbour - Grafton	25-34	Never married		4598
Coffs Harbour - Grafton	35-44	Married	0	2180
Coffs Harbour - Grafton	35-44	Married	1	6861
Coffs Harbour - Grafton	35-44	Never married		4063
Coffs Harbour - Grafton	45-54	Married	0	2206
Coffs Harbour - Grafton	45-54	Married	1	8708
Coffs Harbour - Grafton	45-54	Never married		5267
Coffs Harbour - Grafton	55-64	Married	0	1925
Coffs Harbour - Grafton	55-64	Married	1	10544
Coffs Harbour - Grafton	55-64	Never married		6127
Coffs Harbour - Grafton	65-74	Married	0	977
Coffs Harbour - Grafton	65-74	Married	1	9537
Coffs Harbour - Grafton	65-74	Never married		4771
Coffs Harbour - Grafton	75-84	Married	0	255
Coffs Harbour - Grafton	75-84	Married	1	4634
Coffs Harbour - Grafton	75-84	Never married		3424
Coffs Harbour - Grafton	85+	Married	0	38
Coffs Harbour - Grafton	85+	Married	1	973
Coffs Harbour - Grafton	85+	Never married		1765
Far West and Orana	15-19	Married	0	127
Far West and Orana	15-19	Married	1	4
Far West and Orana	15-19	Never married		5350
Far West and Orana	20-24	Married	0	1239
Far West and Orana	20-24	Married	1	253
Far West and Orana	20-24	Never married		3625
Far West and Orana	25-34	Married	0	2651
Far West and Orana	25-34	Married	1	4176
Far West and Orana	25-34	Never married		4685
Far West and Orana	35-44	Married	0	1663
Far West and Orana	35-44	Married	1	5756
Far West and Orana	35-44	Never married		3335
Far West and Orana	45-54	Married	0	1601
Far West and Orana	45-54	Married	1	6787
Far West and Orana	45-54	Never married		4254
Far West and Orana	55-64	Married	0	1091
Far West and Orana	55-64	Married	1	7523
Far West and Orana	55-64	Never married		4347
Far West and Orana	65-74	Married	0	474
Far West and Orana	65-74	Married	1	5853
Far West and Orana	65-74	Never married		3560
Far West and Orana	75-84	Married	0	121
Far West and Orana	75-84	Married	1	2809
Far West and Orana	75-84	Never married		2594
Far West and Orana	85+	Married	0	21
Far West and Orana	85+	Married	1	562
Far West and Orana	85+	Never married		1169
Hunter Valley exc Newcastle	15-19	Married	0	283
Hunter Valley exc Newcastle	15-19	Married	1	5
Hunter Valley exc Newcastle	15-19	Never married		14485
Hunter Valley exc Newcastle	20-24	Married	0	2711
Hunter Valley exc Newcastle	20-24	Married	1	648
Hunter Valley exc Newcastle	20-24	Never married		9486
Hunter Valley exc Newcastle	25-34	Married	0	6547
Hunter Valley exc Newcastle	25-34	Married	1	11319
Hunter Valley exc Newcastle	25-34	Never married		9636
Hunter Valley exc Newcastle	35-44	Married	0	4340
Hunter Valley exc Newcastle	35-44	Married	1	17089
Hunter Valley exc Newcastle	35-44	Never married		7684
Hunter Valley exc Newcastle	45-54	Married	0	3665
Hunter Valley exc Newcastle	45-54	Married	1	18670
Hunter Valley exc Newcastle	45-54	Never married		8877
Hunter Valley exc Newcastle	55-64	Married	0	2279
Hunter Valley exc Newcastle	55-64	Married	1	19131
Hunter Valley exc Newcastle	55-64	Never married		8257
Hunter Valley exc Newcastle	65-74	Married	0	1096
Hunter Valley exc Newcastle	65-74	Married	1	15685
Hunter Valley exc Newcastle	65-74	Never married		6888
Hunter Valley exc Newcastle	75-84	Married	0	234
Hunter Valley exc Newcastle	75-84	Married	1	6605
Hunter Valley exc Newcastle	75-84	Never married		4762
Hunter Valley exc Newcastle	85+	Married	0	57
Hunter Valley exc Newcastle	85+	Married	1	1118
Hunter Valley exc Newcastle	85+	Never married		2375
Illawarra	15-19	Married	0	234
Illawarra	15-19	Married	1	13
Illawarra	15-19	Never married		16988
Illawarra	20-24	Married	0	2099
Illawarra	20-24	Married	1	635
Illawarra	20-24	Never married		15513
Illawarra	25-34	Married	0	6193
Illawarra	25-34	Married	1	12715
Illawarra	25-34	Never married		13381
Illawarra	35-44	Married	0	4215
Illawarra	35-44	Married	1	21253
Illawarra	35-44	Never married		8586
Illawarra	45-54	Married	0	3552
Illawarra	45-54	Married	1	21726
Illawarra	45-54	Never married		10257
Illawarra	55-64	Married	0	2307
Illawarra	55-64	Married	1	20900
Illawarra	55-64	Never married		9591
Illawarra	65-74	Married	0	979
Illawarra	65-74	Married	1	16493
Illawarra	65-74	Never married		7314
Illawarra	75-84	Married	0	325
Illawarra	75-84	Married	1	8447
Illawarra	75-84	Never married		6014
Illawarra	85+	Married	0	50
Illawarra	85+	Married	1	1780
Illawarra	85+	Never married		3387
Mid North Coast	15-19	Married	0	170
Mid North Coast	15-19	Married	1	6
Mid North Coast	15-19	Never married		10342
Mid North Coast	20-24	Married	0	1391
Mid North Coast	20-24	Married	1	352
Mid North Coast	20-24	Never married		5382
Mid North Coast	25-34	Married	0	3291
Mid North Coast	25-34	Married	1	5276
