SA4_NAME16	Ancestry	responses
Capital Region		17577
Capital Region	Australian	90817
Capital Region	Australian Aboriginal	1012
Capital Region	Chinese	1758
Capital Region	Croatian	1188
Capital Region	Dutch	3407
Capital Region	English	88142
Capital Region	Filipino	1207
Capital Region	French	1158
Capital Region	German	9518
Capital Region	Greek	1330
Capital Region	Hungarian	710
Capital Region	Indian	1571
Capital Region	Irish	28964
Capital Region	Italian	5027
Capital Region	Korean	216
Capital Region	Lebanese	633
Capital Region	Macedonian	1322
Capital Region	Maltese	1083
Capital Region	Maori	691
Capital Region	NZ	1305
Capital Region	(Other)	11047
Capital Region	Polish	1328
Capital Region	Russian	554
Capital Region	Scottish	23018
Capital Region	Serbian	606
Capital Region	South African	439
Capital Region	Spanish	603
Capital Region	Sri Lankan	194
Capital Region	Turkish	107
Capital Region	Vietnamese	242
Capital Region	Welsh	1447
Central Coast		19680
Central Coast	Australian	137137
Central Coast	Australian Aboriginal	1433
Central Coast	Chinese	4166
Central Coast	Croatian	1039
Central Coast	Dutch	4491
Central Coast	English	142375
Central Coast	Filipino	2460
Central Coast	French	2011
Central Coast	German	11162
Central Coast	Greek	2357
Central Coast	Hungarian	854
Central Coast	Indian	2257
Central Coast	Irish	42252
Central Coast	Italian	8240
Central Coast	Korean	762
Central Coast	Lebanese	911
Central Coast	Macedonian	151
Central Coast	Maltese	3279
Central Coast	Maori	1896
Central Coast	NZ	3270
Central Coast	(Other)	18158
Central Coast	Polish	1764
Central Coast	Russian	1100
Central Coast	Scottish	33906
Central Coast	Serbian	397
Central Coast	South African	1441
Central Coast	Spanish	1628
Central Coast	Sri Lankan	318
Central Coast	Turkish	263
Central Coast	Vietnamese	410
Central Coast	Welsh	2495
Central West		19125
Central West	Australian	93460
Central West	Australian Aboriginal	1337
Central West	Chinese	1456
Central West	Croatian	367
Central West	Dutch	2341
Central West	English	83829
Central West	Filipino	1003
Central West	French	791
Central West	German	7467
Central West	Greek	730
Central West	Hungarian	346
Central West	Indian	1146
Central West	Irish	26550
Central West	Italian	3252
Central West	Korean	169
Central West	Lebanese	413
Central West	Macedonian	74
Central West	Maltese	799
Central West	Maori	575
Central West	NZ	1074
Central West	(Other)	6919
Central West	Polish	818
Central West	Russian	360
Central West	Scottish	20022
Central West	Serbian	162
Central West	South African	420
Central West	Spanish	373
Central West	Sri Lankan	155
Central West	Turkish	57
Central West	Vietnamese	218
Central West	Welsh	1054
Coffs Harbour - Grafton		10740
Coffs Harbour - Grafton	Australian	57433
Coffs Harbour - Grafton	Australian Aboriginal	1081
Coffs Harbour - Grafton	Chinese	960
Coffs Harbour - Grafton	Croatian	183
Coffs Harbour - Grafton	Dutch	1843
Coffs Harbour - Grafton	English	57386
Coffs Harbour - Grafton	Filipino	626
Coffs Harbour - Grafton	French	723
Coffs Harbour - Grafton	German	6036
Coffs Harbour - Grafton	Greek	459
Coffs Harbour - Grafton	Hungarian	273
Coffs Harbour - Grafton	Indian	1541
Coffs Harbour - Grafton	Irish	17443
Coffs Harbour - Grafton	Italian	2428
Coffs Harbour - Grafton	Korean	80
Coffs Harbour - Grafton	Lebanese	147
Coffs Harbour - Grafton	Macedonian	38
Coffs Harbour - Grafton	Maltese	455
Coffs Harbour - Grafton	Maori	431
Coffs Harbour - Grafton	NZ	900
Coffs Harbour - Grafton	(Other)	6909
Coffs Harbour - Grafton	Polish	561
Coffs Harbour - Grafton	Russian	249
Coffs Harbour - Grafton	Scottish	15265
Coffs Harbour - Grafton	Serbian	49
Coffs Harbour - Grafton	South African	309
Coffs Harbour - Grafton	Spanish	403
Coffs Harbour - Grafton	Sri Lankan	73
Coffs Harbour - Grafton	Turkish	50
Coffs Harbour - Grafton	Vietnamese	103
Coffs Harbour - Grafton	Welsh	860
Far West and Orana		11884
Far West and Orana	Australian	54466
Far West and Orana	Australian Aboriginal	3058
Far West and Orana	Chinese	794
Far West and Orana	Croatian	180
Far West and Orana	Dutch	884
Far West and Orana	English	41808
Far West and Orana	Filipino	584
Far West and Orana	French	391
Far West and Orana	German	3991
Far West and Orana	Greek	357
Far West and Orana	Hungarian	102
Far West and Orana	Indian	737
Far West and Orana	Irish	12381
Far West and Orana	Italian	1546
Far West and Orana	Korean	80
Far West and Orana	Lebanese	176
Far West and Orana	Macedonian	29
Far West and Orana	Maltese	451
Far West and Orana	Maori	322
Far West and Orana	NZ	417
Far West and Orana	(Other)	3347
Far West and Orana	Polish	295
Far West and Orana	Russian	101
Far West and Orana	Scottish	9731
Far West and Orana	Serbian	87
Far West and Orana	South African	152
Far West and Orana	Spanish	145
Far West and Orana	Sri Lankan	156
Far West and Orana	Turkish	25
Far West and Orana	Vietnamese	95
Far West and Orana	Welsh	384
Hunter Valley exc Newcastle		19943
Hunter Valley exc Newcastle	Australian	120567
Hunter Valley exc Newcastle	Australian Aboriginal	1439
Hunter Valley exc Newcastle	Chinese	1566
Hunter Valley exc Newcastle	Croatian	494
Hunter Valley exc Newcastle	Dutch	3026
Hunter Valley exc Newcastle	English	113209
Hunter Valley exc Newcastle	Filipino	1549
Hunter Valley exc Newcastle	French	1008
Hunter Valley exc Newcastle	German	11388
Hunter Valley exc Newcastle	Greek	909
Hunter Valley exc Newcastle	Hungarian	420
Hunter Valley exc Newcastle	Indian	1135
