SA4_NAME16	CountryOfBirth	Sex	persons
Capital Region		F	10697
Capital Region		M	10734
Capital Region	AFG	F	9
Capital Region	AFG	M	13
Capital Region	AUS	F	86653
Capital Region	AUS	M	86461
Capital Region	BGD	F	92
Capital Region	BGD	M	110
Capital Region	BIH	F	28
Capital Region	BIH	M	36
Capital Region	CAN	F	211
Capital Region	CAN	M	160
Capital Region	CHL	F	66
Capital Region	CHL	M	48
Capital Region	CHN	F	267
Capital Region	CHN	M	204
Capital Region	DEU	F	660
Capital Region	DEU	M	610
Capital Region	EGY	F	44
Capital Region	EGY	M	67
Capital Region	FJI	F	126
Capital Region	FJI	M	90
Capital Region	FRA	F	104
Capital Region	FRA	M	99
Capital Region	GBR	F	4340
Capital Region	GBR	M	4354
Capital Region	GRC	F	125
Capital Region	GRC	M	142
Capital Region	HKG	F	70
Capital Region	HKG	M	54
Capital Region	HRV	F	181
Capital Region	HRV	M	193
Capital Region	IDN	F	133
Capital Region	IDN	M	71
Capital Region	IND	F	550
Capital Region	IND	M	660
Capital Region	IRL	F	182
Capital Region	IRL	M	211
Capital Region	IRN	F	32
Capital Region	IRN	M	45
Capital Region	IRQ	F	13
Capital Region	IRQ	M	23
Capital Region	ITA	F	317
Capital Region	ITA	M	438
Capital Region	JPN	F	70
Capital Region	JPN	M	26
Capital Region	KHM	F	29
Capital Region	KHM	M	17
Capital Region	KOR	F	91
Capital Region	KOR	M	82
Capital Region	LBN	F	73
Capital Region	LBN	M	99
Capital Region	LKA	F	83
Capital Region	LKA	M	94
Capital Region	MKD	F	263
Capital Region	MKD	M	297
Capital Region	MLT	F	94
Capital Region	MLT	M	128
Capital Region	MMR	F	30
Capital Region	MMR	M	17
Capital Region	MUS	F	16
Capital Region	MUS	M	23
Capital Region	MYS	F	140
Capital Region	MYS	M	100
Capital Region	NLD	F	405
Capital Region	NLD	M	393
Capital Region	NPL	F	91
Capital Region	NPL	M	92
Capital Region	NZL	F	1271
Capital Region	NZL	M	1336
Capital Region	PAK	F	57
Capital Region	PAK	M	90
Capital Region	PHL	F	658
Capital Region	PHL	M	291
Capital Region	PNG	F	105
Capital Region	PNG	M	80
Capital Region	POL	F	126
Capital Region	POL	M	87
Capital Region	SGP	F	58
Capital Region	SGP	M	52
Capital Region	THA	F	204
Capital Region	THA	M	78
Capital Region	TUR	F	28
