SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Capital Region		0	21
Capital Region		3600	3
Capital Region		5400	10
Capital Region		7200	9
Capital Region		9600	14
Capital Region		12000	25
Capital Region		16800	20
Capital Region		21600	31
Capital Region		28800	12
Capital Region		36000	8
Capital Region		48000	14
Capital Region	(Other)	0	8
Capital Region	(Other)	3600	3
Capital Region	(Other)	5400	4
Capital Region	(Other)	7200	9
Capital Region	(Other)	9600	9
Capital Region	(Other)	12000	23
Capital Region	(Other)	16800	19
Capital Region	(Other)	21600	20
Capital Region	(Other)	28800	3
Capital Region	(Other)	36000	14
Capital Region	(Other)	48000	6
Capital Region	Flat/apartment	0	21
Capital Region	Flat/apartment	3600	21
Capital Region	Flat/apartment	5400	21
Capital Region	Flat/apartment	7200	47
Capital Region	Flat/apartment	9600	72
Capital Region	Flat/apartment	12000	199
Capital Region	Flat/apartment	16800	96
Capital Region	Flat/apartment	21600	62
Capital Region	Flat/apartment	28800	18
Capital Region	Flat/apartment	36000	23
Capital Region	Flat/apartment	48000	5
Capital Region	Semi-detached, row/terrace house, townhouse etc.	0	60
Capital Region	Semi-detached, row/terrace house, townhouse etc.	3600	56
Capital Region	Semi-detached, row/terrace house, townhouse etc.	5400	32
Capital Region	Semi-detached, row/terrace house, townhouse etc.	7200	64
Capital Region	Semi-detached, row/terrace house, townhouse etc.	9600	82
Capital Region	Semi-detached, row/terrace house, townhouse etc.	12000	182
Capital Region	Semi-detached, row/terrace house, townhouse etc.	16800	282
Capital Region	Semi-detached, row/terrace house, townhouse etc.	21600	295
Capital Region	Semi-detached, row/terrace house, townhouse etc.	28800	69
Capital Region	Semi-detached, row/terrace house, townhouse etc.	36000	58
Capital Region	Semi-detached, row/terrace house, townhouse etc.	48000	23
Capital Region	Separate house	0	1239
Capital Region	Separate house	3600	646
Capital Region	Separate house	5400	576
Capital Region	Separate house	7200	1108
Capital Region	Separate house	9600	1620
Capital Region	Separate house	12000	3946
Capital Region	Separate house	16800	4021
Capital Region	Separate house	21600	4582
Capital Region	Separate house	28800	2267
Capital Region	Separate house	36000	2116
Capital Region	Separate house	48000	1150
Central Coast		0	5
Central Coast		5400	3
Central Coast		7200	4
Central Coast		9600	5
Central Coast		12000	3
Central Coast		16800	10
Central Coast		21600	13
Central Coast		28800	8
Central Coast		36000	8
Central Coast	(Other)	0	11
Central Coast	(Other)	3600	4
Central Coast	(Other)	5400	4
Central Coast	(Other)	7200	3
