SA4_NAME16	HomeCensusNight	Sex	persons
Capital Region	0	F	6503
Capital Region	0	M	7304
Capital Region	1	F	103208
Capital Region	1	M	101820
Central Coast	0	F	7474
Central Coast	0	M	8052
Central Coast	1	F	161500
Central Coast	1	M	150710
Central West	0	F	5587
Central West	0	M	6348
Central West	1	F	97878
Central West	1	M	96346
Coffs Harbour - Grafton	0	F	3739
Coffs Harbour - Grafton	0	M	4154
Coffs Harbour - Grafton	1	F	65967
Coffs Harbour - Grafton	1	M	62429
Far West and Orana	0	F	3743
Far West and Orana	0	M	4234
Far West and Orana	1	F	53562
Far West and Orana	1	M	52242
Hunter Valley exc Newcastle	0	F	6426
Hunter Valley exc Newcastle	0	M	7441
Hunter Valley exc Newcastle	1	F	126357
Hunter Valley exc Newcastle	1	M	123192
Illawarra	0	F	6344
Illawarra	0	M	7231
Illawarra	1	F	142664
Illawarra	1	M	137260
Mid North Coast	0	F	6067
Mid North Coast	0	M	6575
Mid North Coast	1	F	102834
Mid North Coast	1	M	96719
Murray	0	F	3804
Murray	0	M	4070
Murray	1	F	54933
Murray	1	M	52995
New England and North West	0	F	5616
New England and North West	0	M	6001
New England and North West	1	F	86680
New England and North West	1	M	83260
Newcastle and Lake Macquarie	0	F	8545
Newcastle and Lake Macquarie	0	M	10267
Newcastle and Lake Macquarie	1	F	174527
Newcastle and Lake Macquarie	1	M	165762
Richmond - Tweed	0	F	6116
Richmond - Tweed	0	M	6626
Richmond - Tweed	1	F	117232
Richmond - Tweed	1	M	109632
Riverina	0	F	4331
Riverina	0	M	4979
Riverina	1	F	73874
Riverina	1	M	72744
Southern Highlands and Shoalhaven	0	F	4412
Southern Highlands and Shoalhaven	0	M	5016
Southern Highlands and Shoalhaven	1	F	70867
Southern Highlands and Shoalhaven	1	M	67066
Sydney - Baulkham Hills and Hawkesbury	0	F	3195
Sydney - Baulkham Hills and Hawkesbury	0	M	3610
Sydney - Baulkham Hills and Hawkesbury	1	F	112152
Sydney - Baulkham Hills and Hawkesbury	1	M	108786
Sydney - Blacktown	0	F	4068
Sydney - Blacktown	0	M	4662
Sydney - Blacktown	1	F	166634
Sydney - Blacktown	1	M	164270
Sydney - City and Inner South	0	F	6292
Sydney - City and Inner South	0	M	7007
Sydney - City and Inner South	1	F	148193
Sydney - City and Inner South	1	M	154059
Sydney - Eastern Suburbs	0	F	5386
Sydney - Eastern Suburbs	0	M	5525
Sydney - Eastern Suburbs	1	F	132143
Sydney - Eastern Suburbs	1	M	123987
Sydney - Inner South West	0	F	7674
Sydney - Inner South West	0	M	8116
Sydney - Inner South West	1	F	280994
Sydney - Inner South West	1	M	274636
Sydney - Inner West	0	F	5244
Sydney - Inner West	0	M	5316
Sydney - Inner West	1	F	145615
Sydney - Inner West	1	M	137121
Sydney - North Sydney and Hornsby	0	F	7399
Sydney - North Sydney and Hornsby	0	M	7796
Sydney - North Sydney and Hornsby	1	F	203172
Sydney - North Sydney and Hornsby	1	M	186984
Sydney - Northern Beaches	0	F	5073
Sydney - Northern Beaches	0	M	5542
Sydney - Northern Beaches	1	F	124296
Sydney - Northern Beaches	1	M	117964
Sydney - Outer South West	0	F	4056
Sydney - Outer South West	0	M	4526
Sydney - Outer South West	1	F	129280
Sydney - Outer South West	1	M	124198
Sydney - Outer West and Blue Mountains	0	F	5464
Sydney - Outer West and Blue Mountains	0	M	5951
Sydney - Outer West and Blue Mountains	1	F	150994
Sydney - Outer West and Blue Mountains	1	M	144518
Sydney - Parramatta	0	F	5753
Sydney - Parramatta	0	M	6491
Sydney - Parramatta	1	F	215060
Sydney - Parramatta	1	M	221086
Sydney - Ryde	0	F	2691
Sydney - Ryde	0	M	2921
Sydney - Ryde	1	F	90593
Sydney - Ryde	1	M	85908
Sydney - South West	0	F	5231
Sydney - South West	0	M	5897
Sydney - South West	1	F	200122
Sydney - South West	1	M	194713
Sydney - Sutherland	0	F	3845
Sydney - Sutherland	0	M	4285
Sydney - Sutherland	1	F	107621
Sydney - Sutherland	1	M	102126
Migratory - Offshore - Shipping (NSW)	0	F	3
Migratory - Offshore - Shipping (NSW)	0	M	3
Migratory - Offshore - Shipping (NSW)	1	F	234
Migratory - Offshore - Shipping (NSW)	1	M	173
No usual address (NSW)	0	F	4939
No usual address (NSW)	0	M	7351
Ballarat	0	F	4466
Ballarat	0	M	4696
Ballarat	1	F	76222
Ballarat	1	M	72104
Bendigo	0	F	4126
Bendigo	0	M	4397
Bendigo	1	F	74272
Bendigo	1	M	70297
Geelong	0	F	7617
Geelong	0	M	8118
Geelong	1	F	135499
Geelong	1	M	127695
Hume	0	F	5560
Hume	0	M	6132
Hume	1	F	80710
Hume	1	M	77792
