SA4_NAME16	medianTotalHouseholdIncome
Capital Region	63856
Central Coast	65416
Central West	60632
Coffs Harbour - Grafton	52676
Far West and Orana	57720
Hunter Valley exc Newcastle	66872
Illawarra	70304
Mid North Coast	48672
Murray	58032
New England and North West	57564
Newcastle and Lake Macquarie	69212
Richmond - Tweed	55588
Riverina	64064
Southern Highlands and Shoalhaven	56732
Sydney - Baulkham Hills and Hawkesbury	118040
Sydney - Blacktown	89024
Sydney - City and Inner South	98488
Sydney - Eastern Suburbs	112476
Sydney - Inner South West	74412
Sydney - Inner West	102128
Sydney - North Sydney and Hornsby	121316
Sydney - Northern Beaches	113256
Sydney - Outer South West	85124
Sydney - Outer West and Blue Mountains	82628
Sydney - Parramatta	79040
Sydney - Ryde	99788
Sydney - South West	74308
Sydney - Sutherland	102908
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	57096
Bendigo	60320
Geelong	66924
Hume	58448
Latrobe - Gippsland	54496
Melbourne - Inner	88348
Melbourne - Inner East	91312
Melbourne - Inner South	93236
Melbourne - North East	79300
Melbourne - North West	73944
Melbourne - Outer East	81068
Melbourne - South East	75088
Melbourne - West	77272
Mornington Peninsula	67756
North West	52728
Shepparton	57460
Warrnambool and South West	57356
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	83304
Brisbane - North	84344
Brisbane - South	87256
Brisbane - West	102492
Brisbane Inner City	99892
Cairns	63752
Darling Downs - Maranoa	58708
Central Queensland	73892
Gold Coast	73008
Ipswich	70824
Logan - Beaudesert	72800
Mackay - Isaac - Whitsunday	76388
Moreton Bay - North	61776
Moreton Bay - South	90480
Queensland - Outback	70772
Sunshine Coast	65520
Toowoomba	67496
Townsville	70824
Wide Bay	48620
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	76544
Adelaide - North	61360
Adelaide - South	66768
Adelaide - West	62088
Barossa - Yorke - Mid North	53352
South Australia - Outback	57772
South Australia - South East	51844
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	68588
Mandurah	60788
Perth - Inner	106028
Perth - North East	82680
Perth - North West	89024
Perth - South East	81276
Perth - South West	86788
Western Australia - Wheat Belt	61984
Western Australia - Outback (North)	114504
Western Australia - Outback (South)	77324
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Hobart	64168
Launceston and North East	52884
South East	50024
West and North West	51480
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	113516
Northern Territory - Outback	81172
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	107640
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	71604
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
