SED_NAME16	Age5yr	ChildrenEverBorn	females
Albury	15-19		283
Albury	15-19	0	2090
Albury	15-19	1	34
Albury	15-19	2	4
Albury	20-24		224
Albury	20-24	0	1747
Albury	20-24	1	233
Albury	20-24	2	92
Albury	20-24	3	26
Albury	20-24	6	4
Albury	25-29		184
Albury	25-29	0	1130
Albury	25-29	1	424
Albury	25-29	2	319
Albury	25-29	3	100
Albury	25-29	4	32
Albury	25-29	5	10
Albury	25-29	6	3
Albury	30-34		173
Albury	30-34	0	624
Albury	30-34	1	436
Albury	30-34	2	645
Albury	30-34	3	294
Albury	30-34	4	79
Albury	30-34	5	22
Albury	30-34	6	16
Albury	35-39		161
Albury	35-39	0	377
Albury	35-39	1	299
Albury	35-39	2	735
Albury	35-39	3	440
Albury	35-39	4	186
Albury	35-39	5	36
Albury	35-39	6	42
Albury	40-44		165
Albury	40-44	0	269
Albury	40-44	1	265
Albury	40-44	2	819
Albury	40-44	3	547
Albury	40-44	4	208
Albury	40-44	5	64
Albury	40-44	6	50
Albury	45-49		182
Albury	45-49	0	325
Albury	45-49	1	254
Albury	45-49	2	881
Albury	45-49	3	615
Albury	45-49	4	218
Albury	45-49	5	63
Albury	45-49	6	45
Albury	50-54		152
Albury	50-54	0	283
Albury	50-54	1	277
Albury	50-54	2	836
Albury	50-54	3	639
Albury	50-54	4	247
Albury	50-54	5	90
Albury	50-54	6	47
Albury	55-59		220
Albury	55-59	0	285
Albury	55-59	1	226
Albury	55-59	2	908
Albury	55-59	3	770
Albury	55-59	4	311
Albury	55-59	5	73
Albury	55-59	6	34
Albury	60-64		204
Albury	60-64	0	248
Albury	60-64	1	230
Albury	60-64	2	815
Albury	60-64	3	685
Albury	60-64	4	300
Albury	60-64	5	93
Albury	60-64	6	51
Albury	65-69		182
Albury	65-69	0	185
Albury	65-69	1	178
Albury	65-69	2	799
Albury	65-69	3	628
Albury	65-69	4	295
Albury	65-69	5	100
Albury	65-69	6	56
Albury	70-74		175
Albury	70-74	0	158
Albury	70-74	1	124
Albury	70-74	2	531
Albury	70-74	3	515
Albury	70-74	4	250
Albury	70-74	5	99
Albury	70-74	6	63
Albury	75-79		189
Albury	75-79	0	123
Albury	75-79	1	68
Albury	75-79	2	309
Albury	75-79	3	368
Albury	75-79	4	251
Albury	75-79	5	108
Albury	75-79	6	103
Albury	80-84		158
Albury	80-84	0	76
Albury	80-84	1	66
Albury	80-84	2	195
Albury	80-84	3	232
Albury	80-84	4	183
Albury	80-84	5	106
Albury	80-84	6	115
Albury	85+		241
Albury	85+	0	86
Albury	85+	1	81
Albury	85+	2	241
Albury	85+	3	250
Albury	85+	4	191
Albury	85+	5	92
Albury	85+	6	107
Auburn	15-19		471
Auburn	15-19	0	2307
Auburn	15-19	1	18
Auburn	20-24		615
Auburn	20-24	0	3018
Auburn	20-24	1	287
Auburn	20-24	2	101
Auburn	20-24	3	21
Auburn	20-24	4	4
Auburn	25-29		669
Auburn	25-29	0	3229
Auburn	25-29	1	897
Auburn	25-29	2	547
Auburn	25-29	3	181
Auburn	25-29	4	49
Auburn	25-29	5	9
Auburn	25-29	6	8
Auburn	30-34		501
Auburn	30-34	0	2041
Auburn	30-34	1	1043
Auburn	30-34	2	803
Auburn	30-34	3	401
Auburn	30-34	4	161
Auburn	30-34	5	60
Auburn	30-34	6	22
Auburn	35-39		332
Auburn	35-39	0	822
Auburn	35-39	1	688
Auburn	35-39	2	866
Auburn	35-39	3	465
Auburn	35-39	4	247
Auburn	35-39	5	123
Auburn	35-39	6	68
Auburn	40-44		252
Auburn	40-44	0	555
Auburn	40-44	1	493
Auburn	40-44	2	817
Auburn	40-44	3	390
Auburn	40-44	4	213
Auburn	40-44	5	116
Auburn	40-44	6	107
Auburn	45-49		255
Auburn	45-49	0	434
Auburn	45-49	1	460
Auburn	45-49	2	898
Auburn	45-49	3	439
Auburn	45-49	4	235
Auburn	45-49	5	130
Auburn	45-49	6	112
Auburn	50-54		222
Auburn	50-54	0	382
Auburn	50-54	1	466
Auburn	50-54	2	922
Auburn	50-54	3	449
Auburn	50-54	4	223
Auburn	50-54	5	115
Auburn	50-54	6	92
Auburn	55-59		227
Auburn	55-59	0	341
Auburn	55-59	1	543
Auburn	55-59	2	821
Auburn	55-59	3	370
Auburn	55-59	4	203
Auburn	55-59	5	78
Auburn	55-59	6	105
Auburn	60-64		156
Auburn	60-64	0	260
Auburn	60-64	1	415
Auburn	60-64	2	628
Auburn	60-64	3	356
Auburn	60-64	4	180
Auburn	60-64	5	67
Auburn	60-64	6	102
Auburn	65-69		122
Auburn	65-69	0	189
Auburn	65-69	1	186
Auburn	65-69	2	444
Auburn	65-69	3	291
Auburn	65-69	4	143
Auburn	65-69	5	72
Auburn	65-69	6	94
Auburn	70-74		73
Auburn	70-74	0	106
Auburn	70-74	1	106
Auburn	70-74	2	287
