SED_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Albury	15-19		F	238
Albury	15-19		M	274
Albury	15-19	0	F	2038
Albury	15-19	0	M	2065
Albury	15-19	1	F	126
Albury	15-19	1	M	124
Albury	20-24		F	209
Albury	20-24		M	249
Albury	20-24	0	F	1933
Albury	20-24	0	M	1947
Albury	20-24	1	F	185
Albury	20-24	1	M	118
Albury	25-34		F	357
Albury	25-34		M	449
Albury	25-34	0	F	3608
Albury	25-34	0	M	3634
Albury	25-34	1	F	541
Albury	25-34	1	M	311
Albury	35-44		F	359
Albury	35-44		M	438
Albury	35-44	0	F	3600
Albury	35-44	0	M	3513
Albury	35-44	1	F	708
Albury	35-44	1	M	424
Albury	45-54		F	363
Albury	45-54		M	450
Albury	45-54	0	F	3728
Albury	45-54	0	M	3885
Albury	45-54	1	F	1071
Albury	45-54	1	M	643
Albury	55-64		F	457
Albury	55-64		M	486
Albury	55-64	0	F	3793
Albury	55-64	0	M	4014
Albury	55-64	1	F	1190
Albury	55-64	1	M	676
Albury	65-74		F	509
Albury	65-74		M	498
Albury	65-74	0	F	3221
Albury	65-74	0	M	3334
Albury	65-74	1	F	612
Albury	65-74	1	M	454
Albury	75-84		F	540
Albury	75-84		M	392
Albury	75-84	0	F	1835
Albury	75-84	0	M	1635
Albury	75-84	1	F	279
Albury	75-84	1	M	211
Albury	85+		F	294
Albury	85+		M	224
Albury	85+	0	F	950
Albury	85+	0	M	552
Albury	85+	1	F	50
Albury	85+	1	M	57
Auburn	15-19		F	250
Auburn	15-19		M	286
Auburn	15-19	0	F	2360
Auburn	15-19	0	M	2543
Auburn	15-19	1	F	186
Auburn	15-19	1	M	170
Auburn	20-24		F	416
Auburn	20-24		M	642
Auburn	20-24	0	F	3307
Auburn	20-24	0	M	4267
Auburn	20-24	1	F	336
Auburn	20-24	1	M	279
Auburn	25-34		F	1017
Auburn	25-34		M	1808
Auburn	25-34	0	F	8524
Auburn	25-34	0	M	10821
Auburn	25-34	1	F	1090
Auburn	25-34	1	M	787
Auburn	35-44		F	626
Auburn	35-44		M	1083
Auburn	35-44	0	F	4962
Auburn	35-44	0	M	6231
Auburn	35-44	1	F	976
Auburn	35-44	1	M	706
Auburn	45-54		F	481
Auburn	45-54		M	737
Auburn	45-54	0	F	4388
Auburn	45-54	0	M	4647
Auburn	45-54	1	F	971
Auburn	45-54	1	M	648
Auburn	55-64		F	391
Auburn	55-64		M	474
Auburn	55-64	0	F	3667
Auburn	55-64	0	M	3867
Auburn	55-64	1	F	787
Auburn	55-64	1	M	549
Auburn	65-74		F	229
Auburn	65-74		M	298
Auburn	65-74	0	F	1960
Auburn	65-74	0	M	2117
Auburn	65-74	1	F	375
Auburn	65-74	1	M	308
Auburn	75-84		F	169
Auburn	75-84		M	156
Auburn	75-84	0	F	1154
Auburn	75-84	0	M	1037
Auburn	75-84	1	F	121
Auburn	75-84	1	M	130
Auburn	85+		F	122
Auburn	85+		M	57
Auburn	85+	0	F	625
Auburn	85+	0	M	321
Auburn	85+	1	F	24
Auburn	85+	1	M	28
Ballina	15-19		F	271
Ballina	15-19		M	288
Ballina	15-19	0	F	1554
Ballina	15-19	0	M	1685
Ballina	15-19	1	F	78
Ballina	15-19	1	M	107
Ballina	20-24		F	157
Ballina	20-24		M	161
Ballina	20-24	0	F	1141
Ballina	20-24	0	M	1145
Ballina	20-24	1	F	99
Ballina	20-24	1	M	65
Ballina	25-34		F	368
Ballina	25-34		M	407
Ballina	25-34	0	F	2910
Ballina	25-34	0	M	2701
Ballina	25-34	1	F	358
Ballina	25-34	1	M	224
Ballina	35-44		F	486
Ballina	35-44		M	459
Ballina	35-44	0	F	3691
Ballina	35-44	0	M	3367
Ballina	35-44	1	F	666
Ballina	35-44	1	M	377
Ballina	45-54		F	561
Ballina	45-54		M	578
Ballina	45-54	0	F	4088
Ballina	45-54	0	M	3846
Ballina	45-54	1	F	1011
Ballina	45-54	1	M	547
Ballina	55-64		F	647
Ballina	55-64		M	664
Ballina	55-64	0	F	4194
Ballina	55-64	0	M	4257
Ballina	55-64	1	F	1341
Ballina	55-64	1	M	806
Ballina	65-74		F	503
Ballina	65-74		M	512
Ballina	65-74	0	F	3234
Ballina	65-74	0	M	3452
Ballina	65-74	1	F	680
Ballina	65-74	1	M	476
Ballina	75-84		F	464
Ballina	75-84		M	338
Ballina	75-84	0	F	1767
Ballina	75-84	0	M	1462
Ballina	75-84	1	F	240
Ballina	75-84	1	M	196
Ballina	85+		F	427
Ballina	85+		M	221
Ballina	85+	0	F	1079
Ballina	85+	0	M	586
Ballina	85+	1	F	46
Ballina	85+	1	M	75
Balmain	15-19		F	158
Balmain	15-19		M	157
Balmain	15-19	0	F	1497
Balmain	15-19	0	M	1240
Balmain	15-19	1	F	62
Balmain	15-19	1	M	42
Balmain	20-24		F	378
Balmain	20-24		M	355
Balmain	20-24	0	F	3540
Balmain	20-24	0	M	2880
Balmain	20-24	1	F	154
Balmain	20-24	1	M	119
Balmain	25-34		F	890
Balmain	25-34		M	905
Balmain	25-34	0	F	7275
Balmain	25-34	0	M	6669
Balmain	25-34	1	F	431
Balmain	25-34	1	M	294
Balmain	35-44		F	661
Balmain	35-44		M	696
Balmain	35-44	0	F	6084
Balmain	35-44	0	M	6035
Balmain	35-44	1	F	723
Balmain	35-44	1	M	444
Balmain	45-54		F	477
Balmain	45-54		M	515
Balmain	45-54	0	F	4281
Balmain	45-54	0	M	4317
Balmain	45-54	1	F	912
Balmain	45-54	1	M	567
Balmain	55-64		F	426
Balmain	55-64		M	399
Balmain	55-64	0	F	3192
Balmain	55-64	0	M	2937
Balmain	55-64	1	F	944
Balmain	55-64	1	M	537
Balmain	65-74		F	302
Balmain	65-74		M	275
Balmain	65-74	0	F	2350
Balmain	65-74	0	M	2153
Balmain	65-74	1	F	488
Balmain	65-74	1	M	326
Balmain	75-84		F	174
Balmain	75-84		M	146
Balmain	75-84	0	F	1018
Balmain	75-84	0	M	818
Balmain	75-84	1	F	129
Balmain	75-84	1	M	97
Balmain	85+		F	112
Balmain	85+		M	48
Balmain	85+	0	F	494
Balmain	85+	0	M	266
Balmain	85+	1	F	24
Balmain	85+	1	M	30
Bankstown	15-19		F	302
Bankstown	15-19		M	277
Bankstown	15-19	0	F	2339
Bankstown	15-19	0	M	2463
Bankstown	15-19	1	F	171
Bankstown	15-19	1	M	157
Bankstown	20-24		F	317
Bankstown	20-24		M	333
Bankstown	20-24	0	F	2569
Bankstown	20-24	0	M	2593
Bankstown	20-24	1	F	252
Bankstown	20-24	1	M	233
Bankstown	25-34		F	567
Bankstown	25-34		M	758
Bankstown	25-34	0	F	5168
Bankstown	25-34	0	M	5171
Bankstown	25-34	1	F	892
Bankstown	25-34	1	M	532
Bankstown	35-44		F	485
Bankstown	35-44		M	589
Bankstown	35-44	0	F	4142
Bankstown	35-44	0	M	4262
Bankstown	35-44	1	F	969
Bankstown	35-44	1	M	618
Bankstown	45-54		F	487
Bankstown	45-54		M	543
Bankstown	45-54	0	F	3758
Bankstown	45-54	0	M	3997
Bankstown	45-54	1	F	1024
Bankstown	45-54	1	M	636
Bankstown	55-64		F	360
Bankstown	55-64		M	422
Bankstown	55-64	0	F	3255
Bankstown	55-64	0	M	3523
Bankstown	55-64	1	F	916
Bankstown	55-64	1	M	576
Bankstown	65-74		F	273
Bankstown	65-74		M	315
Bankstown	65-74	0	F	2193
Bankstown	65-74	0	M	2248
Bankstown	65-74	1	F	428
Bankstown	65-74	1	M	342
Bankstown	75-84		F	234
Bankstown	75-84		M	186
Bankstown	75-84	0	F	1520
Bankstown	75-84	0	M	1189
Bankstown	75-84	1	F	153
Bankstown	75-84	1	M	154
Bankstown	85+		F	136
Bankstown	85+		M	95
Bankstown	85+	0	F	942
Bankstown	85+	0	M	540
Bankstown	85+	1	F	28
Bankstown	85+	1	M	43
Barwon	15-19		F	326
Barwon	15-19		M	410
Barwon	15-19	0	F	1527
Barwon	15-19	0	M	1639
Barwon	15-19	1	F	123
Barwon	15-19	1	M	107
Barwon	20-24		F	253
Barwon	20-24		M	316
Barwon	20-24	0	F	1623
Barwon	20-24	0	M	1621
Barwon	20-24	1	F	141
Barwon	20-24	1	M	106
Barwon	25-34		F	545
Barwon	25-34		M	616
Barwon	25-34	0	F	3545
Barwon	25-34	0	M	3381
Barwon	25-34	1	F	530
Barwon	25-34	1	M	299
Barwon	35-44		F	512
Barwon	35-44		M	539
Barwon	35-44	0	F	3064
Barwon	35-44	0	M	3156
Barwon	35-44	1	F	635
Barwon	35-44	1	M	421
Barwon	45-54		F	637
Barwon	45-54		M	698
Barwon	45-54	0	F	3563
Barwon	45-54	0	M	3895
Barwon	45-54	1	F	950
Barwon	45-54	1	M	609
Barwon	55-64		F	616
Barwon	55-64		M	786
Barwon	55-64	0	F	3518
Barwon	55-64	0	M	4246
Barwon	55-64	1	F	1047
Barwon	55-64	1	M	723
Barwon	65-74		F	640
Barwon	65-74		M	729
Barwon	65-74	0	F	2897
Barwon	65-74	0	M	3350
Barwon	65-74	1	F	546
Barwon	65-74	1	M	413
Barwon	75-84		F	554
Barwon	75-84		M	483
Barwon	75-84	0	F	1814
Barwon	75-84	0	M	1663
Barwon	75-84	1	F	239
Barwon	75-84	1	M	189
Barwon	85+		F	284
Barwon	85+		M	189
Barwon	85+	0	F	882
Barwon	85+	0	M	457
Barwon	85+	1	F	54
Barwon	85+	1	M	61
Bathurst	15-19		F	361
Bathurst	15-19		M	383
Bathurst	15-19	0	F	1979
Bathurst	15-19	0	M	2146
Bathurst	15-19	1	F	147
Bathurst	15-19	1	M	126
Bathurst	20-24		F	252
Bathurst	20-24		M	545
Bathurst	20-24	0	F	1941
Bathurst	20-24	0	M	1977
Bathurst	20-24	1	F	166
Bathurst	20-24	1	M	118
Bathurst	25-34		F	328
Bathurst	25-34		M	917
Bathurst	25-34	0	F	3327
Bathurst	25-34	0	M	3458
Bathurst	25-34	1	F	508
Bathurst	25-34	1	M	312
Bathurst	35-44		F	365
Bathurst	35-44		M	717
Bathurst	35-44	0	F	3413
Bathurst	35-44	0	M	3287
Bathurst	35-44	1	F	729
Bathurst	35-44	1	M	441
Bathurst	45-54		F	446
Bathurst	45-54		M	668
Bathurst	45-54	0	F	3685
Bathurst	45-54	0	M	3831
Bathurst	45-54	1	F	1064
Bathurst	45-54	1	M	673
Bathurst	55-64		F	493
Bathurst	55-64		M	582
Bathurst	55-64	0	F	3563
Bathurst	55-64	0	M	3849
Bathurst	55-64	1	F	1110
Bathurst	55-64	1	M	721
Bathurst	65-74		F	544
Bathurst	65-74		M	608
Bathurst	65-74	0	F	3099
Bathurst	65-74	0	M	3350
Bathurst	65-74	1	F	640
Bathurst	65-74	1	M	434
